Bloomberg symbol,Primary Exchange,me,Industry me,Country,Country Premium,$/Local currency,Market Cap in $,FCFF,FCFE,Market Capitalization,Firm Value,Enterprise Value,Cash & near Cash,Invested Capital,Total Debt,Book Equity,Revenues,Net Cap Ex,EBIT,EBITDA,EBIT (1-t),Chg in non-cash WC,Reinvestment,Tax Rate,Net Income,Standard deviation in stock prices,Beta,Geo growth in earnings per share,Cash/Firm Value,Payout Ratio,Reinvestment Rate,Net Margin,After-tax Margin,PE,PBV,PS,EV/EBITDA,EV/EBIT,Firm Value/BV,EV/Sales,ROE,ROIC,Market Debt to Capital,Market Debt to Equity,Book Debt to Equity,Interest Coverage Ratio
VAM IN Equity     ,Bombay,JUBILANT ORGANOSYS LTD,Chemicals-Diversified,India,0.02,0.0221,278.728073,-483.33655199999987,329.5146264753925,12612.13,16928.46,16895.78,32.68,5764.93,4316.33,1481.28,7114.33,845.91,985.13,1222.65,738.4534480000001,375.88,1221.79,0.2504,641.68,0.37472,0.652,0.0412,0.0019304768419572721,0.08430993641690564,1.6545254183713958,0.0901954224782938,0.10379803129739555,19.6548591198105,8.514345701015337,1.7727783220626536,13.81898335582546,17.150812583110856,2.9199032014916493,2.3748940518643358,0.4331929142363361,0.12809408752578091,0.25497475848364237,0.3422364025743471,2.9139190429898467,2.2838298365596383
KB IN Equity     ,Bombay,KALYANI BRAKES LIMITED,Auto/Trk Prts&Equip-Repl,India,0.02,0.0221,103.39319250000001,-71.40015199999996,117.92345905031499,4678.425,5193.085,5180.185,12.9,1287.11,514.66,785.35,2169.02,162.84,268.42,355.34,172.969848,81.53,244.37,0.3556,265.55,0.46918,0.485,0.1996,0.0024840725695805094,0.24368292223686686,1.4127895863098634,0.12242856220781737,0.07974562152492831,17.617868574656374,5.957121028840644,2.1569303187614683,14.578108290651207,19.298804112957306,3.9946500411535295,2.388260596951619,0.3381294964028777,0.13438622029197195,0.09910486733800813,0.11000710709266472,0.6553256509836378,14.377075522228173
KBL IN Equity     ,Bombay,KARTAKA BANK LTD,Commer Banks Non-US,India,0.02,0.0221,106.33724400000001,0,,4811.64,4811.64,4811.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52062,0.905,,0,,,,,,,,,,,,,,0,0,,
KVB IN Equity     ,Bombay,KARUR VYSYA BANK LTD,Regiol Banks-Non US,India,0.02,0.0221,153.5456728,1286.388464,1266.4242866197271,6947.768,13383.528,11078.848,2304.68,9717.87,6435.76,5586.79,6481.59,119.78,1752.24,1861.22,1250.398464,-155.77,-35.99,0.2864,1249.7,0.38726,0.585,,0.1722027256191342,0.03329599103784908,-0.02878282486437861,0.1928076289922689,0.19291539020518114,5.559548691686005,1.243606435896105,1.071923401511049,5.952465587088039,6.322677258822992,1.113202107705936,1.7092793589227335,0.22368837919449272,0.1286700134906106,0.48087171035918186,0.9263061173027078,1.1519602490875798,
KEC IN Equity     ,Bombay,KEC INTERTIOL LIMITED,Electric-Transmission,India,0.02,0.0221,66.9360159,1264.841,-107.29974059874294,3028.779,10314.719,10137.278999999999,177.44,9245.1,7285.94,2136.6,7217.96,-53.54,195,312.86,145.041,-1066.26,-1119.8,0.2562,-361.21903199999997,1.04546,1.454,,0.017202601447504292,,-7.720575561392986,-0.023904261037744734,0.020094458822160276,,1.41756950294861,0.41961703860924693,32.40196573547273,51.98604615384615,1.0946856155558904,1.404452088955882,-0.1690625442291491,0.0156884187299218,0.7063634016593181,2.405570033336866,3.4100627164654123,0.2864950634696756
WDIA IN Equity     ,Bombay,KENMETAL WIDIA INDIA LTD,Mach Tools&Rel Products,India,0.02,0.0221,98.6981138,361.087125,4.402805135544938,4465.978,4689.268,4628.428,60.84,1350.5,223.29,1188.05,2779.6,-23.94,76.03,237.02,76.03,61.06,37.12,0,35.65,0.5481,1.025,,0.012974306437593246,0.3262272089761571,0.4882283309220045,0.012825586415311556,0.02735285652611887,125.27287517531558,3.7590825301965407,1.6066980860555475,19.527584170112224,60.87633828751808,3.322564371448411,1.665141747013959,0.03000715458103615,0.05629766753054424,0.04761724004684739,0.049998007155431574,0.18794663524262448,1.114482556435063
KSI IN Equity     ,Bombay,KESORAM INDUSTRIES LIMITED,Rubber-Tires,India,0.02,0.0221,58.1788688,376.094685,310.83030505393054,2632.528,6988.198,6806.758000000001,181.44,7573.91,4355.67,3399.68,11385.77,-196.7,493.95,1035.05,429.884685,250.49,53.79,0.1297,334.41,0.54309,1.067,0.1648,0.025963774924522745,0.281749947669029,0.12512657900339008,0.02937087258920565,0.03775631204564996,7.872156933106067,0.7743458207831325,0.23121211828449018,6.576260084053912,13.78025711104363,0.9010809312281199,0.5978302741053086,0.09836514024849399,0.056758620712419335,0.6232894374200616,1.654557900238858,1.2811999952936748,1.0703373854254696
KKB IN Equity     ,Bombay,KIRLOSKAR BROTHERS LIMITED,Machinery-Pumps,India,0.02,0.0221,54.243079800000004,289.995364,196.60829044822327,2454.438,3578.098,3301.6279999999997,276.47,3140.8,1123.66,2293.61,6095.35,4.790000000000006,366.36,451.77,256.415364,-38.37,-33.58,0.30010000000000003,174.07,0.61066,0.543,0.1833,0.0772673079384634,0.17584879646119378,-0.13095939134130818,0.02855783507099674,0.04206737332556785,14.100292985580515,1.0701200291243933,0.40267384153494057,7.308205502800097,9.011977290097171,1.0470632990662134,0.5416633991485311,0.07589346052729103,0.081640143912379,0.3140383522195312,0.4578074492001835,0.48990892087146465,4.7672088484059865
KKOE IN Equity     ,Bombay,KIRLOSKAR OIL ENGINES LTD,Engines-Interl Combust,India,0.02,0.0221,135.38767190000002,420.51924799999995,532.2598007010976,6126.139,6892.839,6707.729,185.11,4601.67,766.7,4020.08,8605.74,-166.12,237.26,591.77,237.26,-6.51,-172.63,0,387.28,0.46186,0.716,-0.12560000000000002,0.026855407474336773,0.17029022929146873,-0.7275984152406643,0.045002521572810705,0.027569970740459273,15.818371720718861,1.5238848480627252,0.7118666146083893,11.33502712202376,28.271638708589734,1.4399740535391223,0.7794482519806548,0.09633639131559571,0.051559542513913426,0.11123138085772787,0.1251522369962549,0.19071759765974808,2.6912431941923773
CRL IN Equity     ,Bombay,KOCHI REFINERIES LIMITED,Oil Refining&Marketing,India,0.02,0.0221,549.149861,1186.7439360000003,4756.20125722734,24848.41,35023.95,34975.08,48.87,24503.73,10175.54,14377.06,92241.53,-568.81,7574.88,8728.5,4959.2739360000005,4341.34,3772.53,0.3453,6965.25,0.54114,1.099,0.1555,0.0013953309092777943,0.04380316571551632,0.7607020803216222,0.07551099813717314,0.053764003437497196,3.5674828613474032,1.7283373652193148,0.26938419169760086,4.006997765939164,4.61724542170965,1.4264864006255957,0.37916847216215943,0.48446970381983523,0.20238853170517307,0.2905309081357186,0.4095046725323673,0.70776222676959,7.980278128950695
