Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
JPMorgan Chase & Co. (NYSE:JPM),NYSE:JPM,Diversified Banks (Primary),240201.5,1.08,0.1082,0.135,0.9051,93579.2,122520.3,86560,64378,34916,28680,133431,0.4766
Industrial and Commercial Bank of China Limited (SEHK:1398),SEHK:1398,Diversified Banks (Primary),234037.8,0.89,0.159,0.1348,1.0415,-104907.3,60124.9,175079,199509,81257.1,0,245734.2,0.3307
Wells Fargo & Company (NYSE:WFC),NYSE:WFC,Diversified Banks (Primary),221146.3,1.28,0.1301,0.1303,0.9562,119877.7,111223.7,103839, NA ,38862,30112,127232,0.5421
China Construction Bank Corporation (SEHK:939),SEHK:939,Diversified Banks (Primary),187851.4,0.86,0.1586,0.1332,1.0095,-2604,59586.6,149562,156711,62709.3,0,201258.8,0.3116
Bank of America Corporation (NYSE:BAC),NYSE:BAC,Diversified Banks (Primary),159501,0.68,0.0623,0.1128,0.7728,-23624,88853.5,94581,59964,17829,7269,41824,0.6001
Agricultural Bank of China Limited (SEHK:1288),SEHK:1288,Diversified Banks (Primary),151326.2,0.87,0.1568,0.1096,1.0658, NA , NA ,131514,145476,39775.3,0,150747.7,0.2639
HSBC Holdings plc (LSE:HSBA),LSE:HSBA,Diversified Banks (Primary),149772.6,0.86,0.0624,0.139,0.8844,-45011.8,34841.5,81890,57967,42141,741,93231,0.46
Bank of China Limited (SEHK:3988),SEHK:3988,Diversified Banks (Primary),144771.5,0.78,0.1403,0.1207,1.0666,-52968.4,46585.9,117601,135162,49914.1,0,149369.7,0.3342
Citigroup Inc. (NYSE:C),NYSE:C,Diversified Banks (Primary),136639.6,0.67,0.0737,0.1481,0.86,-10005,100794.8,134173,57662,5696,10274,65815,0.2426
Commonwealth Bank of Australia (ASX:CBA),ASX:CBA,Diversified Banks (Primary),96540.9,2.15,0.1533,0.123,0.8064,29469.3,67059.4,19486,17364,27773.8,2034.7,46316.2,0.6436
The Toronto-Dominion Bank (TSX:TD),TSX:TD,Diversified Banks (Primary),82331.1,1.72,0.1338,0.1135,0.6922,31722.6,52370.2,23331,16107,14883.4,22139.3,38889.3,0.952
Westpac Banking Corporation (ASX:WBC),ASX:WBC,Diversified Banks (Primary),76699.5,2.05,0.1669,0.1138,0.7684,31151.6,42620.2,23474, NA ,25344,630.2,41720.7,0.6226
U.S. Bancorp (NYSE:USB),NYSE:USB,Diversified Banks (Primary),73014,1.8,0.1445,0.1469,0.9459,18209.7,29132,22261,14005,10076,9046,33607,0.569
"Mitsubishi UFJ Financial Group, Inc. (TSE:8306)",TSE:8306,Diversified Banks (Primary),69062.9,0.54,0.0547,0.1324,1.0398,-28990.3,4677.1,68462,55509,3952,3191.1,47679.4,0.1498
Itaú Unibanco Holding S.A. (BOVESPA:ITUB4),BOVESPA:ITUB4,Diversified Banks (Primary),68922,2.43,0.2858,0.1398,0.8998,9325.6,32092.2,9480,5613,16191.9,1895.2,49372,0.3663
"China Merchants Bank Co., Ltd. (SHSE:600036)",SHSE:600036,Diversified Banks (Primary),67243.2,1.21,0.1623,0.1083,0.963,-8938,40847,43920, NA ,10716.7,0,46020.8,0.2329
The Bank of Nova Scotia (TSX:BNS),TSX:BNS,Diversified Banks (Primary),63716.9,1.7,0.1424,0.1228,0.9129,13613.3,36401.1,22006,15040,17449.3,1011.2,36113.3,0.5112
BNP Paribas SA (ENXTPA:BNP),ENXTPA:BNP,Diversified Banks (Primary),63706.6,0.61,0.0729,0.1221,0.7983,-34357.2,25550.1,30178,25062,15890.2,4128.4,49484.6,0.4045
"Banco Santander, S.A. (BME:SAN)",BME:SAN,Diversified Banks (Primary),63671.2,0.67,0.0536,0.1255,0.8346,-66773.9,-9371.1,15150, NA ,21877.8,56715.4,52989,1.4832
Australia & New Zealand Banking Group Limited (ASX:ANZ),ASX:ANZ,Diversified Banks (Primary),62528.9,1.55,0.1284,0.1132,0.7945,17617.1,39570.4,20017,15214,15682.9,1052.4,36384.8,0.46
"Bank of Communications Co., Ltd. (SEHK:3328)",SEHK:3328,Diversified Banks (Primary),59495.7,0.74,0.1256,0.1146,1.0259,-28128,24848.8,58813,62795,16606.3,0,58892.5,0.282
"Shanghai Pudong Development Bank Co., Ltd. (SHSE:600000)",SHSE:600000,Diversified Banks (Primary),53451.8,1.22,0.1831,0.0945,1.1156,21975.4,42459.3,37828,43467,7926,0,36793,0.2154
Sberbank of Russia OJSC (MISX:SBER),MISX:SBER,Diversified Banks (Primary),51432.1,1.56,0.1904,0.0891,0.9392, NA , NA ,7724,6855,5728.2,2169.5,46986.3,0.1681
"Postal Savings Bank of China Co., Ltd. (SEHK:1658)",SEHK:1658,Diversified Banks (Primary),50052.2,1.2,0.1341,0.0853,0.9947, NA , NA , NA , NA ,544.1,0,25467.8,0.0214
Lloyds Banking Group plc (LSE:LLOY),LSE:LLOY,Diversified Banks (Primary),49956.1,0.73,0.0344,0.164,0.7844,-2772.9,39024,55020,33930,2606.3,0,-866.7,-3.0072
Banco Bradesco S.A. (BOVESPA:BBDC4),BOVESPA:BBDC4,Diversified Banks (Primary),49851,2.18,0.2408,0.1266,0.8537,-11766,21846.5,8125,3146,11755.8,289.14,37717.1,0.3193
HDFC Bank Limited (NSEI:HDFCBANK),NSEI:HDFCBANK,Diversified Banks (Primary),49236.3,4.39,0.1723,0.1322,0.9425,35387,40490,8234,7850,1383.4,0,8307.5,0.1665
China Minsheng Banking Corp. Ltd. (SHSE:600016),SHSE:600016,Diversified Banks (Primary),49024,1.06,0.151,0.0919,1.0204,19656.8,37797.5,38499,39913,8273.2,0,36162.5,0.2288
ING Groep N.V. (ENXTAM:INGA),ENXTAM:INGA,Diversified Banks (Primary),47256.3,0.91,0.0948,0.1445,0.9703, NA , NA ,16904,5666,2493.2,17681.7,26338.9,0.766
"Sumitomo Mitsui Financial Group, Inc. (TSE:8316)",TSE:8316,Diversified Banks (Primary),46191.1,0.58,0.0691,0.1368,1.0129,-10364.3, NA ,54396,36569,2425.1,5.36,38357.7,0.0634
"Industrial Bank Co., Ltd. (SHSE:601166)",SHSE:601166,Diversified Banks (Primary),45621.9,1.03,0.1762,0.0919,1.0945,10134.4,34924.3,37136,41736,9079.7,0,36510.7,0.2487
"Japan Post Bank Co., Ltd. (TSE:7182)",TSE:7182,Diversified Banks (Primary),44398.6,0.43,0.0298,0.2638,0.7385, NA , NA ,19754,-6747,0,0,24599,0
"The PNC Financial Services Group, Inc. (NYSE:PNC)",NYSE:PNC,Regional Banks (Primary),43932,1.06,0.0958,0.12,0.861,21577.1,26882,23754,11235,6462,4033,24407,0.43
"Mizuho Financial Group, Inc. (TSE:8411)",TSE:8411,Diversified Banks (Primary),42883.3,0.59,0.0864,0.1264,0.9675,-11458.4, NA , NA , NA ,3049.7,0.09,30009,0.1016
Bank of Montreal (TSX:BMO),TSX:BMO,Diversified Banks (Primary),42139.2,1.52,0.1244,0.123,0.813,13666.8,28379.9,14311,7017,10331.7,1063.9,22605.3,0.5041
Nordea Bank AB (publ) (OM:NDA SEK),OM:NDA SEK,Diversified Banks (Primary),40802,1.21,0.1122,0.1195,0.8545,-2454.1,22679.5,8934,6776,11693.9,203.4,26705.9,0.4455
China CITIC Bank Corporation Ltd. (SEHK:998),SEHK:998,Diversified Banks (Primary),40473.4,0.83,0.1296,0.0917,1.0008,-4462.4,21168.7,31447,35497,5565.3,0,34597.9,0.1609
"Banco Bilbao Vizcaya Argentaria, S.A. (BME:BBVA)",BME:BBVA,Diversified Banks (Primary),38255.5,0.74,0.0371,0.1209,1.0264,-54100.5,-7069.1,15512, NA ,10601.9,45446.4,27230.6,2.0583
Barclays PLC (LSE:BARC),LSE:BARC,Diversified Banks (Primary),36564.2,0.41,-0.0076,0.1469,0.88,-28996.4,17853.1,34851,23347,11903.7,7683.1,25139.1,0.7791
Intesa Sanpaolo S.p.A. (BIT:ISP),BIT:ISP,Diversified Banks (Primary),36154.1,0.7,0.0523,0.1379,0.8207,-61775.7,-8656.9,-16517, NA ,5231.7,152.58,-2653.2,-2.0294
BOC Hong Kong (Holdings) Limited (SEHK:2388),SEHK:2388,Diversified Banks (Primary),35782.1,1.44,0.2912,0.1289,0.6317,6157.6,23804.5,14175,7486,9442.1,0,18707.7,0.5047
Qatar National Bank S.A.Q. (DSM:QNBK),DSM:QNBK,Diversified Banks (Primary),35530.2,2.12,0.1952,0.163,0.8495,24643.8,24207.9,12209,10636,5998,0,15639.3,0.3835
Hang Seng Bank Limited (SEHK:11),SEHK:11,Diversified Banks (Primary),34385.4,1.88,0.1087,0.1909,0.685,-5062,9297.7,11659,9180,9479.4,0,17220.5,0.5505
BB&T Corporation (NYSE:BBT),NYSE:BBT,Regional Banks (Primary),30633.4,1.24,0.0897,0.1181,0.7967,13781.6,15462.1,11748,6236,4901.1,0,10832,0.4525
Canadian Imperial Bank of Commerce (TSX:CM),TSX:CM,Diversified Banks (Primary),30382.4,1.95,0.2034,0.1261,1.0153,6452.5,14532.1,6313,5588,10148.6,2653.19,18618.4,0.6876
PT Bank Central Asia Tbk (JKSE:BBCA),JKSE:BBCA,Diversified Banks (Primary),30327.5,4.68,0.2227,0.1814,0.9804,20823.7,23197,4370,4519,2016,0,7881.9,0.2558
State Bank of India (NSEI:SBIN),NSEI:SBIN,Diversified Banks (Primary),29779.1,1.09,0.0465,0.0987,0.9689,-1937.1,12946.4,12968, NA ,0,0,18254.9,0
DBS Group Holdings Ltd (SGX:D05),SGX:D05,Diversified Banks (Primary),28506.8,1,0.1126,0.1353,0.9181,6698.1,19612.8,14771,13396,6682.6,367.6,17292.6,0.4077
Danske Bank A/S (CPSE:DANSKE),CPSE:DANSKE,Diversified Banks (Primary),27700.1,1.18,0.0833,0.1854,0.9608,783.7,20928.9,4976,5912,1231.3,10474.7,7166.7,1.6334
Credit Agricole S.A. (ENXTPA:ACA),ENXTPA:ACA,Diversified Banks (Primary),27592.8,0.47,0.0607,0.137,0.7783,-27474.2,2830.6,133,2592,0,0,3084.9,0
Svenska Handelsbanken AB (publ) (OM:SHB A),OM:SHB A,Diversified Banks (Primary),27320,1.8,0.1281,0.2377,0.8768,6907.3,17203.6,5639,3654,6044.9,0,13123.9,0.4606
Societe Generale Group (ENXTPA:GLE),ENXTPA:GLE,Diversified Banks (Primary),27284.4,0.43,0.0722,0.14,0.8457,-34763,-419.3,13696,11852,10016.9,466,20767.1,0.5048
The Royal Bank of Scotland Group plc (LSE:RBS),LSE:RBS,Diversified Banks (Primary),26789.2,0.34,-0.0377,0.191,0.8707,-56654.3,-1601.5,-7290,-33419,10936.4,2071.1,-39490.7,-0.3294
Standard Chartered PLC (LSE:STAN),LSE:STAN,Diversified Banks (Primary),26675.9,0.55,-0.0663,0.1412,0.8876,-24686.4,8575.5,26051,24041,8281,1188,21957,0.4313
Oversea-Chinese Banking Corporation Limited (SGX:O39),SGX:O39,Diversified Banks (Primary),26481.3,1.12,0.113,0.1483,0.8535,8722.8,15735.3,13968,10304,3015.7,560.8,16054.5,0.2228
Swedbank AB (publ) (OM:SWED A),OM:SWED A,Diversified Banks (Primary),26255.1,1.8,0.1482,0.2687,0.8489,11676.1,22234.7,3598,2933,5932.2,900.8,9516.7,0.718
"China Everbright Bank Co., Ltd. (SHSE:601818)",SHSE:601818,Diversified Banks (Primary),25820.6,0.82,0.1427,0.1015,1.0899, NA , NA ,26478,29960,4981.3,0,23327.9,0.2135
KBC Group NV (ENXTBR:KBC),ENXTBR:KBC,Diversified Banks (Primary),24170.6,1.41,0.1666,0.1682,0.9292,-23917.8,14071.6,-2684,-3342,4415.1,11569.2,6181.6,2.5858
"Ping An Bank Co., Ltd. (SZSE:000001)",SZSE:000001,Diversified Banks (Primary),23351.2,0.94,0.1365,0.0903,0.9292,12324.8,19046.2,22472,20959,778.15,0,14541.3,0.0535
PT Bank Rakyat Indonesia (Persero) Tbk (JKSE:BBRI),JKSE:BBRI,Diversified Banks (Primary),23107.1,2.83,0.2372,0.1676,0.7976,13451.5,18033.2,6153,4911,2724.8,165.7,11201.6,0.258
United Overseas Bank Limited (SGX:U11),SGX:U11,Diversified Banks (Primary),22500.9,1.12,0.1182,0.1297,0.91,1563.8,8991.3,10852,9708,4829.6,41.72,14647.7,0.3326
Skandinaviska Enskilda Banken AB (publ) (OM:SEB A),OM:SEB A,Diversified Banks (Primary),22259.9,1.32,0.0713,0.2127,0.8501,4842.8,16928.5,6268,3869,4662.6,0,11239.9,0.4148
"SunTrust Banks, Inc. (NYSE:STI)",NYSE:STI,Regional Banks (Primary),21698.5,0.98,0.0887,0.108,0.8055,-52.6,11238.1,4938,190,2011,1287,6281,0.5251
Al Rajhi Banking and Investment Corporation (SASE:1120),SASE:1120,Diversified Banks (Primary),21650.5,1.74,0.1662,0.1974,1,-25235.2,-730.4,5224,6972,7573.1,0,13384,0.5658
DNB ASA (OB:DNB),OB:DNB,Diversified Banks (Primary),21506,1,0.1276,0.1533,0.9111,1166.9,16338.3,10406,8073,4026.4,0,17117.5,0.2352
"Bank of Beijing Co., Ltd. (SHSE:601169)",SHSE:601169,Regional Banks (Primary),20748.9,1.21,0.1524,0.0914,1.0449,3392.1,12617.6,12249, NA ,2065.2,0,12484,0.1654
PT Bank Mandiri (Persero) Tbk (JKSE:BMRI),JKSE:BMRI,Diversified Banks (Primary),20257.4,2.39,0.156,0.1615,0.7966,12559.3,16447.4,5722,4750,2266.9,0,9316.8,0.2433
Banco do Brasil S.A. (BOVESPA:BBAS3),BOVESPA:BBAS3,Diversified Banks (Primary),20128.8,1.02,0.164,0.1139,1.2207,-22145.2,3865.4,6864,10688,7649.2,721.7,39871.5,0.2099
AXIS Bank Limited (BSE:532215),BSE:532215,Diversified Banks (Primary),19782.6,2.45,0.1559,0.1251,0.9432,10998.9,16055.8,6070,5618,0,0,0,7
ABN AMRO Group N.V. (ENXTAM:ABN),ENXTAM:ABN,Diversified Banks (Primary),19288,1.01,0.0956,0.1688,1.0375, NA , NA , NA , NA ,2015,5.22,7271.7,0.2778
Public Bank Berhad (KLSE:PBBANK),KLSE:PBBANK,Diversified Banks (Primary),18511.2,2.55,0.177,0.1256,0.9644,7391.6,9915.7,4509,4232,3502.7,0.2,7846.8,0.4464
Malayan Banking Berhad (KLSE:MAYBANK),KLSE:MAYBANK,Diversified Banks (Primary),18156,1.26,0.1062,0.1447,0.8757,4601.9,10950.8,7281,5501,6715.3,0,10626.6,0.6319
"Allied Irish Banks, p.l.c. (ISE:AIB1)",ISE:AIB1,Diversified Banks (Primary),18109.2,1.37,0.1147,0.167,0.805,-1919.2,15974,661,-3265,547.5,0,-24498.8,-0.0223
"Bank of Jiangsu Co., Ltd. (SHSE:600919)",SHSE:600919,Regional Banks (Primary),17309.9,1.72,0.1527,0.086,1.0033, NA , NA ,8390, NA ,1112.8,0,7288,0.1527
Shinhan Financial Group Company Limited (KOSE:A055550),KOSE:A055550,Diversified Banks (Primary),17306.6,0.67,0.0847,0.1141,0.7588,-5352.6,7987,12419, NA ,2939.9,0,14085.2,0.2087
The National Commercial Bank (SASE:1180),SASE:1180,Diversified Banks (Primary),17306,1.2,0.1699,0.1509,1.0173, NA , NA ,7473,8006,4705.8,0,12482.1,0.377
Standard Bank Group Limited (JSE:SBK),JSE:SBK,Diversified Banks (Primary),16659.6,1.71,0.151,0.1231,0.7694,-1223.8,4055.2,1039,302,4878,126.1,11597.3,0.4315
"Hua Xia Bank Co., Limited (SHSE:600015)",SHSE:600015,Diversified Banks (Primary),16102.2,0.89,0.1614,0.0889,1.0052,5086.3,10785.5,14107,14348,2809.8,0,13343.8,0.2106
Fifth Third Bancorp (NasdaqGS:FITB),NasdaqGS:FITB,Regional Banks (Primary),15595.6,1.07,0.1169,0.1093,0.914,2210.1,10826,6672,1336,2487,3474,9392,0.6347
"Grupo Financiero Banorte, S.A.B. de C.V. (BMV:GFNORTE O)",BMV:GFNORTE O,Diversified Banks (Primary),15053,1.91,0.1264,0.1355,0.5376,6722.3,11450.8,5145, NA ,756.5,161.7,5497.6,0.167
The Siam Commercial Bank Public Company Limited (SET:SCB),SET:SCB,Diversified Banks (Primary),14661.2,1.72,0.1472,0.1412,0.8635,9805.2,11216.3,5243,4445,2939.3,0,8277.2,0.3551
BNP Paribas Fortis SA/NV (ENXTBR:017250539),ENXTBR:017250539,Diversified Banks (Primary),14503.5,0.71,0.0972,0.1443,0.9812, NA , NA ,3093,-10287,3584,0,6247.9,0.5736
JSC VTB Bank (LSE:VTBR),LSE:VTBR,Diversified Banks (Primary),14482.5,1.12,0.0485,0.1238,1.4106,-12094.2,7190.7,-211,5843,1778.1,3031.3,8701.1,0.5527
Natixis (ENXTPA:KN),ENXTPA:KN,Diversified Banks (Primary),14458.9,0.69,0.0634,0.1212,0.7168,-8871.5,9394.2,-922,-3809,2578.1,7.79,7163.7,0.361
First Gulf Bank PJSC (ADX:FGB),ADX:FGB,Diversified Banks (Primary),14090.4,1.44,0.1608,0.1627,0.8611,6534.9,10665.3,5353, NA ,3615.5,275.3,8447.7,0.4606
UniCredit S.p.A. (BIT:UCG),BIT:UCG,Diversified Banks (Primary),13870.1,0.25,0.0404,0.115,0.8968,-59303.3,-13808.4,-22454,99,4980.37,4.81,-21567.1,-0.2311
"CaixaBank, S.A. (BME:CABK)",BME:CABK,Diversified Banks (Primary),13340.5,0.49,0.0302,0.129,0.7345,-6504,276.6,10212, NA ,4172.9,1056,7253.9,0.7208
KeyCorp. (NYSE:KEY),NYSE:KEY,Regional Banks (Primary),13148.5,1.26,0.0799,0.1135,0.9767,4031.9,8931,3048,-1433,1476,1657,3723,0.8415
Kasikornbank Public Company Limited (SET:KBANK),SET:KBANK,Diversified Banks (Primary),12979.7,1.64,0.1243,0.1453,0.8806,6833.5,9882.8,4665,4295,1467.4,0,6789.5,0.2161
National Bank of Abu Dhabi PJSC (ADX:NBAD),ADX:NBAD,Diversified Banks (Primary),12809.7,1.09,0.1159,0.1566,0.9972,2974.5,8042,7859,7654,2107.2,0,8248.6,0.2555
"Citizens Financial Group, Inc. (NYSE:CFG)",NYSE:CFG,Regional Banks (Primary),12779,0.66,0.0468,0.1195,0.7029, NA , NA ,1032, NA ,696,834,-1301,-1.176
"Sumitomo Mitsui Trust Holdings, Inc. (TSE:8309)",TSE:8309,Diversified Banks (Primary),12476.2,0.59,0.0722,0.1337,1.0159,4917.9,6987.6, NA , NA ,328.6,1.01,7307.5,0.0451
"KB Financial Group, Inc. (KOSE:A105560)",KOSE:A105560,Diversified Banks (Primary),12432,0.51,0.0672,0.1359,0.8921, NA , NA ,11841, NA ,1020.1,0,8196.8,0.1245
Emirates NBD Bank PJSC (DFM:EMIRATESNBD),DFM:EMIRATESNBD,Diversified Banks (Primary),12333.1,0.89,0.1483,0.1802,0.8719,-4806.3,8137.8,6829,6498,2871.1,0,7157.3,0.4011
"Grupo Financiero Santander Mexico, S.A.B. de C.V. (BMV:SANMEX B)",BMV:SANMEX B,Diversified Banks (Primary),12063.4,1.9,0.1262,0.121,0.7326, NA , NA ,1251, NA ,3288.4,50.69,7347.2,0.4545
Erste Group Bank AG (WBAG:EBS),WBAG:EBS,Diversified Banks (Primary),12053.1,1.01,0.1229,0.1235,1.1027,-9055,5314.2,664,2773,2138,2429.3,1637.4,2.7894
National Bank of Canada (TSX:NA),TSX:NA,Diversified Banks (Primary),11948,1.64,0.1285,0.1253,0.905,3591,7874.3,3375,2068,3065.7,559.7,8374.4,0.4329
First Republic Bank (NYSE:FRC),NYSE:FRC,Regional Banks (Primary),11438.9,2.43,0.1267,0.1313,1.1644, NA , NA ,2030,4219,420.1,309.6,2844.6,0.2565
"The Bank of East Asia, Limited (SEHK:23)",SEHK:23,Diversified Banks (Primary),11342.3,1.07,0.0517,0.1366,0.8344,571.7,7844.4,6488,5930,813.5,0,4646,0.1751
Turkiye Garanti Bankasi A.S. (IBSE:GARAN),IBSE:GARAN,Diversified Banks (Primary),11209.5,1.06,0.136,0.1282,0.9997,-7600.5,7672.1,4229,4461,1702.4,0,12253.7,0.1389
Banco de Chile (SNSE:CHILE),SNSE:CHILE,Diversified Banks (Primary),11042.3,2.86,0.2184,0.0997,1,5216.4,6818.6,1798,1835,3985.5,0,5857.3,0.6804
Akbank T.A.S. (IBSE:AKBNK),IBSE:AKBNK,Diversified Banks (Primary),10821.2,1.13,0.1518,0.1333,1.0009,-11443.7,1530.6,2266,2121,1788.6,0,10786.7,0.1658
Huntington Bancshares Incorporated (NasdaqGS:HBAN),NasdaqGS:HBAN,Regional Banks (Primary),10632.6,1.71,0.109,0.1053,0.9913,5231.9,7828.7,857,1118,1166.2,860.1,358.7,5.649
National Bank of Kuwait K.S.C.P. (KWSE:NBK),KWSE:NBK,Diversified Banks (Primary),10622.9,1.09,0.0913,0.1473,0.7372,-4663.4,-516.4,4136,2903,3298.4,432.7,6831.5,0.5462
CIMB Group Holdings Berhad (KLSE:CIMB),KLSE:CIMB,Diversified Banks (Primary),9943.9,1.04,0.0862,0.1183,0.6137,-802.9,4022.5,4605, NA ,1627.4,0.07,7583.1,0.2146
Banco de Credito del Peru (BVL:CREDITC1),BVL:CREDITC1,Diversified Banks (Primary),9814.4,2.8,0.2414,0.0961,0.8143,5334, NA ,2199, NA ,1294,0,3921.7,0.33
Banco Santander-Chile (SNSE:BSANTANDER),SNSE:BSANTANDER,Diversified Banks (Primary),9758.3,2.53,0.1786,0.1034,1,478.3,3712.2,1527,1527,3414.2,0,5829.1,0.5857
Abu Dhabi Commercial Bank P.J.S.C. (ADX:ADCB),ADX:ADCB,Diversified Banks (Primary),9539.2,1.22,0.158,0.1629,0.9961,2547.3,7208.3,3519,3930,1958.4,570.5,4879.5,0.5183
Barclays Africa Group Limited (JSE:BGA),JSE:BGA,Diversified Banks (Primary),9367.9,1.62,0.1715,0.1257,0.9892,-1499.3,1576,703,1009,3836.6,311.38,7748.9,0.5353
"Bank of Nanjing Co., Ltd. (SHSE:601009)",SHSE:601009,Regional Banks (Primary),9320.7,1.28,0.1615,0.1035,1.1057,4518.3,7062.4,5607, NA ,1393,0,4455.1,0.3127
"Bankia, S.A. (BME:BKIA)",BME:BKIA,Diversified Banks (Primary),9307.2,0.68,0.0782,0.1389,0.8939, NA , NA , NA , NA ,218.9,707.5,-25810.1,-0.0359
Grupo Aval Acciones Y Valores S.A. (BVC:GRUPOAVAL),BVC:GRUPOAVAL,Diversified Banks (Primary),9292,2.02,0.1649,0.0764,0.9378,4848,6278.5,2991, NA ,2635.9,0,4784.2,0.551
"China Zheshang Bank Co., Ltd (SEHK:2016)",SEHK:2016,Diversified Banks (Primary),9192.6,1.2,0.1664,0.0935,1.0119, NA , NA ,7018, NA ,1020.73,0,4191.3,0.2435
"Bank of Ningbo Co., Ltd. (SZSE:002142)",SZSE:002142,Regional Banks (Primary),9151.2,1.48,0.1734,0.1012,1.1149,1646.2,6660,4898,5668,1795,0,4450.4,0.4033
Samba Financial Group (SASE:1090),SASE:1090,Diversified Banks (Primary),8876.9,0.83,0.1287,0.1947,0.9997,-19920.4,-3412.6,5436,5383,3364.2,195.2,8625.4,0.4127
Bank of the Philippine Islands (PSE:BPI),PSE:BPI,Diversified Banks (Primary),8562.1,2.67,0.143,0.1489,0.9727,4556.8, NA ,1878,1983,1013.6,0,2350.6,0.4312
"BDO Unibank, Inc. (PSE:BDO)",PSE:BDO,Diversified Banks (Primary),8328.8,2.02,0.1364,0.1308,1.0144,4974.8, NA ,3032,3136,528.04,0,2482.9,0.2127
Comerica Incorporated (NYSE:CMA),NYSE:CMA,Diversified Banks (Primary),8237.8,1.09,0.055,0.1054,0.9722,1664,5250.7,2537,-455,834,1220,2863,0.7174
Commerzbank AG (DB:CBK),DB:CBK,Diversified Banks (Primary),8139.3,0.25,0.0274,0.1377,0.9286,-17234.2,1278.2,5126,-1700,0,0,-2231.1,0
Yes Bank Limited (BSE:532648),BSE:532648,Diversified Banks (Primary),8047.5,3.88,0.1838,0.1073,1.0368,6275.2,7588.4, NA , NA ,0,0,630.6,0
Kuwait Finance House (K.S.C.P.) (KWSE:KFIN),KWSE:KFIN,Diversified Banks (Primary),7970.7,1.36,0.0873,0.1538,1.0171,-6753.6,-2161.1,1372, NA ,1284.2,300.8,2712.7,0.5843
Riyad Bank (SASE:1010),SASE:1010,Diversified Banks (Primary),7773.3,0.8,0.1115,0.1617,1,-8058.6,-699.5,2892,3595,3934.1,0,6616.3,0.5946
Nedbank Group Limited (JSE:NED),JSE:NED,Diversified Banks (Primary),7746.9,1.6,0.1522,0.1199,0.8038,-181.8,3578.6,1115, NA ,2475.4,265.74,5393.7,0.5082
Bank of Ayudhya Public Company Limited (SET:BAY),SET:BAY,Diversified Banks (Primary),7692.2,1.46,0.1097,0.1233,0.8597,2689.7,6070.1,2805,2338,878.5,0,2574.1,0.3413
Bank Hapoalim B.M. (TASE:POLI),TASE:POLI,Diversified Banks (Primary),7548.6,0.89,0.0972,0.1013,1.0582,1268.5,4724.6,3502,3446,411.4,110.74,4574.4,0.1141
Hana Financial Group Inc. (KOSE:A086790),KOSE:A086790,Diversified Banks (Primary),7493.5,0.4,0.0438,0.1043,0.8751,-3920.6,4229.8,11748, NA ,819.2,5.79,6245.5,0.1321
CIT Group Inc. (NYSE:CIT),NYSE:CIT,Regional Banks (Primary),7310.1,0.67,0.091,0.1289,0.8167, NA , NA ,5840,1467,321.6,1500.7,2990.4,0.6094
The Saudi British Bank (SASE:1060),SASE:1060,Diversified Banks (Primary),7245.5,0.97,0.1554,0.1539,1,-7053.2,-1387.1,4407,5203,1505.35,1.59,5974.9,0.2522
Turkiye Is Bankasi A.S. (IBSE:ISCTR),IBSE:ISCTR,Diversified Banks (Primary),7202.9,0.65,0.1191,0.1284,1.1029, NA , NA ,3262, NA ,2349.7,0,10843.5,0.2167
Masraf Al Rayan (Q.S.C) (DSM:MARK),DSM:MARK,Diversified Banks (Primary),7187.4,2.17,0.1765,0.1854,0.886,2449.8,4922.5,1744,1591,1044.4,0,2960.9,0.3527
Dubai Islamic Bank P.J.S.C (DFM:DIB),DFM:DIB,Diversified Banks (Primary),7120.3,1.28,0.1779,0.1552,0.9367,-1852.7,5563.3,3191,2797,1656.8,0.48,3198.4,0.5182
Banco de Bogota S.A. (BVC:BOGOTA),BVC:BOGOTA,Diversified Banks (Primary),7082.5,1.66,0.1756,0.0557,0.4991,3234.5,4686.5,3069, NA ,1944.7,0,4274.5,0.455
"Banco de Sabadell, S.A. (BME:SAB)",BME:SAB,Diversified Banks (Primary),7044.3,0.51,0.0628,0.115,0.802,-5262.6,-492.2,7631, NA ,911.1,4391.6,3087.9,1.7173
"Woori Bank Co., Ltd. (KOSE:A000030)",KOSE:A000030,Diversified Banks (Primary),6976.8,0.43,0.0688,0.1043,0.8372, NA , NA ,4979, NA ,2042.8,34.4,6909.6,0.3006
Attijariwafa Bank S.A. (CBSE:ATW),CBSE:ATW,Diversified Banks (Primary),6961.8,1.87,0.1287,0.1007,0.8467,-683.7,1286.4,1412, NA ,874.3,7.31,3485.5,0.2529
Qatar Islamic Bank (Q.S.C.) (DSM:QIBK),DSM:QIBK,Diversified Banks (Primary),6741.4,1.6,0.1375,0.1371,0.9352,1595.6,2265.3,2261,2441,2070.9,0,2768.5,0.748
