Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
PT Bank Panin Dubai Syariah Tbk (JKSE:PNBS),JKSE:PNBS,Diversified Banks (Primary),149.4,1.78,0.0308,0.19,0.9534, NA , NA ,75, NA ,0,0,15.77,0
Social Islami Bank Limited (DSE:SIBL),DSE:SIBL,Regional Banks (Primary),148.5,0.9,0.18,0.0868,0.9203,65.6,107.8,139, NA ,39.55,0,113.53,0.3484
C&F Financial Corp. (NasdaqGS:CFFI),NasdaqGS:CFFI,Regional Banks (Primary),148.1,1.13,0.0992,0.1372,1.0465,57,100.4,66,64,27.92,1.85,82.24,0.362
"Shore Bancshares, Inc. (NasdaqGS:SHBI)",NasdaqGS:SHBI,Regional Banks (Primary),147.8,1.01,0.0599,0.156,0.8571,-36.2,-53.8,20,22,10.57,0,-2.41,-4.3918
AB Bank Limited (DSE:ABBANK),DSE:ABBANK,Diversified Banks (Primary),145,0.48,0.0674,0.0741,0.8106,-68.9,56.6,203,156,20.99,0,193.8,0.1083
Silk Bank Limited (KASE:SILK),KASE:SILK,Diversified Banks (Primary),143.2,1.21,-0.1025,0.126,0.9381,-16.9,118.8,62,76,0,0,-69.75,0
First Keystone Corporation (OTCBB:FKYS),OTCBB:FKYS,Regional Banks (Primary),138.3,1.28,0.0827,0.1267,0.7445,66.9,59.4,39, NA ,38.44,0,66.68,0.5765
Banco Alfa de Investimento S.A. (BOVESPA:BRIV4),BOVESPA:BRIV4,Regional Banks (Primary),137.4,0.42,0.0781,0.2348,1.6473,-348.4,-104.4,-75, NA ,86.36,1.7,242.1,0.3637
IFIC Bank Limited (DSE:IFIC),DSE:IFIC,Diversified Banks (Primary),135.7,0.86,0.0923,0.0916,0.9096,-91.1,-94.9,112,98,0,0,118.3,0
Al Baraka Bank Egypt (S.A.E) (CASE:SAUD),CASE:SAUD,Regional Banks (Primary),133.6,0.7,0.225,0.0917,0.785,-116.7,68.4,79, NA ,28.94,0,155.9,0.1856
Nations Trust Bank PLC (COSE:NTB-N-0000),COSE:NTB-N-0000,Diversified Banks (Primary),130,1.24,0.1721,0.1315,0.9943,95.6,97,67,67,23.62,0,98.77,0.2391
Union Bank of Colombo PLC (COSE:UBC-N-0000),COSE:UBC-N-0000,Diversified Banks (Primary),125.8,1.11,0.0235,0.2096,0.8979, NA , NA ,101, NA ,2.16,0,10.56,0.2047
BankIslami Pakistan Limited (KASE:BIPL),KASE:BIPL,Diversified Banks (Primary),123.3,1.14,0.0232,0.0952,0.7344,39.2,84,42,15,0,0,6.52,0
Zambia National Commercial Bank Plc (LUSE:ZANACO),LUSE:ZANACO,Diversified Banks (Primary),121,1.29,0.1287,0.1674,0.6926, NA ,28.1,27,8,39.6,0,160,0.2475
ONE Bank Limited (DSE:ONEBANKLTD),DSE:ONEBANKLTD,Regional Banks (Primary),120.9,0.87,0.1804,0.08,0.9871,34,58.4,106, NA ,16.5,0,128.3,0.1286
Shahjalal Islami Bank Limited (DSE:SHAHJABANK),DSE:SHAHJABANK,Diversified Banks (Primary),120.7,0.77,0.1088,0.1218,0.9975,20.8,19.6,105, NA ,10.91,0,125.9,0.0867
The Bank Of Khyber (KASE:BOK),KASE:BOK,Diversified Banks (Primary),120.6,0.79,0.1324,0.2165,0.861,70.3,88.1,93,75,9.46,0,60.83,0.1555
Uttara Bank Limited (DSE:UTTARABANK),DSE:UTTARABANK,Diversified Banks (Primary),120.2,0.71,0.1149,0.1069,0.7678,-21.4,-75.8,116, NA ,35.35,0,128.2,0.2757
Development Finance Company of Uganda Limited (UGSE:DFCU),UGSE:DFCU,Regional Banks (Primary),115.9,1.82,0.2075,0.1649,0.7987, NA , NA ,32,20,23.51,0,83.04,0.2831
PT Bank Capital Indonesia Tbk (JKSE:BACA),JKSE:BACA,Diversified Banks (Primary),114.9,1.51,0.1069,0.1463,0.9895,97.9,101.2,59,59,0,0,31.39,0
Citizens Holding Company (NasdaqGM:CIZN),NasdaqGM:CIZN,Regional Banks (Primary),114.6,1.33,0.0865,0.1637,1.0463,25.9,12.6,15,22,29.75,1.83,50.49,0.6254
QNB Corp. (OTCPK:QNBC),OTCPK:QNBC,Regional Banks (Primary),114,1.26,0.0944,0.116,1.0044,37.2,59.1,37,37,21.59,0.87,55.13,0.4073
National Credit & Commerce Bank Limited (DSE:NCCBANK),DSE:NCCBANK,Diversified Banks (Primary),111.3,0.56,0.0888,0.122,0.9731,33.8,39.8,142, NA ,13.35,0,152.5,0.0875
Mutual Trust Bank Limited (DSE:MTB),DSE:MTB,Diversified Banks (Primary),109.5,0.96,0.1683,0.0733,0.8475,34.2,51.8,78,61,3.83,0,72.17,0.0531
Jamuna Bank Limited (DSE:JAMUNABANK),DSE:JAMUNABANK,Diversified Banks (Primary),107.9,0.54,0.1139,0.0945,0.6837,77.5,60.6,191,128,8.13,0,111.3,0.073
The Community Financial Corp. (NasdaqCM:TCFC),NasdaqCM:TCFC,Regional Banks (Primary),107.6,1.08,0.0617,0.1138,1.1222,43.6, NA ,49,33,12.9,3.1,35.27,0.4535
CAL Bank Limited (GHSE:CAL),GHSE:CAL,Diversified Banks (Primary),107.4,0.79,0.2813,0.1666,0.8379,34.2, NA ,106,87,37.38,3.46,177.18,0.2305
PT Bank MNC Internasional Tbk (JKSE:BABP),JKSE:BABP,Regional Banks (Primary),106.1,0.86,0.0067,0.1673,0.8215, NA ,78.5,78,57,0.65,0,-19.26,-0.0337
Eastern Virginia Bankshares Inc. (NasdaqGS:EVBS),NasdaqGS:EVBS,Regional Banks (Primary),105.2,0.91,0.0718,0.1266,0.9715,4.3,53.3,38,26,12.38,0,-4.05,-3.057
PT Bank Maspion Indonesia Tbk (JKSE:BMAS),JKSE:BMAS,Diversified Banks (Primary),103.8,1.69,0.0775,0.1846,0.9528, NA , NA ,44, NA ,4.48,0,18.49,0.2421
Lombard Bank Malta plc (MTSE:LOM),MTSE:LOM,Regional Banks (Primary),103.1,1.06,0.053,0.1642,0.8671,-60.9,-43,16,8,17.79,0,52.38,0.3396
Bank of Baroda (Uganda) Limited (UGSE:BOBU),UGSE:BOBU,Diversified Banks (Primary),101,1.54,0.1865,0.2853,0.9388, NA , NA ,37,38,11.46,0,77.56,0.1478
