Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation
Comcast ,43.15,FCFE,57.75,EV/EBITDA,46.62,,Buy
Comfort Del Gro,2.56,FCFF,2.56,EV/EBITDA,3.11,,HOLD
Community Health Systems,3.15,FCFF,-21.7,EV/EBITDA,-63.36,11.67,Sell
Comscore,12.66,FCFF,1.89,EV/Sales,15.13,,Sell
Concho Resources Inc. ,110.92,2Stg - FCFF,119.22,TEV/EBITDA,131.16,,Buy
Corus Entertainment,5.89,FCFF,10.36,EV/EBITDA,24.4,,Buy
Costco,247.02,FCFF3,144.05,PBV,172.46276385,,Sell
Costco,247.02,FCFF,252.42,EV/Sales,260.1,,Buy
Costco,247.03,FCFF,190.27,P/B,125.08,,Sell
Costco ,247.02,FCFF,267.82,EV/Sales,290.88,,Buy 
Costco ,247.02,FCFF,319.26,EV/Sales,233.73,,Buy
Costco Wholesale Corporation,247.02,FCFF,207.66,PBV,67.4,,Sell
Credit Suisse,13.68,FCFE,13.98,P/BV,9.94,,Sell
Cushman & Wakefield,18.18,FCFF,40.26,EV/Sales,15.94,,Buy
CVS,55.16,FCFF,42.2,EV/EBITDA,44.36,4.43,Sell
CVS Health,55.35,FCFF,49.82,EV/Sales,65.05,,Sell
CyberArk Software Ltd.,125.74,FCFF,88.23,EV/EBITDA,120,,Hold
CyberArk Software Ltd.,125.09,FCFF,104.33,EV/Sales,104.1,,Sell
Dave & Buster's,59.09,FCFF,65.21,EV/Sales,68.14,,Buy
Del Taco ,11.88,FCFF,9.61,EV/EBITDA,26.39,,Sell
"Delta Airlines, Inc.",56.62,FCFF,68.91,EV/EBITDA,58.64,,Buy
Deutsche Bank,7.02,DDM,30,P/Tangible BV,20.87,,Buy
DexCom,118.14,FCFF,132.25,EV/Sales,108.61,,Hold
Dexcom Inc.,118.79,FCFF,147.22,EV/EBITDA,131.26,,Buy
Diageo Plc.,32.4,FCFF,24.7,TEV/LTM EBITDA,34.2,,Hold
Dillard's,66.11,FCFF,47.94,PE,42.19,,Sell
Dillard's Inc.,66.11,FCFF,66.43,EV/Sales,73.94,,Hold
Dino Polska,127.3,FCFF,138.29,PE,99.82,,Buy
Direcional Engenharia (BOVESPA: DIRR3),8.3,FCFF,8.94,PBV,11.29,,Buy
DocuSign,53.24,FCFF,40.01,EV/ Invested Capital,40.39,,Sell
Dropbox,23.5,FCFF,11.16,P/E,26.43,,Sell
Duke Energy (NYSE: DUK),86.83,FCFF,89.47,PE,92.63,,Hold
E-Mart,160500,FCFE,162551,EV/EBITDA,193564,,Hold
"e.l.f Beauty, Inc.",11.38,FCFE,4.23,EV/Sales,11.08,,Sell
"EasyJet, plc",10.34,FCFF,20.44,PE,10.68,,Buy
Egyptian Resorts Co.,1.92,FCFF,0.78,PBV,1.11,,Sell
Empresas Publicas De Medellin (Private Company),,FCFF,,EV/EBITDA,,,Buy
Enel S.p.A.,5.55,FCFF,9.47,PE,6.63,,Buy
EnLink Midstream,11.05,FCFF,12.37,EV/Sales,22.6,,Buy
Ericsson ,88.13,FCFF,120.23,EV/EBITDA,103.4,,Buy
Estee Lauder,164.35,FCFF,176.21,EV/EBITDA,157.8,,HOLD
Etsy,66.97,FCFF,46.52,PBV,29.55,,Sell
Etsy,66.97,FCFF,46.52,PBV,29.55,,Sell
Etsy,61.8,FCFF,67.69,EV/Sales,67.23,,Buy
Everest Re,245.77,FCFF,179.57,PBV,238.82,,Buy
Expedia,120.23,FCFF,129.24,EV/Sales,99.02,,Hold
Expedia,120.23,FCFF,129.24,EV/Sales,99.02,,Hold
Express,3.69,FCFF,3.62,EV/Sales,10.3,,Hold
Express (EXPR),3.66,FCFF,0,EV/EBITDA,4.58,,Sell
"Express, Inc (EXPR)",3.79,FCFF,0.45,PE,1.76,,Sell
Facebook,189.91,FCFF,245.32,EV/EBITDA,209.92,,Buy
Facebook,188.34,FCFF,156.22,EV/Sales,143.22,152.97,Sell
Facebook,188.34,FCFF,196.45,EV/EBITDA,271.5,,Buy
Facebook,193.4,FCFF,210.21,EV/Sales,202.41,,Buy
Ferrari,125,FCFF,98,EV/EBITDA,19.78,,Sell
Ferrari,118,FCFF,103.92,PE,100.04,,Hold
Ferrari N.V,137.45,FCFF,137.75,EVEBITDA,128.39,,Hold
Fiat Chrysler,13.67,FCFF,54.2,EV/EBITDA,19.24,,BUY
Fiserv Inc.,85,FCFF,77,EV/EBITDA,87.87,,Hold
Fitbit,5.03,FCFF,5.25,EV/Sales,13.9,,Buy
Fitbit,5.03,FCFF,3.15,EV/Sales,3.62,,Sell
FitBit,5.03,FCFF,5.92,P/Sales,14.99,,Hold
Five Below,135.38,FCFF3,143.82,PBV,61.11,,Hold
Ford,10.2,FCFF,12.59,PE,15.23,,Buy
Ford Motor Company,10.38,FCFF,14.69,PE,27.76,,Buy
Fosun Tourism Group,1.95,FCFF,2.28,EV/Sales,2.51,,Buy
Fosun Tourism Group,1.95,FCFF,2.28,,,,Buy
"Fuyao Glass Industry Group Co., Ltd.",23.54,FCFF,24.25,VS,25.23,,Hold
Gartner,154.46,FCFF,81.1,EV/Sales,145.75,,Sell
Gateley (Holdings) PLC,1.61,FCFF,1.98,EVEBITDA,1.65,,Buy
Gazprom,163.77,FCFF,198.52,EV/Sales,583.21,,Hold
GlaxoSmithKline,39.66,FCFF,35.89,EV/EBITDA,36.99,,Hold
Goldman Sachs Group,202.5,Dividends,219.14,PBV,226.74,,Buy
"GoPro, Inc.",6.41,FCFF,5.7,EV/Sales,6.26,,Sell
Great Canadian Gaming Company,42.39,FCFE,31.66,PE,22.54,,Sell
Groupon,3.5,FCFF,3.08,EV/Sales,5.74,,Sell
Grubhub,69.78,FCFF,66.95,EV/Sales,58.98,,Hold
Grubhub,68.38,FCFF,39,Other,77.43,,Hold
Grubhub,68.39,FCFF,42.35,PBV,44.69,,Sell
Grubhub,66.6,FCFF,51.02,EV/Sales,31.39,,Sell
Grubhub,66.6,FCFF,30.18,EV/Sales,32.74,,Sell
GrubHub,66.63,FCFF,64.4,P/E,63.57,,Hold
GrubHub,66.6,FCFF,75.4,EV/Invested Capital,83.79,,Buy
GrubHub,63.99,FCFF,43.93,PBV,88.28,,Buy
Grubhub Inc.,66.6,FCFF,109.27,EV/Sales,54.08,,Buy
GrubHub Inc.,66.6,FCFF,29.13,EV/Sales,107.97,,Hold
"Grubhub, Inc.",66.6,FCFF,67.5,EV/EBITDA,62.96,,Hold
Grupo Aeroportuario del Pacifico,188.83,FCFF,199.82,EV/Sales,199.82,,Buy
H&M,16.51,FCFF,15.41,P/BV,16.03,,Sell
Haidilao International Holding Ltd. (SEHK:6862),28.85,FCFF,33.02,EV/EBITDA,34.3,,Buy
Halozyme Therapeutics,16.22,FCFF,14.31,EV/Sales,10.02,,Sell
Hawaiian Holdings,27.58,FCFF,43.16,EV/EBITDA,52.56,,Buy
"HCA Healthcare, Inc",123.75,FCFF,142.42,EV/EBITDA,493.7,,Buy
Health and Happiness,47,FCFF,56.17,PE,49.63,,Buy
Hello Fresh ,8.3,FCFF,14.59,EV/Sales,19,,Buy
Henkel,80,FCFE,93.25,PBV,190.11,,Hold
Home Depot,194.58,FCFF,143.78,EVEBITDA,107.02,,Sell
Home Depot,194.58,FCFF,165.32,EV/EBITDA,205.07,,Sell
HYATT,76.38,FCFF,75.45,EV/Sales,75.44,,Sell
Hyundai Motor Company,110.71,FCFF,107.6,EV/EBITDA,149.23,,Sell
ICICI Bank,386.5,Excess Return,426.1,P/B,426.3,,Buy
IMAX,23.37,FCFF,9.18,EV/Sales,4.21,,Sell
Imperial Brands (IMB),28.32,FCFF,60.02,PE,41.26,,Buy
Infosys,10.26,FCFF,7.3,EV/Sales,10.59,,Sell
Intuitive Surgical,495.31,FCFF,263.05,PS,200.26,,Sell
IPG Photonics,153.62,FCFF,224.14,EV/EBITDA,212.56,,Buy
"iQIYI, Inc. ",20.96,FCFF,26.46,EV/EBITDA,32.87,,Buy
IRadimed,23.12,3Stg - FCFE,30.57,TEV/Sales,24.36,,Buy
istyle inc.,770,FCFF,684.87,EV/Sales,463.38,,SELL
Itau Unibanco,32.41,Dividends,35.3,PBV,34.28,,Hold
ITV plc,1.19,FCFF,1.8,EV/EBITDA,1.41,,Buy
J. C. Penney,1.28,FCFF,-4.44,EV/Sales,-0.2,3.24,Sell
J.P. Morgan,112.51,Dividends,108.01,PBV,112.62,,Hold
JC Penney,1.32,FCFF,0.05,EV/Sales,5.4,3.12,Sell
JC Penney,1.26,FCFF,0.7,Debt/EBITDA,0.85,,Hold
JCPenney Company,1.32,FCFF,1.04,EV/Sales,0.96,1.38,Sell
JD,28.17,FCFF,28.3,EV/Sales,40.62,,Buy
JD.COM,28.17,FCFF,38.51,EV/Sales,65.39,,Buy
JD.com,28.17,FCFF,38.51,EV/Sales,65.39,,Buy
JD.Com Inc ,28.17,FCFF,28.18,EV/EBITDA,30.41,,Hold
JetBlue,18.29,FCFF,26.6,EV/EBITDA,25.86,,Buy
