Company Name,Exchange:Ticker,Geographic Region,Actual PE,Predicted PE,% Under or Over value,Expected growth rate,Emerging Market Dummy
"Angel Yeast Co., Ltd (SHSE:600298)",SHSE:600298,Asia / Pacific,28.013513513513512,20.386049,0.3741511910185986,0.13,1
"Treehouse Foods, Inc. (NYSE:THS)",NYSE:THS,United States and Canada,30.677236693091736,22.2435684,0.37915086920548835,0.10800000000000001,0
Synlait Milk Limited (NZSE:SML),NZSE:SML,Asia / Pacific,48.700873362445414,35.211124999999996,0.38311040509059047,0.25,1
Indofood Agri Resources Ltd. (SGX:5JS),SGX:5JS,Asia / Pacific,16.993288590604024,12.269319889999998,0.3850228654038317,0.0643,1
Kerry Group plc (ISE:KRZ),ISE:KRZ,Europe,30.77343964806159,22.120026099999997,0.39120268253488155,0.107,0
PT Indofood CBP Sukses Makmur Tbk (JKSE:ICBP),JKSE:ICBP,Asia / Pacific,26.24675885911841,18.4093722,0.42572807882706654,0.114,1
Yakult Honsha Co. Ltd. (TSE:2267),TSE:2267,Asia / Pacific,45.18290155440414,31.504856,0.43415673934215526,0.22,1
Britannia Industries Limited (BSE:500825),BSE:500825,Asia / Pacific,35.5049115913556,24.7100295,0.4368623716679738,0.165,1
Associated British Foods plc (LSE:ABF),LSE:ABF,Europe,29.813948427809812,20.662226959999998,0.4429203824702259,0.09519999999999999,0
Omega Protein Corporation (NYSE:OME),NYSE:OME,United States and Canada,30.71646341463415,21.25523,0.4451249605219114,0.1,0
"Zhejiang Beingmate Technology Industry & Trade Co., Ltd. (SZSE:002570)",SZSE:002570,Asia / Pacific,31.252204585537918,21.621472,0.44542446441842243,0.14,1
"Snyder's-Lance, Inc. (NasdaqGS:LNCE)",NasdaqGS:LNCE,United States and Canada,35.65068493150685,24.343787499999998,0.46446747169095426,0.125,0
Chocoladefabriken Lindt & Spruengli AG (SWX:LISP),SWX:LISP,Europe,34.92651439920556,21.9964838,0.5878226136854454,0.106,0
"Lontrue Co., Ltd. (SZSE:300175)",SZSE:300175,Asia / Pacific,179.68181818181816,111.80735099999998,0.6070662311087058,0.87,1
Lifeway Foods Inc. (NasdaqGM:LWAY),NasdaqGM:LWAY,United States and Canada,40.608000000000004,24.961499,0.6268253761522897,0.13,0
Ebro Foods SA (CATS:EBRO),CATS:EBRO,Europe,17.544075829383885,10.7541345,0.6313796177073931,0.015,0
"Sanquan Food Co., Ltd. (SZSE:002216)",SZSE:002216,Asia / Pacific,57.439516129032256,34.9640404,0.6428168904939331,0.248,1
Genting Plantations Berhad (KLSE:GENP),KLSE:GENP,Asia / Pacific,29.743436754176614,18.0387453,0.6488639458852283,0.111,1
Almarai Company (SASE:2280),SASE:2280,Africa / Middle East,22.230345518277417,12.973510999999998,0.7135180691084642,0.07,1
Hop Hing Group Holdings Limited (SEHK:47),SEHK:47,Asia / Pacific,45.88621444201313,26.563163999999997,0.7274378324063027,0.18,1
Tingyi Cayman Islands Holding Corp. (SEHK:322),SEHK:322,Asia / Pacific,41.511092851273624,23.7216911,0.7499213136315404,0.157,1
A2 Corporation Limited (NZSE:ATM),NZSE:ATM,Asia / Pacific,120.50156739811912,67.2085807,0.7929491464193221,0.509,1
Campbell Soup Company (NYSE:CPB),NYSE:CPB,United States and Canada,29.339301310043666,15.79466034,0.8575455678361024,0.0558,0
D.E Master Blenders 1753 N.V. (ENXTAM:DE),ENXTAM:DE,Europe,39.992949471210345,21.25523,0.8815580669421288,0.1,0
B&G Foods Inc. (NYSE:BGS),NYSE:BGS,United States and Canada,42.25986078886311,22.367110699999998,0.8893750451578493,0.109,0
PT Charoen Pokphand Indonesia Tbk (JKSE:CPIN),JKSE:CPIN,Asia / Pacific,23.378930817610065,12.2322572,0.9112523907370151,0.064,1
Lotte Confectionery Co. Ltd. (KOSE:A004990),KOSE:A004990,Asia / Pacific,39.532125205930804,19.8918798,0.987349893695356,0.126,1
"Annie's, Inc. (NYSE:BNNY)",NYSE:BNNY,United States and Canada,72.94736842105263,36.6980175,0.9877740921850242,0.225,0
Jonjee Hi-Tech Industrial & Commercial Holding Co  Ltd (SHSE:600872),SHSE:600872,Asia / Pacific,66.30985915492958,33.110905900000006,1.0026591647838172,0.233,1
Golden Agri-Resources Ltd. (SGX:E5H),SGX:E5H,Asia / Pacific,19.68010752688172,9.79847389,1.0084870101012964,0.0443,1
Alico Inc. (NasdaqGS:ALCO),NasdaqGS:ALCO,United States and Canada,38.25033647375505,18.784384,1.0362837809190362,0.08,0
Rocky Mountain Chocolate Factory Inc. (NasdaqGM:RMCF),NasdaqGM:RMCF,United States and Canada,43.40782122905028,21.25523,1.0422183730333794,0.1,0
Nestle India Ltd. (BSE:500790),BSE:500790,Asia / Pacific,47.53062330623306,22.2391835,1.137246779146953,0.145,1
Grupo Nutresa SA (BVC:NUTRESA),BVC:NUTRESA,Latin America and Caribbean,34.562757201646086,16.0620685,1.1518247915357906,0.095,1
Hap Seng Plantations Holdings Bhd (KLSE:HSPLANT),KLSE:HSPLANT,Asia / Pacific,22.572881355932203,9.637868899999999,1.3421029680049088,0.043,1
Kuala Lumpur Kepong Berhad (KLSE:KLK),KLSE:KLK,Asia / Pacific,23.013434579439256,9.600806209999998,1.3970314654897362,0.042699999999999995,1
Raisio plc (HLSE:RAIVV),HLSE:RAIVV,Europe,32.16778523489933,12.4837267,1.5767774325674182,0.028999999999999998,0
RCL Foods Limited (JSE:RCL),JSE:RCL,Africa / Middle East,406.7041198501873,151.95859850000002,1.6764139960805653,1.195,1
IOI Corp.Bhd (KLSE:IOICORP),KLSE:IOICORP,Asia / Pacific,17.78472890599936,6.462831789999999,1.7518477168967692,0.0173,1
SLC Agricola S.A. (BOVESPA:SLCE3),BOVESPA:SLCE3,Latin America and Caribbean,15.357262103505843,5.57332723,1.7554926294011706,0.0101,1
"Post Holdings, Inc. (NYSE:POST)",NYSE:POST,United States and Canada,52.48327137546468,18.784384,1.7939841612833662,0.08,0
Pinnacle Foods Inc. (NYSE:PF),NYSE:PF,United States and Canada,70.19139784946236,23.1083645,2.0374887781202498,0.115,0
"Meihua Holdings Group Co., Ltd. (SHSE:600873)",SHSE:600873,Asia / Pacific,28.694845360824743,8.773072800000001,2.270786190310052,0.036000000000000004,1
Felda Global Ventures Holdings Berhad (KLSE:FGV),KLSE:FGV,Asia / Pacific,18.49142857142857,5.107572759,2.6203945482411424,0.00633,1
"Nissin Foods Holdings Co., Ltd (TSE:2897)",TSE:2897,Asia / Pacific,21.590591523055426,5.9315999,2.6399271506925857,0.013000000000000001,1
Nestle Malaysia Bhd. (KLSE:NESTLE),KLSE:NESTLE,Asia / Pacific,29.212607449856737,7.7847344,2.7525503053587466,0.027999999999999997,1
"Winall Hi-tech Seed Co., Ltd. (SZSE:300087)",SZSE:300087,Asia / Pacific,138.1451612903226,35.211124999999996,2.9233384701659664,0.25,1
"Boulder Brands, Inc. (NasdaqGS:BDBD)",NasdaqGS:BDBD,United States and Canada,134.44915254237287,33.60946,3.0003365880431545,0.2,0
TSH Resources Berhad (KLSE:TSH),KLSE:TSH,Asia / Pacific,27.10486891385768,5.684515299999999,3.7681935017146815,0.011000000000000001,1
"Yantai Shuangta Food Co.,Ltd (SZSE:002481)",SZSE:002481,Asia / Pacific,60.943089430894304,4.9432615,11.328518212296538,0.005,1
,,,PE ratio,,,,
,,,0,,,,
,,,8,,,,
,,,12,,,,
,,,16,,,,
,,,20,,,,
,,,24,,,,
,,,28,,,,
,,,32,,,,
,,,36,,,,
,,,40,,,,
,,,50,,,,
,,,60,,,,
