Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Tiffany,B,0.1108,0.1601,39.8,31.44
Tiffany,B,0.105,0.1661,310.9,28.62
Tiffany's ,B,0.013719885288407938,0.15869019327297662,33.57,31.201775881981163
Timberland,B,0.2069,0.0555,92,61.65
Time Warner,B,-0.0635,0.21989999999999998,170.43,16.02
TiVo,B,-1.6805,0.0144,0.95,5.63
TiVo,B,-0.16820000000000002,0.034,0,6.34
TiVo,R,-1.3808,0.04468975921670614,0,6.81
Toys R Us,B,-0.0689,0.4622,175.2,12.131597537461573
TV Asahi,B,-0.018100000000000005,0.0003,0.0621177370030581,1788.9239296636085
Tyson,B,0.09029173055448673,0.4045063304831023,55,16.217367820779874
U.S. Cellular,B,-0.13787758296826938,0.26504732988033575,0,36.21
UbiquiTel,B,-1.3927154943154554,0.3387428995816628,0,4.19
Ubisoft,B,-0.1749,0.2802,0,27.48
United Health Group,B,0.252,0.073,16.4,112.09
United HealthGroup Inc.,B,0.3716,0.0668,11.25,114.05
United Natural Products,B,0.136,0.1563,0,30.63
Univision,R,-0.0402,0.1422,0,39.56
Urban Outfitters,B,0.0907,0.074,2,43.75
Urban Outfitters,B,0.2566,0.1024,0.282,53.18
Vail,B,0.4393,0.4,0,18.6
Vail Resorts,B,-0.1101021320646288,0.41003547214034675,0,16.13
Vail Resorts,B,-0.104,0.3904,0,16.4
Verizon,R,-0.037670586793441915,0.3092321434969911,4794.4,45.77
Verizon,B,0.07006241139740793,0.32015249804145196,4262,51.48983171733601
VF,R,0.1619,0.1873,197.58,64.41
Viacom ,R,-0.4276,0.2133,0.25,23.52
Vishay,B,-0.1093,0.171,0,15.61
Vodafone,B,-0.0379,0.125,1287.25,129.35
VSNL,B,-0.073,0,197.39,249.25
Watson Pharmaceutical,B,-0.0497,0.1132,0,18.89
Weider Nutrition,B,0.0489,0.1815,2.12,6.63
Wendys,B,0.0425,0.2822,134,25.89
Whole Foods,B,0.1023,0.1879,6183,35.76
Whole Foods,R,0.0602,0.2223,6.93,108.57
Whole Foods,B,0.0999,0.2306,8.25,
Wholefoods,B,0.0866,0.205,2.773,93.47
Williams,B,-0.071,0.4713,195.13,16.7
Wolver Hampton and Dudley Brewery PLC,B,-0.007441064001813519,0.45275849286766007,90.72,10.1
Wolver Hampton and Dudley Brewery PLC,B,-0.007441064001813519,0.45275849286766007,90.72,10.1
WWE,B,0.0178,0.0175,0.218,12.78
Wynn,B,-0.16,0.2053,0,64.24
Wynn Resorts,B,-0.28084598594915877,0.15561005518087062,0,38
XM Satellite,B,-0.3875,0.1126,0,29.51
Zimmer Holdings,B,0.0901,0.0344,0,92.99
