Industry,Number of firms,Interest Coverage Ratio,Fixed Charge Coverage ratio
FACILITIES SUPPORT MGMT SVCS,5,4.043365134431918,1.5070495008747553
FAMILY CLOTHING STORES,19,8.248930378584191,1.5464665924319076
FARM MACHINERY AND EQUIPMENT,8,1.3557341065837964,1.9414688073366733
FARM-PRODUCT RAW MATL-WHSL,5,3.0617858285116157,3.6728331168702733
FATS AND OILS,4,1.6603440475024376,2.577403074010568
FEDERAL CREDIT AGENCIES,6,1.2208288693432914,1.2208575289535317
FINANCE LESSORS,4,1.3307930667424508,1.6601081580556811
FINANCE-SERVICES,3,1.7298819389306275,1.7140827456414705
"FIRE, MARINE, CASUALTY INS",73,0.06437258678984167,0.21705700418585877
"FISHING,HUNTING & TRAPPING",2,Negative EBIT,1.54419789014187
FOOD AND KINDRED PRODUCTS,8,3.168310998204356,3.7998259308542295
FOOD STORES,1,124.29376854599406,4.567579950517731
"FOOTWEAR, EXCEPT RUBBER",16,7.989373883570743,2.0018374514946546
FORESTRY,3,1.004521656354117,2.342651912250049
"FUNCTIONS REL TO DEP BKE,NEC",9,14.867057232987834,9.18437265214125
FURNITURE & HOME FURNSH-WHSL,1,0.3974507531865585,0.47856315179606024
FURNITURE STORES,4,2.4263338533541345,0.6312497387960938
"GAMES,TOYS,CHLD VEH,EX DOLLS",10,1.780195426614284,2.578389130195255
GAS & OTHER SERV COMBINED,4,2.668466450410851,3.6068696980967165
GEN BLDG CONTRACTOR-RESIDNTL,4,0.6953848781112582,0.9075391180654337
GEN BLDG CONTRACTORS-NONRES,3,5.9983543609435,5.746139592340953
GEN MED & SURGICAL HOSPITALS,9,3.6954895706281974,4.437329168996949
"GENERAL INDL MACH & EQ, NEC",12,5.203180292514011,4.3016500440651635
GENERAL INDUSTRIAL MACH & EQ,13,3.389998103352689,3.3470344046020624
GLASS CONTAINERS,2,1.9339000575945435,2.6068759398075425
"GLASS PD,MADE OF PURCH GLASS",3,3.5584107397111673,2.6677917398344317
"GLASS,GLASSWR-PRESSED,BLOWN",3,5.937462951985773,5.118327686505146
GOLD AND SILVER ORES,44,Negative EBIT,4.326511679343351
GRAIN MILL PRODUCTS,10,2.9010854893710385,3.2346598935223216
GREETING CARDS,2,2.681096203980416,1.9756104085440478
GROCERIES & RELATED PDS-WHSL,15,9.490885715988522,6.04826283633697
"GROCERIES, GENERAL LINE-WHSL",6,2.2664995502735557,2.064354170390059
GROCERY STORES,24,3.716472905773058,2.3866144355585184
GUIDED MISSILES & SPACE VEHC,2,2.2534065471521227,2.5506588887752524
HARDWARE-WHOLESALE,4,0.5689225497449477,0.8504556983193512
"HARDWR, PLUMB, HEAT EQ-WHSL",8,4.686027308476096,3.8470750326420426
