Name,Broad Category Group,Global Category,Morningstar Institutional Category,Morningstar Category,Morningstar Rating Overall,Equity Style Box (Long),Inception Date,Fund Size Base Currency,Manager Tenure (Average),Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Management Fee,Annual Report Net Expense Ratio,Annual Report Gross Expense Ratio,Turnover Ratio %,Prospectus Objective,Tax Cost Ratio 1 Yr,Tax Cost Ratio 3 Yr,Tax Cost Ratio 5 Yr,Post-tax Return 1 Yr (Daily) Base Currency,Post-tax Return 3 Yr (Daily) Base Currency,Post-tax Return 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Beta 2009-06-01 to 2012-05-31 Base Currency,Correlation 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Morningstar Risk 2009-06-01 to 2012-05-31,R2 2009-06-01 to 2012-05-31 Base Currency,Residual Std Dev 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Std Dev 2009-06-01 to 2012-05-31 Base Currency,Tracking Error 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
ING Baron Growth Portfolio S2,Equity,US Equity Mid Cap,Mid Core Growth,US OE Mid-Cap Growth,4,Mid Growth,39871,729769052,10.08,5.8001,13.60403,18.78314,,0.85,1.48,1.58,14,Small Company,0,0,,,,,2.7029324927362444,0.11159142187123562,1.010481828386451,0.9202189279909765,2.995459974259319,2.60663283656255,0.4345254375507706,16.481475030022814,3.4761205751455915,84.6802875432862,6.992198755578844,1.0215861142852405,17.611469300688682,6.893635482294002,17.626680528034967
American Funds American Mutual B,Equity,US Equity Large Cap Value,Large Core Value,US OE Large Value,4,Large Value,36600,20770528436,5.27,6.57332,10.4421,13.90289,0.10856,0.26,1.39,1.39,23,Growth and Income,0.64,0.7,0.86,,,,1.1720542571779733,0.15353400271151005,0.7844400023726591,0.9854161839530514,-1.8430569504950256,-1.6038180473444852,-0.4514871803354519,16.478494595251952,1.746456150583576,97.1045055596594,2.2037002518524718,1.0214002383900394,12.767357289912614,4.082191102581577,16.53781475238347
ING MFS Utilities Port I,Equity,Utilities Sector Equity,Utilities,US OE Utilities,4,Large Value,38471,552407895,7.17,1.51864,12.07869,15.23455,2.3511,0.6,0.77,0.78,52,Specialty - Utility,1.29,1.36,1.86,,,,2.244074815528549,0.11156640061453743,0.793575265480236,0.9120057908714192,-0.6547160957148144,-0.5697303547306576,-0.09903179021941566,16.474727927528317,2.1261804269901976,83.17545625830029,5.806484710855885,1.0211653287916476,13.956247269160622,6.611170961003734,17.844891233862658
American Beacon Balanced A,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,3,Large Value,40315,974099975,13.13,6.22505,8.36162,,,0.22,1.1,1.59,47,Balanced,1.09,,,,,,1.0751739887989697,0.13441440418870343,0.6735146825828807,0.9785078855537721,-3.5932625288578315,-3.126837340040445,-0.6294748036727441,16.463715451188968,1.2682932365466026,95.74776820909139,2.309097732514209,1.0204785317115808,11.040181633744808,5.708350052921137,16.66291493779639
American Beacon Balanced A Load Waived,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,3,Large Value,40315,974099975,13.13,6.22505,8.36162,,,0.22,1.1,1.59,47,Balanced,1.09,,,,,,1.0751739887989697,0.13441440418870343,0.6735146825828807,0.9785078855537721,-3.5932625288578315,-3.126837340040445,-0.6294748036727441,16.463715451188968,1.2935778093329695,95.74776820909139,2.309097732514209,1.0204785317115808,11.040181633744808,5.708350052921137,16.66291493779639
Columbia Large Core Quantitative R5,Equity,US Equity Large Cap Blend,Large Relative Value,US OE Large Blend,4,Large Blend,39062,3273518649,1.46,11.14121,14.73651,18.09139,-0.33809,0.59,0.7,0.72,57,Growth,0.39,0.68,0.92,,,,1.346201995895707,0.21940412465723566,1.012311169031762,0.9942662125585223,1.6982606301986465,1.4778170837725035,0.9666408344911374,16.462226342445504,2.9674124173751935,98.85653014354686,1.771229428635963,1.0203856629048385,16.328558457401556,1.7568682902710717,16.313403950770603
Wells Fargo Advantage Prem Lg Co Gr A,Equity,US Equity Large Cap Growth,Large High Growth,US OE Large Growth,5,Large Growth,35815,1427181225,2.08,12.11582,15.36931,18.67163,5.87323,0.64,1.12,1.24,65,Growth,0.39,0.22,0.18,,,,1.9563235237110987,0.11966849308396836,1.07840988017641,0.9656742318529136,3.2680702103983883,2.843856768516062,0.6782704568104607,16.45935234868133,3.5050034574158673,93.25267220647147,4.719220088465831,1.0202064252416152,17.908905582364454,4.818240537508232,16.76918112205486
Wells Fargo Advantage Prem Lg Co Gr A LW,Equity,US Equity Large Cap Growth,Large High Growth,US OE Large Growth,5,Large Growth,35815,1427181225,2.08,12.11582,15.36931,18.67163,5.87323,0.64,1.12,1.24,65,Growth,0.39,0.22,0.18,,,,1.9563235237110987,0.11966849308396836,1.07840988017641,0.9656742318529136,3.2680702103983883,2.843856768516062,0.6782704568104607,16.45935234868133,3.5748788714615287,93.25267220647147,4.719220088465831,1.0202064252416152,17.908905582364454,4.818240537508232,16.76918112205486
American Funds American Mutual R1,Equity,US Equity Large Cap Value,Large Core Value,US OE Large Value,4,Large Value,37418,20770528436,5.27,6.50592,10.39063,13.86173,0.06187,0.26,1.43,1.43,23,Growth and Income,0.61,0.68,0.83,,,,1.1506144248274923,0.15157488019653595,0.7840204030409026,0.9855605565790206,-1.8729828403122095,-1.6298593924905402,-0.45890297480313963,16.454731021408552,1.7601437038768033,97.1329610684349,2.191351057135113,1.0199182144905388,12.758658252409838,4.081435386457633,16.50849582942022
ING Solution 2015 Port I,Allocation,Target Date 2000-2020,Target Date 2011-2015 Moderate,US OE Target Date 2011-2015,3,Large Blend,38471,757288487,4.83,2.99688,7.41646,11.15376,1.21467,0.1,0.12,0.12,74,Asset Allocation,1.26,1.22,1,,,,1.0283178626348999,0.12524536107543133,0.6093590748100131,0.9725890820137112,-4.601586126331725,-4.004275002917634,-0.6883264440470548,16.453417157710014,1.0693974481663648,94.59295224522735,2.3701460465557265,1.0198362749045677,10.049957514055421,6.685179926077567,16.762520966716124
