Name,Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
MFS Global Total Return A Load Waived,2.22829,8.60578,9.1973,2.99187,-0.9816011988302509,-0.06970207972935913,-6.7286582610789125,-5.855241505496345,-0.9173291005615759,12.645088041144309,0.7823284486361562,13.111093041119728
BlackRock Managed Volatility Inv A LW,-0.88979,6.13401,10.61568,1.46664,-0.9396988657746355,-0.09855622748712833,-5.161334791845773,-4.491365220877174,-0.9790648042265001,13.54993635116577,0.838759641591886,13.444686793708275
BlackRock Managed Volatility Svc,-0.86672,6.15466,10.65144,1.5466,-0.9318995969427197,-0.09717159814216754,-5.1251418671319335,-4.459870336344906,-0.9755864930811428,13.561669327917668,0.8394913729414375,13.458926019978094
BlackRock Managed Volatility Inv A,-0.88979,6.13401,10.61568,1.46664,-0.9396988657746355,-0.09855622748712833,-5.161334791845773,-4.491365220877174,-0.9790648042265001,13.54993635116577,0.838759641591886,13.444686793708275
State Street Research Asset Alloc B,7.32379,18.73155,6.09849,5.96513,,,,,,,,
BlackRock Managed Volatility Instl,-0.56709,6.47357,10.95508,1.82079,-0.657059648016499,-0.06939275133268756,-4.846269711992468,-4.217197316830024,-0.9219762594876684,13.938978744081876,0.8630224114942653,13.875470568581626
BlackRock Managed Volatility Inv C,-1.55247,5.40207,9.81503,0.74148,-1.65120758753879,-0.17436287752067764,-5.944427437009603,-5.172808144666985,-1.1273935939136095,12.586905974636299,0.7786999029613583,12.367266007411683
BlackRock Managed Volatility Inv B,-1.72899,5.30163,9.71599,0.65002,-1.7752854031982923,-0.18578976167243064,-6.038501540110941,-5.254670913096993,-1.1509888550562448,12.424703292314634,0.7685840738630935,12.188098091829826
JPMorgan Diversified Instl,3.51851,8.67437,12.84675,2.94065,0.10847734093820582,0.012705167520923807,-3.1111061102042648,-2.707267469629293,-0.7245023693237029,15.085340245219559,0.9345156621875071,15.022271682490045
JP Morgan Balanced Sel,-10.81414,-4.07661,-7.86287,1.69121,,,,,,,,
JPMorgan Diversified Sel,3.26836,8.41053,12.57211,2.69198,-0.14454469999266806,-0.016980221649460992,-3.3824531890466183,-2.943392209032847,-0.7898574062340711,14.768701052067136,0.9147683440920497,14.66311393069903
JP Morgan Balanced B,-11.67354,-4.96371,,,,,,,,,,
JP Morgan Balanced C,-11.67756,-4.97156,,,,,,,,,,
JPMorgan Diversified A,3.0363,8.14543,12.2947,2.42123,-0.35003297420786295,-0.04082646810614622,-3.6350189586372714,-3.1631735561595153,-0.8424486780396273,14.504091737082028,0.8982658882147171,14.370742061535962
JPMorgan Diversified B,2.57011,7.6403,11.71377,1.91019,-0.8587536657017751,-0.1018337338947575,-4.2086252357728995,-3.6623225917295277,-0.977448883817555,13.868608209625515,0.8586337275962863,13.651186149417148
JPMorgan Diversified C,2.4811,7.60464,11.69684,1.90815,-0.915136729780341,-0.10666872589851424,-4.230963965886513,-3.681761632124536,-0.9857640787514338,13.794753203590965,0.8540277333648516,13.57353255235229
JP Morgan Balanced A,-11.02293,-4.30122,-8.21004,,,,,,,,,
JPMorgan Diversified A Load Waived,3.0363,8.14543,12.2947,2.42123,-0.35003297420786295,-0.04082646810614622,-3.6350189586372714,-3.1631735561595153,-0.8424486780396273,14.504091737082028,0.8982658882147171,14.370742061535962
AllianceBern Balanced Shares K,7.77033,11.90203,13.20823,1.1358,2.3723600196135517,0.31511971110676207,-2.398478336558396,-2.0871426904653934,-0.40631911358632905,18.462144598358066,1.145111290112355,18.901650234715664
AllianceBern Balanced Shares I,8.18621,12.4022,13.72675,1.54143,2.8164947750656983,0.3767920755942378,-1.8825663051286199,-1.6381988709990525,-0.32027026168002926,19.12318193890516,1.1863371235500841,19.64819540912287
AllianceBern Balanced Shares A LW,7.71873,11.89585,13.15873,1.09743,2.3149162717062506,0.31272577490728043,-2.4379212153296628,-2.1214656671892707,-0.4155845068455748,18.381878584445502,1.1401054710499536,18.79616958744202
AllianceBern Balanced Shares Adv,8.08075,12.22122,13.50503,1.39214,2.661736007700635,0.35546652854614413,-2.0968614572475897,-1.824677336753755,-0.3541936845049599,18.904818366108948,1.172718800153234,19.402867683482047
AllianceBern Balanced Shares R,7.39683,11.56017,12.85345,0.82366,2.058293991664294,0.2766801003058472,-2.727644948078755,-2.3735816700084844,-0.4643631530789941,17.997251090892163,1.1161180379471916,18.363542836870824
AllianceBern Balanced Shares A,7.71873,11.89585,13.15873,1.09743,2.3149162717062506,0.31272577490728043,-2.4379212153296628,-2.1214656671892707,-0.4155845068455748,18.381878584445502,1.1401054710499536,18.79616958744202
AllianceBern Balanced Shares B,6.9471,11.04293,12.3098,0.33857,1.5318495947930062,0.20386386436008416,-3.3108357421197674,-2.8810710996090894,-0.5630308059299929,17.20624186827748,1.0667864609560467,17.4753502946369
AllianceBern Balanced Shares C,6.94978,11.06312,12.3557,0.3685,1.5816131069985189,0.21013733135516657,-3.2492110321937773,-2.8274456151035077,-0.5530277324757422,17.278115341450103,1.0712688761720364,17.557593151510613
Wells Fargo Advantage DJ Target 2010 A,3.28686,6.33058,7.98331,3.72124,3.4043888537456404,0.33604696358645203,-7.279830818510669,-6.3348688412510175,-0.5998006696870807,23.253456378393523,1.4439231866210955,28.468197770693493
Wells Fargo Advantage DJ Target 2010 Adm,3.4237,6.51062,8.14592,3.95803,3.598405044639435,0.356755293367411,-7.0826293311890165,-6.163265188827416,-0.5831668737238899,23.902642580681555,1.484409919524033,29.291357307065628
Wells Fargo Advantage DJ Target 2010 C,2.48516,5.51801,7.14435,2.94497,2.6809819911100066,0.26451304738338616,-8.085648132025902,-7.036086646773121,-0.6642699804944813,21.004527049335262,1.3036678935445396,25.64070360561296
Wells Fargo Advantage DJ Target 2010 B,2.45435,5.49447,7.13853,2.93257,2.6830325838613094,0.26580342933829204,-8.061939899665326,-7.015455873035881,-0.6636468553100411,21.028866972684128,1.305185861689935,25.596439547191668
Wells Fargo Advantage DJ Target 2010 I,3.78016,6.83679,8.50836,4.25092,3.930562138000884,0.3895432562099791,-6.72107297698834,-5.848640832893448,-0.5536190105689482,24.935550151748533,1.5488275747296136,30.622730206807933
