Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
B,-0.001,0.32,1184,58.55
B,0.0716,0.34701727467364335,2554.2,62.47
B,0,0.45,94.5,3.42
B,0.3049,0.28,1205,32.49
B,0.016391882748924252,0.129356205749287,331,63.61970098178423
B,0.097692087028807,0.280718164803047,223.32,220.25
B,-0.001,0.21,869,68.78
B,0.06,0.1995,222.46,12.56
B,0.0564,0.215,158.9,52.57
R,0.26330000000000003,0.14,361.86,60.81
B,0.3891,0.5414,1379,142.16
B,-0.919,0.7573,11.72,-8.87
B,NA,0.7536,16.06,8.22
B,-0.5877050403902608,0.7651965753374105,11.716,5.492907609178356
R,0.049431585055300764,0.04328301632779569,0,41.4
B,0.1009,0.0402,0.12,53.91
B,0.063,0.0385,0,36.53
B,0.06736499127211655,0.04,0,47.452776268161024
B,-0.7619,0.711,4,16.81
B,0.1053,0.422,49.83,66.39
B,0.1053,0.422,49.83,66.39
B,0.1322,0.1782,77.1,32.77
B,0.04419999999999999,0.18,0,31.58
B,0.0442,0.18,0,31.58
B,-0.04196366164408981,0.24424525588031032,25,63.38460991825174
B,0.0302,0.6703,144.1,35.53
B,0.027147565403634596,0.2903,5230,49.54860113145218
B,0.02149999999999999,0.44,2797,26.14
B,0.0215,0.44,2797,26.14
B,0.0248,0.42275964430709295,1669,49.72
B,0.0687,0.3808,361,22.48
B,N/A,0.5188,582.17,71.84
B,-0.0539,0.4763,132.76,5.98
B,0.14,0.2507,187.6,132.16
B,0.0869,0.193,62.62,68.24
B,0.11880000000000002,0.2231,74.41,49.95
B,0.07289999999999999,0.2125,58.58,92.8
B,0.178,0.2409,61.4,21.86
B,0.0875,0.0002,123.1,89.21
B,0.2012,0.2329,94.5,70.93
R,0.1239,0.2,51.88,80.95
B,-0.02,0,0.1,76.63
B,0.0025000000000000022,0.24746609564704472,0.063,3.46
B,0.1089,0.40644533599389815,241.5,45.02
B,0.0308,0.014,0.748,11.02
B,-0.1231,0.2952,923.9,171.28
B,-0.0636,0.3195,4354,124.12
B,0.2171,0.293,1063,138.84
B,0.3675,0.0013,1749.3,16.98
B,0.0349,0.0196,0.1,12.17
B,0.032,0.029,0,13.7
B,0.789,0.2088,1167.4,48.15
B,0.5869601066689342,0.2163,544,55.48548812108219
