Company Name,Exchange:Ticker,Industry Classifications,Market Cap Class,Enterprise Value,Market Cap,Invested Capital,PE,PBV,EV/EBITDAR,EV/EBITDA,EV/EBIT,EV/Sales,EV/Invested Capital,ROE,ROIC,R&D/Sales,Operating Margin adjusted for R&D,Dividend Payout Rate,(Dividends + Buybacks)/ Net Income,Revenue Growth Rate (last 5 years),Expcted growth in EPS,Operating Margin,R&D Effect on Earnings,EBITDAR
"Inovio Pharmaceuticals, Inc. (NasdaqGS:INO)",NasdaqGS:INO,Biotechnology (Primary),4,386.70000000000005,480.3,17.900000000000006,NA,4.307623318385651,NA,NA,NA,26.12837837837838,21.603351955307257,-0.28161434977578476,NA,0,-2.959459459459459,NA,NA,0.11,NA,-2.959459459459459,0,-42.1
Verseon Corporation (AIM:VSN),AIM:VSN,Biotechnology (Primary),4,482.723,480.7,-2.3169999999999997,NA,NA,NA,NA,NA,NA,NA,1.5115207373271888,NA,NA,NA,NA,NA,NA,NA,NA,3.2249999999999996,-5.68
"Trevena, Inc. (NasdaqGS:TRVN)",NasdaqGS:TRVN,Biotechnology (Primary),4,377.1,482.2,-5.900000000000006,NA,4.860887096774193,NA,NA,NA,150.84,NA,-0.5372983870967741,NA,0,-21.36,NA,NA,NA,NA,-21.36,0,-53.2
"Cocrystal Pharma, Inc. (OTCBB:COCP)",OTCBB:COCP,Pharmaceuticals (Primary),4,494.05,500,178.95000000000002,NA,2.704164413196322,NA,NA,NA,7968.548387096775,2.7608270466610785,-0.1276365603028664,NA,0,-150.48387096774192,NA,NA,NA,NA,-143.06451612903226,-0.45999999999999996,-8.69
"Karyopharm Therapeutics, Inc. (NasdaqGS:KPTI)",NasdaqGS:KPTI,Biotechnology (Primary),5,296,501.7,1.1000000000000227,NA,2.426015473887814,NA,NA,NA,1591.3978494623657,269.09090909090355,-0.504835589941973,NA,0,-563.9784946236559,NA,NA,NA,NA,-563.9784946236559,0,-104.3
La Jolla Pharmaceutical Co. (NasdaqCM:LJPC),NasdaqCM:LJPC,Biotechnology (Primary),5,453.4,502,-0.10000000000000142,NA,10.350515463917526,NA,NA,NA,NA,NA,-0.6494845360824743,NA,NA,NA,NA,NA,NA,NA,NA,0.3500000000000014,-13.2
Raptor Pharmaceuticals Corp. (NasdaqGM:RPTP),NasdaqGM:RPTP,Biotechnology (Primary),5,478.19999999999993,507.8,19.30000000000001,NA,10.384458077709612,53.73033707865169,NA,NA,5.639150943396226,24.77720207253884,-1.1983640081799591,NA,0.6049528301886792,-0.08074292452830191,NA,NA,NA,NA,-0.5165094339622641,36.952999999999996,8.899999999999999
Keryx Biopharmaceuticals Inc. (NasdaqCM:KERX),NasdaqCM:KERX,Biotechnology (Primary),5,426.49999999999994,512.3,-12.299999999999997,NA,6.970068027210884,NA,NA,NA,50.35419126328216,NA,-1.708843537414966,NA,3.482880755608028,-14.744391971664697,NA,NA,NA,NA,-14.20306965761511,-4.584999999999994,-90.2
"ANI Pharmaceuticals, Inc. (NasdaqGM:ANIP)",NasdaqGM:ANIP,Pharmaceuticals (Primary),5,454.4000000000001,512.7,81.5,15.3044776119403,3.667381974248927,9.991204925241865,10.64168618266979,12.215053763440862,5.730138713745273,5.575460122699387,0.2396280400572246,0.4564417177914111,0.03505674653215637,0.49615510718789413,0,0,NA,0.228,0.4691046658259774,2.1451,45.480000000000004
"Infinity Pharmaceuticals, Inc. (NasdaqGS:INFI)",NasdaqGS:INFI,Biotechnology (Primary),5,195.36999999999995,521.4,-116.53,NA,2.488782816229117,NA,NA,NA,1.1215269804822041,NA,-0.3288782816229117,NA,0,-0.5632606199770379,NA,NA,0.22699999999999998,NA,-0.3593570608495982,-35.519999999999996,-60.9
Omeros Corporation (NasdaqGM:OMER),NasdaqGM:OMER,Pharmaceuticals (Primary),5,548.21,522.4,-16.89,NA,NA,NA,NA,NA,138.088161209068,NA,1.7423887587822013,NA,5.239294710327456,-16.804534005037784,NA,NA,0.17800000000000002,NA,-17.884130982367758,4.285999999999998,-49.900000000000006
"Arena Pharmaceuticals, Inc. (NasdaqGS:ARNA)",NasdaqGS:ARNA,Biotechnology (Primary),5,430.7000000000001,523.2,-45.19999999999999,NA,11.061310782241016,NA,NA,NA,11.10051546391753,NA,-1.9830866807610994,NA,0,-2.7398453608247424,NA,NA,0.304,NA,-2.7087628865979383,-1.206,-95.4
"Otonomy, Inc. (NasdaqGM:OTIC)",NasdaqGM:OTIC,Biotechnology (Primary),5,376.6,532.6,-2.4000000000000057,NA,3.467447916666667,NA,NA,NA,NA,NA,-0.3020833333333333,NA,NA,NA,NA,NA,NA,0.172,NA,24.738,-13.399999999999999
"ProNAi Therapeutics, Inc. (NasdaqGM:DNAI)",NasdaqGM:DNAI,Biotechnology (Primary),5,494.3,533.5,-0.8000000000000043,NA,13.893229166666668,NA,NA,NA,NA,NA,-0.8046875,NA,NA,NA,NA,NA,NA,0.23399999999999999,NA,23.406000000000002,-5.399999999999999
"Chiasma, Inc. (NasdaqGS:CHMA)",NasdaqGS:CHMA,Biotechnology (Primary),5,495.8,536,-7.700000000000003,NA,16.49230769230769,NA,NA,NA,190.69230769230768,NA,-0.6184615384615385,NA,0.07153846153846154,-7.813076923076923,NA,NA,NA,NA,-7.884615384615384,0.186,-20.114
