Company Name,Exchange:Ticker,Market Cap Class,"Market Capitalization [Latest] ($USDmm, Historical rate)",Enterprise Value,Invested Capital including capitalized R&D,Adjusted Net Income,Adjusted EBIT,Total Debt including leases,PE,Non-cash PE,EV/Sales,EV/EBIT,EV/Invested Capital,EV/EBITDA,Capitalized R&D,EV/EBITDAR&D,Only +Taxable Income,Missing Taxable Income,Only +'ve Taxes,Operating Margin,Net Margin,Pre-tax ROIC,ROE,Only +ve Net Income,Only +'ve Mkt Cap,Capitalized leases,Turnover Ratio,Coefficient of variation in operatingincome,Coefficient of variation in net income
"Daesung Eltec Co., Ltd. (KOSDAQ:A025440)",KOSDAQ:A025440,6,48.6,98.32000000000001,75.3016,-0.7050000000000001,3.0839999999999996,51.7,NA,-133.96551724137933,0.30696222291601627,31.88067444876784,1.30568274777694,9.188785046728974,0.7816,9.070947504382325,NA,1,NA,0.009628473306275365,-0.0022010615048392132,0.04095530506655901,-0.009362350866382655,NA,NA,0,0.1388888888888889,3.85993641626974,1.7568436792428341
Ecoplastic Corporation (KOSDAQ:A038110),KOSDAQ:A038110,6,48.5,211.91,277.59999999999997,0.7604,6.2804,167.2,35.925925925925924,86.98443579766536,0.21603629320012233,33.741481434303545,0.7633645533141211,5.2323456790123455,0.69,5.227827803133096,1.26,1,0.039,0.006402691405851769,0.0007752064430624936,0.022623919308357353,0.002739193083573487,1.35,48.5,0,0.7216494845360825,0.6292330383888273,0.5467308802071912
Phoenix Lamps Limited (BSE:517296),BSE:517296,6,47.1,55.92,27.4054,2.7119999999999997,5.932,8.82,16.70212765957447,17.083786724700765,1.0260550458715596,9.426837491571138,2.040473775241376,7.178433889602054,0.1854,7.178433889602054,4.42,1,1.59,0.10884403669724771,0.049761467889908255,0.2164536916082232,0.09895859940011821,2.82,47.1,0,0.21762208067940553,0.4257313683281912,1.01990242883196
"Pyung Hwa Holdings Co., Ltd. (KOSE:A010770)",KOSE:A010770,6,46.2,226.5,333.614,-7.968,3.852,219.3,NA,-0.76271186440678,0.4531812725090036,58.8006230529595,0.6789283423357534,7.837370242214533,4.214,7.475247524752476,NA,1,NA,0.007707082833133253,-0.015942376950780313,0.011546278033895461,-0.023883889764818023,NA,NA,0,5.010822510822511,12.083983844370403,13.244365340346642
"Hwashin Precision Engineering Co., Ltd. (KOSDAQ:A126640)",KOSDAQ:A126640,6,46.2,45.021,67.821,3.83,4.56,0.021,12.062663185378591,11.920529801324504,0.2094974406700791,9.873026315789474,0.6638209404166852,5.198729792147806,0,5.198729792147806,4.84,1,1.01,0.021219171707771056,0.01782224290367613,0.06723581191666297,0.056472184131758606,3.83,46.2,0,0.1028138528138528,0.5200226292063564,0.44862205751467316
EAG-Beteiligungs AG (WBAG:EAGB),WBAG:EAGB,6,44.5,44.5,0,0,0,0,NA,#DIV/0!,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,False,1.2538642339926007,14.198970174089865
Truwin Company Limited (KOSDAQ:A105550),KOSDAQ:A105550,6,44.2,76.45100000000001,66.51299999999999,-1.2760000000000002,-0.9660000000000002,32.5,NA,-25.25919540229885,2.821070110701107,NA,1.1494144001924438,43.68628571428572,6.361999999999999,19.403807106598986,NA,1,NA,-0.035645756457564584,-0.04708487084870849,-0.014523476613594339,-0.019184219626238487,NA,NA,0,1.1538461538461537,1.378315427426268,2.2150403452711194
"Top Metal Works Co., Ltd. (KOSDAQ:A019770)",KOSDAQ:A019770,6,43.7,66.65,96.3316,6.652,8.122,30,6.591251885369533,5.677769171185129,0.4311125485122898,8.206106870229009,0.6918809611799245,5.648305084745763,0.0816,5.632077066080784,8.85,1,2.22,0.05253557567917206,0.04302716688227685,0.08431293573448381,0.06905314559293109,6.63,43.7,0,2.574370709382151,0.3699598679334145,0.33697419663632044
Automobile & PCB Inc. (KOSE:A015260),KOSE:A015260,6,43.4,146.31,181.884,3.8740000000000006,17.124,107.1,11.573333333333332,13.767556179775282,0.2987747600571779,8.544148563419762,0.8044138022036024,5.1157342657342655,11.474,4.51434742363468,11.7,1,5.71,0.034968347968143756,0.00791096589748826,0.09414791845351983,0.02129928965714412,3.75,43.4,0,5.472350230414746,0.9464111256623563,2.5801278314838356
Austem Company Ltd. (KOSDAQ:A031510),KOSDAQ:A031510,6,43.3,130.59,196.2172,8.6608,3.4808000000000003,93,5.040745052386495,4.431737797689224,0.6830020920502092,37.517237416685816,0.6655379854569324,8.823648648648648,3.5272000000000006,8.141521197007481,8.85,1,0.267,0.018205020920502094,0.045297071129707114,0.017739525383095877,0.04413884205869822,8.59,43.3,0,0.802540415704388,0.4058594082994695,0.4769724961659216
"Nippon Gear Co., Ltd. (TSE:6356)",TSE:6356,6,42.4,33.53,50.754000000000005,3.3720000000000003,5.4719999999999995,6.83,11.070496083550914,7.123799359658484,0.4326451612903226,6.127558479532165,0.6606375852149584,NA,5.024,NA,6.2,1,2.37,0.07060645161290321,0.043509677419354846,0.10781416243054733,0.06643811325215747,3.83,42.4,0,0.31839622641509435,0.4682757809273307,0.30864069498294844
Groclin S.A. (WSE:GCN),WSE:GCN,6,42,73.248,55.647999999999996,-10.3,-8.75,31.5,NA,-4.026232037804995,0.6165656565656567,NA,1.3162737205290398,NA,0,NA,NA,1,NA,-0.07365319865319865,-0.08670033670033671,-0.15723835537665326,-0.18509200690051755,NA,NA,0,1.119047619047619,2.4267328305651747,5.006543410279555
Atlas Bangladesh Ltd. (DSE:ATLASBANG),DSE:ATLASBANG,6,40.4,40.4,0,0,0,0,NA,#DIV/0!,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.2784653465346535,0.12605911212769838,0.13789324713621093
"Orange Electronic Co., Ltd. (GTSM:4554)",GTSM:4554,6,39.8,39.8,0,0,0,0,NA,#DIV/0!,2.9924812030075185,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,0.7349246231155779,#DIV/0!,#DIV/0!
Mitsuchi Corporation (JASDAQ:3439),JASDAQ:3439,6,37.7,40.70000000000001,65.98880000000001,4.2702,6.1202000000000005,28.6,8.933649289099527,2.9009829777031895,0.36339285714285724,6.6501094735466175,0.6167713308925151,3.7339449541284413,0.08879999999999999,3.708766174594497,5.41,1,1.19,0.054644642857142864,0.03812678571428572,0.09274604175253981,0.06471098125742548,4.22,37.7,0,0.01989389920424403,0.9305554995283305,2.092749241194809
"ALFOT Technologies Co., Ltd. (GTSM:4553)",GTSM:4553,6,37,37,0,0,0,0,NA,#DIV/0!,1.1635220125786163,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,0.006756756756756757,#DIV/0!,#DIV/0!
"Daewoo Electronic Components Co., Ltd. (KOSE:A009320)",KOSE:A009320,6,35.1,54.418000000000006,44.1356,0.9984,1.9603999999999997,19.8,48.8857938718663,49.66714490674319,1.568242074927954,27.75862068965518,1.2329729288828069,12.201345291479821,2.3176,10.232794283565251,0.033,1,0.05,0.05649567723342938,0.028772334293948123,0.044417658307579364,0.022621194681844134,0.718,35.1,0,5.256410256410256,1.0362288562642095,1.1762793126686442
