Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation,% Under or over,% Under or Over: Relative
American Express,73.58,Dividends,59.1,PBV,62.43,,Sell,0.2450084602368865,0.17860003203588026
American Express,73.58,Dividends,48.49,PBV,73.49,,Sell ,0.5174262734584449,0.0012246564158389095
Apache,65.62,FCFF,82.25,VEBITDA,87.19,,BUY,-0.2021884498480243,-0.24739075582062153
AquaVenture Holdings Limited,23.91,FCFF,2.95,TEV/Revenue,18.29,,Sell,7.105084745762712,0.3072717331875343
Ashok Leyland,77.9,FCFF,90.18,P/BV,109.19,,BUY,-0.13617210024395654,-0.28656470372744747
Atlassian,25.64,FCFF,34.89,VS,19.59,,Buy,-0.26511894525652047,0.30883103624298114
Avon Intl Operations INC (USD),5.41,FCFF,3.8,EV/EBITDA,3.31,5.27,SELL,0.4236842105263159,0.6344410876132931
Baker Hughes,66.2,FCFF,33.59,P/BV,19.27,,SELL,0.9708246501935098,2.435391800726518
Bank of America Corporation,22.61,DDM,18.74,P/TBV,27.56,,SELL,0.20651013874066182,-0.17960812772133528
"Barnes & Noble, Inc.",13.1,FCFF,11.65,VS,3.16,15.62,Sell,0.12446351931330457,3.1455696202531644
Bebe Stores,5.74,FCFF,6.1,EV/Sales,13.43,,Sell,-0.05901639344262288,-0.5725986597170514
BFIL,676.2,Dividends,335.46,EV/EBITDA,305.79,,Sell,1.0157395814702204,1.211321495143726
Bojangles Inc.,18.9,FCFF,13.49,EV/Sales,21.92,,Hold,0.4010378057820607,-0.13777372262773735
Bombardier,1.92,FCFF,-2.98,VEBITDA,-2.06,0.17,Sell,1,1
Borussia Dortmund,5.33,FCFF,7.28,VS,11.98,,Buy,-0.2678571428571429,-0.5550918196994992
Brixmor Property Group Inc. (BRX),24.51,FCFF,35.33,Other: P/CFE,30.23,,Buy,-0.3062553071044437,-0.18921601058551107
Brookfield Canada,26.24,FCFF,24.21,EV/EBITDA,25.31,,Sell,0.0838496489054108,0.036744369814302624
Builders FirstSource,12.07,FCFF,8.68,EV/EBITDA,15.53,,Sell,0.39055299539170507,-0.22279459111397293
Burberry,14.67,FCFF,15.81,EV/Sales,24.6,,Buy,-0.07210626185958258,-0.4036585365853659
Canadian National Railway,67.72,FCFF_2,40.12,EV/EBITDA,47.67,,sell,0.6879361914257229,0.4205999580448918
Canadian National Railway ,67.72,FCFF_2,40.12,EV/EBITDA,47.67,,Sell,0.6879361914257229,0.4205999580448918
Capital One,90.45,Dividends,95.24,PBV,151.39,,BUY,-0.05029399412011748,-0.4025364951449897
Caterpillar Inc.,96.05,FCFF,86.93,EV/EBITDA,57.68,,Sell,0.10491199815943841,0.6652219140083218
Celgene,113.22,FCFF,107.21,PE,109.41,,Sell,0.056058203525790606,0.034823142308746835
Cementos Argos S.A.,11360,FCFF,6344.590742021122,VS,17496.23999199444,,Buy,0.7905016197122239,-0.3507176396072602
"Chegg, Inc.",7.99,FCFF,10,EV/Sales,18.7,,Buy,-0.20099999999999996,-0.5727272727272728
"Chegg, Inc.",7.99,FCFF,10,EV/Sales,18.7,,Buy,-0.20099999999999996,-0.5727272727272728
Chipotle,377.5,FCFF,582.93,EV/Sales,485.88,,Buy,-0.352409380200024,-0.22305919156993492
Cinemark,39.32,FCFF2,23.87,PE,64.33,,Sell,0.6472559698366149,-0.3887766205502876
Cipla,578.5,FCFF,606.11,VEBITDA,501.86,,Buy,-0.045552787447822984,0.15271191168851872
Clean Harbors Inc.,55.93,FCFF,61.93,EV/EBITDA,59.4,,Buy,-0.09688357823348948,-0.05841750841750837
Clear Springs Farming,13529797,FCFF,13529797,PB,15161292,22508,Hold,0,-0.10760923277514867
Cliffs Natural Resources,9.46,FCFF,-8.01,EV/EBITDA,-1.18,87.89,Buy,1,1
Coach,37.86,FCFF,32.34,EV/Sales ,34.64,,Sell,0.17068645640074198,0.09295612009237875
Columbia Pipeline Group,25.5,FCFF,3.79,PE,11.85,,Sell,5.728232189973615,1.1518987341772151
Comcast,69.23,FCFF,72.81,EV/EBITDA,101.2,,Buy,-0.04916907018266714,-0.3159090909090909
Compagnie Financiere Richemont SA ,61.98,FCFF,54.62,PBV,55.3,,Sell,0.13474917612596116,0.12079566003616637
Compagnie Financiere Richemont SA ,61.98,FCFF,54.62,PBV,55.3,,Sell,0.13474917612596116,0.12079566003616637
Concha y Toro,1064.3,FCFF,1283.18,PE,972.15,,Buy,-0.17057622469178146,0.09478989867818743
Copa Holdings,92.22,FCFF,103.17,VEBITDA,101.82,,Buy,-0.10613550450712417,-0.09428403064230995
Costco,160.32,FCFF,107.3,VEBITDA,121.86,,SELL,0.49412861136999076,0.3156080748399803
Costco Corp,151.01,FCFF,64.29,PBV,172.74,,Buy,1.3488878519209826,-0.12579599397939112
CWCP (private company),34.722,FCFF,34.722,EV/EBITDA,14.893,,Buy,0,1.331430873564762
Dave & Busters,57.18,FCFF,51.02,VS,53.75,,Hold,0.12073696589572713,0.06381395348837215
"Delta Air Lines, Inc.",49.97,FCFF,,EV/EBITDA,34.3,51.06,Sell,1,0.4568513119533528
Deutsche Bank,18.32,FCFE,20.19,PBV,17.53,,Hold,-0.09262010896483408,0.04506560182544206
Dewan Housing Finance Corp Ltd,248.1,FCFE,278.5,PE,289.7,,Buy,-0.10915619389587072,-0.14359682430100107
Dillard's,69.03,FCFF,63.43,EV/Sales,86.6,,Sell,0.08828629985811132,-0.2028868360277135
DLF Limited,112.4,FCFF,83.87,EV/EBITDA,107.73,,Sell ,0.34016930964588044,0.04334911352455206
Dolby Laboratories,46.84,FCFF,31.49,PE,38.88,,Sell,0.487456335344554,0.20473251028806594
Dollar General,77.1,FCFF,95.59,PE,99.34,,Buy,-0.1934302751333823,-0.22387759210791236
Domino's Pizza,161.61,FCFF,179.7,VS,147.15,,Hold,-0.10066777963272111,0.0982670744138634
Dominos,163.57,FCFF,149.57,VS,125.1,,Sell,0.09360165808651466,0.30751398880895287
E.On,6.45,FCFF,9.16,EV/EBITDA,8.51,9.79,Buy,-0.2958515283842794,-0.24206815511163338
Edreams Odigeo (EUR),2.92,FCFF,5.08,EV/EBITDA,8.47,,BUY,-0.4251968503937008,-0.6552538370720189
Electronic Arts,78.75,FCFF,83.88,EV/EVITDA,55.45,,Hold,-0.06115879828326176,0.4201983769161406
Emaar Malls Group,2.75,FCFF,3.49,VEBITDA,3.17,,Buy,-0.21203438395415475,-0.13249211356466872
"Enphase Energy, Inc.",1.27,FCFF,0.96,EV/Sales,3.45,,SELL,0.32291666666666674,-0.6318840579710145
Expedia (USD),124.2,FCFF,116.22,EV/EBITDA,128.37,,BUY,0.06866288074341775,-0.03248422528628181
Facebook,120.31,FCFF,162.58,P/E,142.36,,BUY,-0.259995079345553,-0.15488901376791242
Facebook,117.77,FCFF,155.43,P/E,158.89,,Buy,-0.2422955671363315,-0.2587953930392095
Facebook,119.68,FCFF,177.05,PE,190.11,,BUY,-0.32403275910759677,-0.37046972805218037
Facebook,120.31,FCFF,75.74,VS,59.6,,Sell,0.5884605228412993,1.0186241610738254
Facebook,120.31,FCFF,87.42,EV/Sales,95.43,,Sell,0.37622969572180276,0.2607146599601802
Facebook,121.38,FCFF,111.18,PEG,159.53,,Sell,0.09174311926605494,-0.2391399736726635
Fast Retailing,43210,FCFE,26099.63,Total Revenue LTM,28911.88,,Sell,0.655579025449786,0.4945413442501836
Ferrari N.V,53.75,FCFF,36.01,V/Revenue,56.86,,Hold,0.49264093307414614,-0.05469574393246568
Ferrosider SA (ARS),876944700,FCFF,876944700,EV/EBITDA,1752271460,,BUY,0,-0.499538330664816
Fiat Chrysler,8.05,FCFF,11.98,EV/EBITDA,34.97,,Buy,-0.3280467445742904,-0.7698026880183013
Fibria,31.61,FCFF,27.42,VEBITDA,10.48,,Sell,0.15280816921954776,2.0162213740458013
Fitbit,7.98,FCFF,6.54,EV/Sales,19.17,,Sell,0.22018348623853212,-0.5837245696400626
Freeport-McMoran,15.52,FCFF,15.66,EV/EBITDA,8.49,8.93,Sell,-0.008939974457215838,0.8280329799764428
GlaxoSmithKline,14.71,FCFF,12.87,PE,12.47,,SELL,0.14296814296814309,0.17963111467522053
GlaxoSmithKline,14.71,FCFF,12.87,P/E,12.47,,SELL,0.14296814296814309,0.17963111467522053
Gogo Inc.,9.37,FCFF,5.08,VS,14.38,4.09,Sell,0.8444881889763778,-0.34840055632823375
Greggs plc,9.3,FCFF,11.39,VS,12.89,,Buy,-0.18349429323968391,-0.27851047323506595
Groupon,3.78,FCFF,2.68,EV/Sales,3.11,,Sell,0.4104477611940296,0.21543408360128624
Groupon,3.74,FCFF,0.78,VEBITDA,3.43,0.31,Sell,3.7948717948717947,0.09037900874635563
GrubHub,37.24,FCFF,17.2,VS,31.49,,Sell,1.1651162790697676,0.18259765004763429
GrubHub,38.14,FCFF,20.06,PS,34.15,,Sell,0.9012961116650051,0.11683748169838948
Grubhub Inc.,37.24,FCFE - higrowth,46.4,EV/Sales,19.92,,Buy,-0.1974137931034482,0.8694779116465863
H&M,259.8,FCFF,229.79,PS,210.48,,Sell,0.13059750206710485,0.23432155074116312
"HCA Holdings, Inc.",73.25,FCFF,108.21,V/EBITDA,180.11,,Buy,-0.32307550133998697,-0.5933040919438122
Home Depot,134.58,FCFF,77.18,EV/Sales,78.39,,Sell,0.7437159885980824,0.7168006123230006
Hudson's Bay Company,13.85,FCFF,12.92,EV/Sales,28.45,,Hold (i am NOT a chicken),0.07198142414860675,-0.5131810193321618
iKang Healthcare Group,16.06,FCFF,8.63,PE,3.2,,Sell,0.8609501738122824,4.018749999999999
Inditex SA,32.31,FCFF,31.87,EV/Revenue,,,Sell,0.013806087229369268,1
Inmarsat,8.94,FCFF,10.57,PE,10.58,,Buy,-0.15421002838221387,-0.15500945179584125
Intrexon,28.79,FCFF,10.3,VS,19.38,,SELL,1.7951456310679608,0.4855521155830753
IPRC Public Company Limited,4.84,FCFF,4.21,EV/EBITDA,7.38,,Sell,0.14964370546318295,-0.34417344173441733
J.C. Penney,9.92,FCFF,8.54,VS,3.99,6.95,Sell,0.16159250585480112,1.4862155388471177
JC Penney,10.51,FCFF,3.71,EV/Sales,5.19,17.6,Buy,1.8328840970350404,1.02504816955684
JCPenney,10.21,FCFF,-2.78,EV/Sales,-1.31,14.46,Sell,1,1
JD.com,26.16,FCFF,30.01,EV/Sales,69.06,,Buy,-0.12829056981006337,-0.6211989574283232
JD.com,181.4,FCFF,315.8,EV/Revenue,974.2,,BUY,-0.4255858138062064,-0.8137959351262575
Justo Rodero & Hijos (USD),3.95,FCFF,3.95,P/E,11.34,,BUY,0,-0.6516754850088183
Kajima Corporation,818,FCFF,1656,EV/Sales,1004,,Buy,-0.5060386473429952,-0.18525896414342624
Konami,3800,FCFF,2259.44,VEBITDA,4262.2,,Sell,0.681832666501434,-0.10844164985218896
Kroger,34.19,FCFF,36.44,EV/Sales,13.5,,Sell,-0.061745334796926454,1.5325925925925925
Kronos,11.95,FCFF,3.64,VS,12.77,1.19,BUY,2.282967032967033,-0.0642129992169147
LendingTree Inc (USD),102.7,FCFF,82,EV/EBITDA,100.02,,HOLD,0.2524390243902439,0.02679464107178564
Leon's Furniture,17.6,FCFF,17.31,EV/Sales,19.21,,Hold,0.016753321779318542,-0.08381051535658512
Li&Fung,0.46,FCFF,0.77,PE,0.6,,BUY,-0.4025974025974026,-0.23333333333333328
LIG Nex1,69.84,FCFF,104.87,EV/EBITDA,114.06,,Buy,-0.33403261180509203,-0.38769068911099425
Lindt,53550,FCFE,56179.26,PE,53019,,Buy,-0.0468012572611316,0.010015277542013257
"Lululemon Athletica, Inc.",68.84,FCFF,57.59,V/EBITDA,37.73,,Hold,0.19534641430803967,0.8245428041346412
"Macy's, Inc.",40.46,FCFF,36.15,V/EBITDA,23.38,,Sell,0.11922544951590597,0.7305389221556888
"Macy's, Inc.",43.17,FCFF,27.89,VS,43.49,,Sell,0.5478666188598065,-0.007358013336399183
Madison Square Garden,173.33,FCFF,157.45,VS,171.78074197582325,,Hold,0.10085741505239776,0.009018810876918915
MakeMyTrip,24.25,FCFF,7.81,EV/Revenue,24.6,,Sell ,2.1049935979513448,-0.014227642276422814
Maruti Suzuki (1000 rupees),5.24,FCFF,4.33,PE,2.49,,Sell,0.210161662817552,1.104417670682731
McDonald's,121.74,FCFF,89.17,PE,88.03,,Sell,0.36525737355612864,0.382937634897194
MGM Resorts,29.19,FCFF,6.69,VEBITDA,25.29,12.85,Sell,3.363228699551569,0.15421115065243196
Michael Kors,47.87,FCFF,49.96,V/EBITDA,102.27,,Hold,-0.041833466773418815,-0.5319252957856654
MobilEye,35.58,FCFE,35.54,EV/EBITDA,48.41,,Buy,0.0011254924029262536,-0.2650278868002479
Mughal,92.11,FCFF,128.77,P/E,81.63,,Buy,-0.28469363982294016,0.12838417248560585
Nathan's Famous,63.65,FCFF,54.1,PE,26.45,,HOLD,0.17652495378927902,1.4064272211720228
Neonode,2.07,FCFF,1.15,EV/EBITDA,2.52,,Sell ,0.8,-0.1785714285714286
Nestle,67.31,FCFE,63.99,VS,78.89,,Hold,0.05188310673542751,-0.14678666497654957
Nestle S.A.,69.87,FCFF,60.77,PBV,60.43,,Sell,0.14974493993746907,0.15621380109217275
Netflix,122.6,FCFF,85.7,NTM VS,104,,Sell,0.43057176196032665,0.17884615384615388
Netflix,120.81,FCFF,74.53,PE,48.4,,SELL ,0.620958003488528,1.4960743801652896
Nike,52.3,FCFF,55.65,Price/Sales,41.63,,Buy,-0.06019766397124893,0.2563055488830168
Nordstrom,58.42,FCFF,58.91,VS,68.49,,Buy,-0.008317772873875362,-0.14702876332311277
Nordstrom,58.31,FCFF,58.15,EV/Revenue,64.51,,Hold,0.002751504729148868,-0.09610913036738489
Northrop Grumman Corporation (NYSE:NOC),232.07,FCFF,205.56,EV/EBITDA,222.68,,Sell,0.12896477913991045,0.04216813364469196
Nuvasive,67.45,FCFF,59.54,EV/EBITDA,53.76,,Sell,0.1328518642929124,0.25465029761904767
Nvidia,91.17,FCFF,103.48,VEBITDA,130.39,,Buy,-0.11896018554310017,-0.3007899378786716
OZ Minerals,8.43,FCFF,9.67,EV/EBITDA,5.504048501125413,,Buy,-0.12823164426059985,0.531599875669031
Pandora,13.41,FCFF,9.74,Other,29.18,,Buy,0.3767967145790554,-0.5404386566141193
Pandora Media,13.48,FCFF,11.25,EV/Sales,34.29,,Hold,0.1982222222222223,-0.6068824730242053
PayPal,38.34,FCFF,26.49,EV/Sales,28.62,,Sell,0.447338618346546,0.3396226415094341
Paypal Holdings Inc,38.62,FCFF,48.84,P/E,36.95,,Buy,-0.20925470925470935,0.04519621109607552
Petrobras PETR4,15.6,FCFF,10.29,EV/EBITDA,15.76,37.29,Sell,0.5160349854227406,-0.010152284263959421
Pfizer,32.83,FCFF,27.12,VS,31.09,,Sell,0.2105457227138643,0.055966548729494914
Planet Fitness,20.7,FCFF,33.96,PBV,32.82,,Buy,-0.39045936395759717,-0.3692870201096893
Prada,25.65,FCFF,19.42,PE,21.45,,Sell,0.3208032955715756,0.19580419580419584
Priceline,1536.71,FCFF,1325,EV/Sales,679,,Sell,0.15978113207547162,1.26319587628866
Priceline Group,1536.78,FCFF,1140.67,PBV,1506.76,,Sell,0.3472608203950309,0.019923544559186546
Prudential Financial,104.53,Dividends,129.03,PBV,122.72,,Buy,-0.1898783228706502,-0.14822359843546284
QOL,1454,FCFF,2710.67,VS,4658.73,,Buy,-0.463601249875492,-0.6878977747154267
Regal Entertainment Group,21.57,FCFF,6.05,VEBITDA,15.21,,Sell,2.5652892561983474,0.418145956607495
Renault,88.21,FCFF,105.43,own regression PE,101.34,23.5,Buy,-0.16333112017452345,-0.12956384448391567
"Resttoration Hardware Holdings, Inc.",31.92,FCFF,20.91,VS,41.67,,Sell,0.5265423242467719,-0.2339812814974802
"Revireo, Inc.",1003.48,FCFF,1365.23,EV/EBITDA,1003.48,,Buy,-0.264973667440651,0
Ruth's Hospitality,19.2,FCFF,18.14,EV/Sales,17.8,,Sell,0.058434399117971214,0.0786516853932584
Salesforce,71.17,FCFF,29.98,Other,65.3,,Sell,1.3739159439626416,0.08989280245022968
SAP,79.4,FCFF,40.11,PEG,70.46,,Sell,0.979556220393917,0.12688049957422676
Shake Shack,37.64,FCFF,38.24,PS,26.51,,Hold,-0.01569037656903771,0.4198415692191626
Shake Shack,37.64,FCFF,35.31,EV/Sales,32.35,,Hold,0.06598697252902852,0.16352395672333842
Shake Shack,38.08,FCFF,24.57,VS,18.74,,Sell,0.5498575498575498,1.0320170757737461
Shake shack,37.65,FCFF,32.12,PBV,85.12,,Sell,0.17216687422166888,-0.5576832706766918
Skechers,26.46,FCFF,29.49,PBV,45.11,,Buy,-0.10274669379450652,-0.4134338284194192
Square,14.07,FCFF,20.55,VS,19.24,,Buy,-0.31532846715328466,-0.26871101871101866
Square,13.06,FCFF,13.28,VS,13.11,,Hold,-0.016566265060240837,-0.0038138825324178782
"Square, Inc.",13.85,FCFF,21.96,EV / Sales,15.2,,Buy,-0.3693078324225866,-0.08881578947368418
"Square, Inc.",13.89,FCFF,13.37,VS,10.86,,Sell,0.03889304412864636,0.2790055248618786
Starbucks Corp.,58.77,FCFF2,44.49,PE,44.04,,Sell,0.32097100472016193,0.33446866485013627
Suntrust Bank,54.25,Dividends,47.89,PBV,59.23,,Hold,0.13280434328669877,-0.08407901401316897
Synchrony Financial,35.94,DDM,48.04,PBV,58.58,,Buy,-0.2518734388009992,-0.3864800273130762
Tableau,45.95,FCFF,27.49,VS,64.05,,Sell,0.6715169152419063,-0.2825917252146759
Target,76.98,FCFF,81.31,VS,134.1,,Hold,-0.05325298241298726,-0.4259507829977628
Target,77.69,FCFF,73.14,EV/EBITDA,97.85,,Sell,0.06220946130708227,-0.2060296371997956
Tate & Lyle,6.75,FCFF,6.64,EV/EBITDA,7.33,,Hold,0.016566265060240948,-0.07912687585266032
Team Health,42.5,FCFF,40.25,EV/EBITDA,36.7,,Sell,0.05590062111801242,0.15803814713896447
Tempur,64.58,FCFF,30.78,PEG,43.28,,SELL,1.0981156595191681,0.49214417744916816
Tesla,198.15,FCFF,147.64,VEBITDA,100.7,,Sell,0.34211595773503123,0.96772591857001
Tesla,198,FCFF,116,EV/Sales,87,0,Sell,0.7068965517241379,1.2758620689655173
Tesla Motors,192.43,FCFF,208.94,VS,50.92,187.74,Buy,-0.07901789987556229,2.779065200314218
Tesla Motors,192.18,FCFF,345.73,EV/REVENUE,207.71,,Buy,-0.44413270471176935,-0.07476770497328
Tesla Motors,184.52,FCFF,137.84,V/Revenue,139.61,,Hold,0.33865351131746957,0.32168182794928724
Tesla Motors,198.88,FCFF,150.81,VS,147.18,,Sell,0.3187454412837345,0.351270553064275
The Cheesecake Factory,63.23,FCFF,60.48,PE,65.86,,Hold,0.04546957671957674,-0.039933191618584885
The Lego Group,1588.01,FCFF,1734.45,EV/EBITDA,1588.01,,Buy,-0.08443022283721069,0
Tiffany & Co.,81.3,FCFF,69.44,PS,67,,Sell,0.17079493087557607,0.21343283582089545
"TJX Companies, Inc",77.09,FCFF,74.1,PS,69.13,,Sell,0.04035087719298258,0.11514537827281934
Toll Brothers,32.15,FCFF,25.32,VEBITDA,23.46,,SELL ,0.2697472353870458,0.3704177323103153
TomTom NV,7.92,FCFF,5.88,VS,6.46,,Sell,0.346938775510204,0.22600619195046434
Tower Insurance,2.5,Dividends,0.15,PE,6.4189,,Buy,15.666666666666668,-0.6105251678636526
Trimble Navigation,29.23,FCFF,23.69,VEBITDA,13.63,,Sell,0.2338539468130012,1.144534115920763
TripAdvisor,48.71,FCFF,20.69,PE,55.47,,Sell,1.3542774287095214,-0.12186767622138084
Twilio,29.23,FCFF,26.83,VS,6.57,,Sell,0.08945210585165864,3.449010654490106
Twitter,19.37,FCFF,6.1,EV/EBITDA,15.412658584719482,,Hold,2.1754098360655743,0.25675916932358
Twitter,19.65,FCFF,16.447514726377467,EV/Forward Revenue,19.4598065907918,,Hold,0.19470937262555488,0.009773653623988077
Twitter,18.98,FCFF,-19.77,EV/BC of Cap,2.08,,Sell,1,8.125
Twitter,19.65,FCFF,9.87,VEBITDA,36.7,,Sell,0.9908814589665653,-0.46457765667574935
Twitter,19.37,FCFF,13.78,EV/EBITDA,5.87,,Sell,0.4056603773584908,2.2998296422487225
Under Armour,27.61,FCFF,34.15,PS,15.13,,Buy,-0.19150805270863835,0.8248512888301387
Under Armour,32.26,FCFF,36.43,VEBITDA,27.41,,BUY,-0.11446609936865226,0.17694272163443991
Under Armour,32.36,FCFF ,26,PE,16,,SELL,0.24461538461538468,1.0225
Under Armour,32.2,FCFF,18.28,VS,19.77,,Sell,0.7614879649890591,0.6287303995953466
Under Armour,32.26,FCFF,26.83,VEBITDA,23.53,,Sell,0.20238538948937745,0.3710157246068846
"UnderArmour, Inc.",30.94,FCFF,26.71,EV/Sales,28.48,,Buy,0.15836765256458252,0.086376404494382
Universal Medical,6.64,FCFF,9.49,PBV,17.7,,Buy,-0.30031612223393045,-0.6248587570621469
Urban Outfitters,31.66,FCFF,35.57,VEBITDA,26.02,,BUY,-0.10992409333708186,0.21675634127594168
Walgreens Boots Alliance,86.72,FCFF,45.56,VEBITDA,88.74,,Sell,0.9034240561896398,-0.022763128239801644
Waste Management,70.7,FCFF,62.75,PE,76.31,,"Short term buy, long term sell",0.12669322709163344,-0.0735159218975232
Whole Foods,31.04,FCFF,38.72,VEBITDA,80.48,,Buy,-0.19834710743801653,-0.614314115308151
Whole Foods Market,31.04,FCFF,10.04,PS,25.62,,Sell,2.0916334661354585,0.21155347384855583
Whole Foods Market,30.5,FCFF,19.85,VS,44.69,,Sell,0.5365239294710327,-0.3175206981427612
"Whole Foods Market, Inc.",32.04,FCFF,25.58,PE,30.91,,Sell,0.2525410476935106,0.036557748301520476
WIX.com,44.8,FCFF_3,-7.55,EV/Sales,21.08,,Sell,1,1.1252371916508541
WWE,20.27,FCFF,15.09,PS,29.46,,Sell,0.343273691186216,-0.31194840461642914
Yelp,35.17,FCFF,27.89,VS,53.69,,Sell,0.26102545715310144,-0.3449431924008195
Yelp Inc.,35.17,FCFF,36.64,EV/Sales,47.94,,Buy,-0.0401200873362445,-0.26637463496036706
YG Entertainment,28900,FCFE,56799,EV/Sales,30206,,Buy,-0.49118822514480887,-0.04323644309077668
Zaveri,61.55,FCFF,56.92,VEBITDA,36.06,,Sell,0.08134223471539004,0.7068774265113698
Zillow,33.87,FCFF,11.58,VS,7.38,,Sell,1.9248704663212433,3.5894308943089426
Zillow,36.28,FCFF2,31.35,EV/Sales,18.01,,Sell,0.15725677830940987,1.014436424208773
Zillow Group,36.74,FCFF,26.3,EV/EBITDA,34.6,,Sell,0.3969581749049429,0.06184971098265901
Zoes,26.65,FCFF,20.38,VEBITDA,19.1,,Sell,0.3076545632973504,0.39528795811518314
ZTE Corporation,15.56,FCFF_2,22.89,EV/EBITDA,3.82,,Buy,-0.32022717343818263,3.0732984293193724
Zynga,2.83,FCFF,1.76,P/BV,3.41,,SELL,0.6079545454545454,-0.1700879765395894
