Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Tiffany & Co,R,0.0243,0.2066,90.09,32.96
Tiffany & Co.,B,0.0137,0.161,56.89,30.87
Tiffany Co.,B,0.0898,0.1518,24.9,32.1
Timberland,B,0.24519999999999997,0.0726,119.7,44.57
Time Warner,B,-0.0355,0.2338,0,5.65
Total,B,0.1578,0.155,3554,57.52
Trans World Entertainment,R,-0.1484,0.6001,4.66,6.88
True Religion,B,0.4652,0,0.7,21.39
Under Armor,B,0.1272,0.01,48.4,37.07
Unilever,B,-0.07367621171581774,0.1646753359530445,1994.9059999999997,28.78839610926395
United Natural Foods,B,0.077,0.101,0,72.04
Univision,B,-2.97,0.1663,0,16.87
Univision (UVN),B,-0.07245071851128088,0.12817272229318394,366473.3,20.945813448538818
Vail Resorts,B,-0.0043,0.2322,0,46.78
Verizon,R,0.0816,0.3008,4427,48.84
Viacom,R,-0.0317,0.1955,0,19.22
Walgreen,B,0.091,0.2985,575.6,23.84
Walgreens,B,0.12200000000000003,0.2869,575.6,41.8
Wal-Mart,B,0.1142,0.1891,3366.1,42.92
WBD,B,-0.0036,0.1688,0,93.09
WebMd,B,-0.025999999999999995,0.0002,0,38.8
Whole Foods,B,0.028,0.2249,141,45.51
Whole Foods,B,0.028,0.2249,141,45.51
Whole Foods Market,B,0.0348,0.267,16.4,51.38
Whole Foods Market,R,0.0286,0.1792,16.48,46.08
WholeFoods,B,0.05979999999999999,0.2279,108.1,40.280246785935596
Wild Oats,B,-0.0569,0.3213,5,1.95
William Demant,B,1.1509,0.0468,568,455.9399470375462
Williams-Sonoma,B,0.09930000000000001,0.2647,93.92,21.3
Williams-Sonoma,B,0.09930000000000001,0.2647,93.92,37.47
Wim Bill Dann,B,-0.0036,0.1688,0,93.09
World Wrestling Entertainment,B,-0.1111,0.009,21.43,13.8
WWE,B,-0.0063,0.0097,27,8.23
Wynn Resorts,R,-0.1149,0.2299,0,62.16
Yahoo,B,0.1111,0.032200805020125504,0,21.48
Yahoo,R,0.1124,0.0521,0,22.43
Yahoo Inc.,B,0.1063,0.0352,227.273,26.84
Yahoo Inc.,B,0.1063,0.0352,227.273,19
Yahoo!,B,0.144,0.0531,129,25.42
