Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Delphi,B,0.2169,0.281,221,37.55
Delphi Automotive,B,0.2,0.287,523,10.04
Delta,B,0.0995,0.7825,345.53,84.32
Delta,B,0.0785,0.7562,507.5,21.52
Delta Airlines,B,-0.036900000000000016,0.8048,12.32,52.11
Devon Energy,R,0.1767,0.4677,44.54,53.97
Diagnostic Products,B,0.0551,0.0171,7.51,54.21
Dick Clark Productions (DCPI),B,-0.0389,0.0587,0,10.56
Dillards,B,-0.1117,0.5679,77.66,11.44
Dollar General,R ,0.123,0.1853,87,20.55
DOMTAR,B,-0.0356,0.4196,26.3,11
Dreyer's,B,0.00388,0.0994,22.05,39.12
Duane Reade,B,0.0236,0.473,0,38.16
Duane Reade,B,0.1011,0.49,0,21.49
EchoStar,B,0,0.2883,0,43.67
Electronic Arts,B,-0.054,0.0076,1095,32.18
Electronic Arts,B,-0.0797,0,0,41.74
Electronics Boutique,B,0.0205,0.1844,0,10.16
Eli Lilly,B,0.3974,0.0309,1375.52,51.32
Eli Lilly,B,0.3207,0.0312,2358,58.62
Eli Lilly,B,0.3232,0.0365,2054,63.23
Eli Lilly,B,35.66,0.032,1728.7,65.48
Eli Lilly,B,0.31345848274825666,0.034912033954204835,1034.3,59.56544885822575
Eli Lilly,B,0.3229,0.0322,1052.85,64.26
Expedia,R ,-0.259,0.0156,0,19.58
Extended Stay America (ESA),B,-0.021400000000000002,0.3988,10.58,24.365849972464297
Exxon Mobil,B,0.125,0.0573,7430,54.54
ExxonMobil,B,0.1304,0.0435,6254,50.52
Federated Dept.,B,-0.0054,0.43,352.6,31.35
Foot Locker,B,0.0028,0.4376,0,10.09
Ford,B,-0.7307,0.73,3959,26.44
Ford,B,0.467,0.3328,2751,74.61
Forest Laboratories,B,0.1369,0.0095,47.9,72.89
Forest Labs,B,0.101,0,0,64.51
Four Seasons Hotel (FS),B,0.0912,0.2636,2.27,55.78035302662559
Fox,B,-0.09619720000000001,0.08429317117023356,0,5.78
Fox Entertainment (FOX),B,-0.0943,0.1823,0,27.85
Fox Entertainment Group,B,-0.1514,0.1503,0,15.44
Frontier,R,0.3499,0.5404,0,37.3
Gap,B,0.2078,0.2758,387.89,8.23
Gap,B,0.22860000000000003,0.286,391.65,14.46
GAP (GPS),B,0.099,0.3646,594,14.25
GemStar,B,0.008099999999999996,0.1243,34.8,21.18
Genentech,B,-0.0816,0.0351,0,18.04
General Mills,B,0.214,0.3648,541.28,51.65
General Mills,B,0.1283,0.2213,462.2,103.74
General Motors,B,0.0483,0.42,3239,69.25
Georgia Pacific,B,-0.0992,0.63,228.5,12.33
GlaxoSmithkline,B,0.261,0.0482,3940.5,23.12
Goodyear,B,0.1607,0.5487,188,8.04
Grupo Prisa,B,0.004246430000000009,0.1762850006572893,21.014,8.43
Guidant,B,0.1902,0.0748,0,44.28
Guidant,B,0.2587,0.0611,102.5,62.22
Harrah's Entertainment,B,0.0786,0.398,105.52,70.82
Harrah's Entertainment,B,0.0786,0.398,105520,96.04
HCA,B,-0.0258,0.2746,1091.4,29.34
Heineken ,B,0.37,0.3456,915,35.53
Heinz,B,0.218,0.2505,402.65,53.84
Hershey,B,0.1019,0.101,370.82,61.59
Hershey,B,0.1052,0.108,195,55.8
Hibbett,B,0.052,0.163,-3,38.16
Hilton,B,-0.0054,0.5107,76.6,13.85
Hilton,R,0.037,0.471,95.2,9.9
Hilton Hotels (HIL),B,0.0822,0.4122,76.6,14.98
Hispanic Broadcasting ,B,-0.09540000000000001,0.018627926385548926,0,25.02
HLT,B,0.0971,0.4727,30,22.24
Home Depot,B,0.0908,0.0506,266,47.14
Home Depot,B,0.1146,0.083,265.8,54.52
Home Depot,B,0.0935,0.0443,131,19.42
Horizon Organic,B,-0.0204,0.2211,0,3.1
HOT,B,0.0156,0.4578,156,31.64
HP,B,0.0067,0.1478,3787,25.78
Hudson Bay,B,-0.0795686472314454,0.7070265276869265,49.353,6.22
IBM,B,0.39,0.13,834,86.11
IBM,B,0.2352,0.167,6249,62
IDEC,B,0.001,0,0,66
IHOP,B,0.054,0.5297,3.33,32.61
IMAX,B,-1.5538,0.633,0,1.42
Immunex,B,-0.0194,0.003,0,8.25
Immunex,B,-0.0268,0.0132,0,22.98
International House of Pancakes,B,0.0266,0.2829,0,67.21
International Paper,B,-0.196,0.3875,323.2,42.5
INTERNATIONAL PAPER,B,-0.165,0.2061,416,42.5
Intuit,B,-0.0507,0.0193,3595,26.97
Invacare,B,0.0954,0.2509,4,37.04
IVAX,B,0.1589,0.1178,34.9,16.49
IVAX,B,0.4,0.29,43,7.92
J&J,B,0.139,0.014,1970,45.11
Jos. A. Clothiers,B,-0.0008,0.41,0.6308,17.33
KB Home,B,0.1481,0.4607,12.08,45.34
KB Home,B,0.1481,0.4607,12.08,45.34
Kellogg,B,0.4486,0.2851,619.08,35.5
Kellogg,B,0.44,0.292,619.08,28.36
Kimberly-Clark,B,0.1831,0.0949,971.79,48.38
Kohl's,B,0.1147,0.1189,0,72.56
Kohls Corporation,B,0.09890000000000002,0.0721,0,41.72
K-Swiss,B,0.0964,0.01,13.24,54.49
Lear Corp,B,-0.008,0.5159,111,66.38
Lowe's,B,0.0629,0.1114,37.7,42.28
Mandalay Resort Group,B,0.001899999999999999,0.5256,55.2,49.77
Mandalay Resort Group,B,0.001899999999999999,0.5256,55200,33.72
MAR,B,0.0346,0.2659,61,39.79
Marathon Oil,R,-0.0776,0.2703,280,33.93
Marks and Spencers,B,0.0024,0.3195,478,7.11
Marriott,R,0.025,0.285,306.4,37.5
Marriott (MAR),B,-0.0182,0.2536,99.25,39.94
Martha Stewart,B,-0.0115,0.0632,33.3,7.97
Martha Stewart ,B,-0.0007500000000000007,0.055459114337638026,11.091666666666667,18.86
Martha Stewart Living Omnimedia,B,-0.0075,0.0553,0,15.08
Martha Stewart OmniMedia,B,-0.030200000000000005,0.0146,0,9.48
May Department Stores,B,0.1325,0.3544,650.5,19.27
McDonald's,B,-0.06,0.3281,1027.12,28.63
McDonald's,R,0.0854,0.2914,1355800,26.51
MDC Holdings,B,0.1878,0.1728,4.21,76.14
MDC Holdings,B,0.1878,0.1728,4.21,76.14
Medtronic,B,0.1359,0.0029,281.17,22.95
Medtronic,B,0.1145,0.0042,455,40.48
Merck,B,0.338,0.061,6208.451999999999,66.56
Merck,B,0.283,0.061,5064,63
Merck,B,0.3645,0.0597,6307,65.14
Merck,B,0.36336357736093206,0.06452812151468479,2565.132,53.16
Merck,B,0.3679,0.0699,2565.13,52.39
Merck,B,0.326,0.0641,445.2,81.5
Merck,B,0.365,0.07,6207,67.96
Merck,B,0.3272,0.0481,6208,42.97
Metro-Goldwyn Mayer,B,-0.3070670030737787,0.1966,0,9.24
Micron,B,-0.0782,0.0256,0,18.39
Microsoft,B,0.0561,0,0,62.41
Monro,B,-0.0082,0.4469,0,21.87
Morton's of Chicago,B,-0.0601,0.7717,0,43.95
Nautica,B,0.1558,0.2278,21.34,22.35
Navistar,B,-0.11,0.568,110,56.33
Neiman Marcus,B,0.042,0.2253,48.88,10.81
Neiman Marcus,B,0.0517,0.2577,15.16,54.11
New York Times ,B,0.047450000000000006,0.1973567622615235,502.84,39.22
NewsCorp,B,-0.1383,0.2332,161,1.49
Nike,B,0.0827,0.1,386.52,52.26
Nike Corp.,B,0.0804,0.11,320,74.39
Nordstrom,B,-0.0253,0.2579,416.6,10.8
Nordstrom,BB,-0.004699999999999996,0.3049,36.82,16.4
Nordstrom (JWN),B,-0.0258,0.3395,236.6,27.71
Novartis,B,0.1047,0.042,2608,53.16
Novartis,B,0.0586,0.0948,1784,33.63
Novartis,B,0.0619,0.05697711020209307,1561.86,24.03
Occidental,B,0.129,0.4739,497,28.86
OEH,B,-0.0157,0.2532,0,22.1
Outback Steakhouse,B,0.0628,0.0712,60.12,48.6
P.F. Chang's Chinese Bistro,R,0.03899999999999999,0.1205,0,66.93
Pacific SunWear,B,0.2728,0.2382,0,21.77
Park Place Entertainment,R,-0.1116,0.597,48.8,12.1
Park Place Entertainment,R,-0.1116,0.597,48800,4.73
Paychex,B,0.2483,0.0063,63.75,26.62
Pep Boys,B,-0.0872,0.4076,50,15.51
PepsiCo,B,0.247,0.05,2107.8888888888887,73.84892529478829
Pfizer,B,0.2676,0.0373,2367.9,45.67
Pfizer,B,0.206,0.04,2621,50.85
Pfizer,B,0.3501,0.0224,4406,43.6
Pfizer,B,0.3495,0.0422,1717.8,52.21
Pfizer,B,0.2485,0.0342,6318,28.78
Pfizer,B,0.4005,0.0398,2276,30.06
Pfizer,B,0.347,0.0423,3659,38.98
Pfizer,B,0.3539,0.037,3660,40.77
Pharmacia,B,0,0.059,623,28.74
Pharmacia,B,0.0206,0.0658,982.67,37.33
Pier 1 Imports,B,0.0926,0.2962,21.22,19.39
Pixar,B,-0.0388,0.0006,0,22.49
Pixar (PIXR),B,-0.0356,0,0,43.39
Playboy Entertainment,B,-0.4563,0.2151,0,5.29
Poore Brothers,B,-0.0069,0.29,0,2.13
Princeton Video Image,B,-2.0007,0.025,0,18.74
Quiksilver (ZQK),B,0.0253,0.3293,0.74,23.24
Radio Shack,B,0.124339049320392,0.192185197038341,395180,27.74
Ralph Lauren,B,0.0778,0.2317,10.17,15.76
Redhook Ale,B,-0.1032,0.2372,1.290177,6.03
Reebok,B,0.0981,0.2,5.42,27.84
Restoration Hardware,B,-0.1469,0.43,0,2.05
Robert Mondavi,R,0.0464,0.3685,8.62,40.89
Ross Stores,B,0.1738,0.229,137.02,33.36
Royal Ahold,B,0.3469381024023127,0.4519974615246563,94.088,26.49
Ryanair,B,0.0978,0.0672,0,32.87
Saks,B,-0.0748,0.662,0,13.87
Saks,B,-0.0489494329963223,0.5054,10392,14.83
Saks Inc,B,-0.0181,0.5759,12.54,10.32
Saks Inc.,B,-0.0911,0.52,7.8,13.28
Sara Lee,B,1.3,0.188,1124.25,35.17
Sara Lee,B,1.1194,0.1856,970.6,27.15
Schering Plough,B,0.242,0.0254,916.11,40.83
Schering Plough,B,0.2095,0.0328,1052.8,31.26
Schering-Plough,B,0.1881,0.0242,1266,33.28
Schering-Plough,B,0.16811002541043119,0.0158477492450666,719.6,31.78
Sears,B,-0.0198,0.5728,490.28,57.81
Skechers,B,0.0494,0.22,0.8,22.98
Sony,B,-0.0453,0.218513770377838,22,4780
Southwest,R,3.75,0.1957,70.07,18.41
Southwest Airline,B,0.0776,0.1861,13.44,21.49
Sports Authority,B,-0.0314,0.7462,2.1,29.25
"St. Jude Medical, Inc.",B,0.0499,0.052,0,66.51
Staples,B,0.0331031892083555,0.306747699139896,59174,17.36
Starwood,R,-0.016,0.444,305.34,37.26
Starwood Hotels (HOT),B,-0.0551,0.4086,872.6,38.58559343852084
Sun Microsystems,B,0.42,0.09,0,7.37
Takeda,B,0.086,0.0037,23251,8957
Talbot's,B,0.0865,0.0455,27.1,31.51
Target,A+,0.09129999999999999,0.1878,164.9,25.18
Target,B,0.1041,0.1535,274,28.52
Target,B,0.11569999999999998,0.1649,133,46.67
Target,B,0.1551,0.1755,346,35.61
Target,B,0.1016,0.1898,423,31.41
Target,B,0.15,0.1516,334.43,45.39
Target,B,0.0767,0.18,423.4,35.45
Target,B,0.0978,0.1933,274,42.32
Target,B,0.11191483962874632,0.18240989054173376,223,40.62
Target,R,0.0941,0.1993,185,45.5
TENET,B,-0.0362,0.1806,0,75.25
Teva Pharmaceuticals,B,0.0915,0.1291,289.91,64.1
The Gap,B,-0.1058,0.3455,594,9.68
The Gap,B,-0.1205,0.3263,76.81,19.02
The Gap,B,0.146768557884449,0.323634792937142,387892,10.35
The Gap,B,0.23329844614623957,0.2647869408522366,468.93,11.53
The Limited,B,0.13271295492147386,0.3051303056094962,137,15.62
The Sharper Image,B,0.2783,0.2737,0,43.69
THQ,B,0.0107,0,0,35.2
Tiffany,B,0.111,0.1009,34.9,31.9
Tiffany,B,0.104,0.11,16.3,35.42
Tiffany,B,0.1487,9.38,11.603,39.94
Tiffany,B,0.09499999999999999,0.0918,19.74,29.63
Tiffany,B,0.0607,0.1055,34.7,29.07
Tiffany,R,0.0605,0.0992,26.32,27.73
Tiffany & Co.,AA,0.0348,0.0904,10.61,16.4
TiVo,B,0,0.09,0,18.74
TJX Cos.,B,0.3447,0.2027,457.85,33.28
Toll Brothers,B,0.1866,0.2933,25.01,31.9
Toll Brothers,B,0.1699,0.2933,25.01,31.29
Tower Automotive,B,-0.188,0.6157,40,20.21
Toys R Us,A-,-0.026499999999999996,0.4365,0,35.82
Toys-R-Us,B,-0.0269,0.4664,269,22.08
United,B,-0.653,0.9436,41.2,12.6
Univision,B,-0.0248,0.1776,0,28.76
Univision (UVN),B,-0.0476,0.0935,0,50.78
"USA Networks, Inc. (USAI)",B,-0.0412,0.0828,13.44,36.27
Vans,B,0.0326,0.31,1,13.68
Vertex,B,-0.2598,0.13,0,18.199
Viacom,B,-0.13,0.1457,1066.1,30.88
Viacom Inc.,B,-0.10110400000000001,0.14927445165322828,877.04,28.55
"Viacom, Inc. (VIA.B)",B,-0.132,0.1665,453.33,52.9
Visteon,B,0.007,0.5272,72,16.55
Vivendi Universal,B,-0.1495,0.468,1090,33.88
Wal Mart,R,0.0973659705779742,0.0962454168414346,1087000,59.36
Wal-Mart,B,0.107,0.0935,860.11,47.27
Wal-Mart,B,0.0914,0.09,1758.4,49.44
Wal-Mart,R,0.119,0.093,1087,26.63
Wal-Mart,R,0.119,0.089,1580,40.34
Washington Post,B,-0.0091,0.2348,13.3,263.6
Washington Post,B,0.0444,0.1603,156.61,474.4
WEYERHAEUSER,B,-0.0425,0.326,508.6,62.6
Whole Foods,B,0.131,0.2372,3.47,31.9
WILLAMETTE,B,0.0114,0.4457,102.1,52.1
Wolverine World Wide,B,0.0287,0.14,13.32,17.28
Wyeth,B,0.5566,0.0921,1537.98,65.24
XMSR,B,0,0.355,0,6.32
Xoma,B,-0.5904,0.206,48.13,2.12
Xybernaut,B,-0.3063,0.0174,0,0.69
