Industry,Number of firms,EV/EBIT(1-t),EV/EBIT,EV/EBITDA
Property/Casualty Ins,23,7.6091720535124,10.214846041603058,11.314376301574404
Protection-Safety,4,16.069675139418933,22.818140063072676,13.8257945215718
Public Thoroughfares,13,12.685612000829764,21.816768886200148,16.25418470565668
Publishing-Books,8,10.12213985888628,13.808959409131878,9.347503734390386
Publishing-Newspapers,30,13.182716301786183,20.808463156172614,13.098413835254155
Publishing-Periodicals,23,26.925920447715523,41.037178886725094,17.54697449984345
Quarrying,5,10.7607291749429,13.992781949679983,8.765149400018561
Racetracks,3,20.8367607223425,26.357852153410146,14.138457722918977
Radio,7,37.614941042259716,49.92786607046628,28.039908274141048
Real Estate Mgmnt/Servic,114,49.46309462566683,53.887236763990444,40.0518384337981
Real Estate Oper/Develop,80,23.847943908116953,29.183443433072775,27.54968986525676
Recreational Centers,3,24.377626487208897,31.254702962360227,20.419546934313257
Recycling,3,15.22129868502782,23.67108810071197,12.640853260499577
Regional Banks-Non US,34,40.53572986198759,57.33388309153596,57.45363827849798
Reinsurance,7,4.582013761508303,7.149980233745318,5.811987620972225
Remediation Services,2,11.283546053794478,19.14899627287989,10.75802681226836
Rental Auto/Equipment,15,13.588740213634633,16.667302010280103,7.8074823419432295
Research&Development,2,7,7,20.284701902748402
Resorts/Theme Parks,7,18.584115998078325,23.565106149291402,11.780327233317331
Retail-Apparel/Shoe,26,15.232375183767688,22.0429767559031,9.614532691135096
Retail-Appliances,1,12.936966701030926,19.041752577319585,19.041752577319585
Retail-Auto Parts,2,8.100688858100568,17.16975171280324,9.344185711390857
Retail-Automobile,11,10.669914061214532,14.987556623381113,6.847289010346864
Retail-Bookstore,2,8.555888306892857,10.47552899527745,5.954881871265616
Retail-Building Products,5,8.46547007960928,12.683492268382597,8.667069080188972
Retail-Catalog Shopping,3,7.761653657194637,11.84683844903786,8.4664143400893
Retail-Computer Equip,4,7.529421007562747,10.00953306199973,29.41316128589825
Retail-Consumer Electron,8,9.966532691396784,13.477165959191742,9.14265567808043
Retail-Convenience Store,1,17.126135981860656,20.028225917273602,8.845384475329247
Retail-Discount,4,6.737099479504051,9.001702882057723,13.69380353128495
Retail-Drug Store,1,6.902244923802613,9.702340348330914,7.774284052914667
Retail-Floor Coverings,3,11.987964432696531,14.453198287220026,12.768710612771898
