Bloomberg Symbol,Primary Exchange,0.00me,Industry 0.00me,FCFF,FCFE,Market Capitalization,Firm Value,Enterprise Value,Cash & near Cash,Invested Capital,Total Debt,Book Equity,Revenues,Net Cap Ex,EBIT,EBITDA,EBIT (1-t),Chg in non-cash WC,Reinvestment,Tax Rate,Net Income,Standard deviation in stock prices,Beta,Geo growth in earnings per share,Cash/Firm Value,Payout Ratio,Reinvestment Rate,Net Margin,After-tax Margin,PE,PBV,PS,EV/EBITDA,EV/EBIT,Firm Value/BV,EV/Sales,ROE,ROIC,Market Debt to Capital,Market Debt to Equity,Book Debt to Equity,Interest Coverage Ratio,Geometric Growth-EPS Before XO,Volatility 90 Day Calc,Raw Beta,Current Market Cap,Operating Income (Losses),Effective Tax Rate,Capital Expenditures,Depreciation & Amortization,Cash Flow Net Income,Total Debt (ST & LT Debt),Interest Expense,Sales/Revenue/Turnover,Changes in Non-Cash Work Cap,Industry Subgroup,IBES Est Growth,Dividends Paid,Total Common Equity,Cash&Near Cash Items,Adj Beta
CTB GR Equity     ,Xetra,COMTRADE AG,Computer Services,5.51,-3.292768532526475,15.95434,36.59434,36.334340000000005,0.26,26.18,20.64,5.8,17.59,-4.38,-1.68,2.7,-1.68,-2.81,-7.1899999999999995,0,-4.87,0.41023000000000004,0.5776487663280117,0.00,0.007104923876205992,0.00,0.00,-0.2592382035247299,-0.09550881182490051,0,2.750748275862069,0.9070119386014781,13.457162962962963,0,1.3840521936459909,2.0656247868106883,-0.8396551724137932,-0.0641711229946524,0.5640216492495834,1.2936918731830962,3.5586206896551724,0.00,,41.023,0.398,15954340,-1.68,0,,4.38,-4.56,20.64,3.19,17.59,2.81,Computer Services,,,5.8,0.26,0.5776487663280117
CGY GR Equity     ,Frankfurt,CONERGY AG,Power Conv/Supply Equip,8.065487999999998,8.116476426799007,728.9,729.15,710.15,19,1.1499999999999986,0.25,19.9,284.83,1.3900000000000001,18.72,20.66,11.005488,1.55,2.9400000000000004,0.4121,11.02,0.00,0.00,0.00,0.026057738462593433,0,0.2671394489730942,0.0386897447600323,0.038638795070743956,66.14337568058076,20,2.5590703226485974,34.3731848983543,37.93536324786325,20,2.493241582698452,0.5537688442211055,1,0.0003428649797709662,0.00034298257648511456,0.01256281407035176,58.49999999999999,,,,728900000,18.72,41.21,-3.33,1.94,11.02,0.25,0.32,284.83,-1.55,Power Conv/Supply Equip,,,19.9,19,0.00
CFA GR Equity     ,Xetra,CONSTANTIN FILM AG,Broadcast Serv/Program,78.67,29.10571785111805,110.2269,202.9669,131.51690000000002,71.45,85.52,92.74,64.23,246.9,-63.17,-12.02,51.730000000000004,-7.802182,-27.52,-90.69,0.35090000000000005,-8.003403,0.28442,0.3062409288824383,0.00,0.3520278429635571,0.00,0.00,-0.04013770757391656,-0.03160057513163224,0,1.7161279775805698,0.4464434993924666,2.542371931181133,0,1.2930298783206984,0.5326727420008102,-0.12460537132181224,-0.09123224976613659,0.45692179365206836,0.8413554223152424,1.4438735793243032,0.00,,28.442,0.211,110226900,-12.02,35.09,-0.58,63.75,-9.91,92.74,0.31,246.9,27.52,Broadcast Serv/Program,,,64.23,71.45,0.3062409288824383
DCG GR Equity     ,Frankfurt,CONTIGAS DT ENERGIE AG,Electric-Integrated,-3.05,-3.8192019999999998,3952.377,3952.427,3952.337,0.09,2650.81,0.05,2650.85,0,0,-3.05,-3.05,-2.99449,0,0,0.0182,-3.8192019999999998,0.33252000000000004,0.5471698113207548,1.1517,2.2770819043590176e-05,0.00,0.00,0.00,0.00,0,1.490984778467284,0,0,0,1.4909755177486892,0,-0.0014407461757549465,-0.001129650936883443,1.2650455024216766e-05,1.2650615060253616e-05,1.8861874493087124e-05,0.00,115.17,33.252,0.377,3952377000,-3.05,1.82,,,,0.05,0.84,0,,Electric-Integrated,,,2650.85,0.09,0.5471698113207548
CON GR Equity     ,Xetra,CONTINENTAL AG,Rubber-Tires,660.63277,549.8174482006542,8137.927,9972.327,8832.927,1139.4,3537.3000000000006,1834.4,2842.3,12597.4,105,1232.9,1830.9,864.63277,99,204,0.2987,673.8,0.25976,1.3251088534107403,0.2036,0.11425618113004118,0.10448204214900565,0.23593831633284035,0.053487227523139697,0.06863581135789926,12.077659542891066,2.8631485064912217,0.6460005239176337,4.824363427822382,7.1643499067239835,2.1323426775290266,0.7011706383856986,0.23706153467262425,0.24443297712944898,0.183949042184437,0.22541367107372678,0.6453928156774443,10.122331691297209,20.36,25.976,0.913,8137927000,1232.9,29.87,-703,598,673.8,1834.4,121.8,12597.4,-99,Rubber-Tires,6.114,-70.4,2842.3,1139.4,1.3251088534107403
COC GR Equity     ,Frankfurt,COR AG INSURANCE TECHNOLOGIE,Data Processing/Mgmt,-0.08999999999999986,-0.19838523149394227,16.87676,17.69676,16.19676,1.5,13.36,0.82,14.04,18.35,-3.69,-8.6,-4.709999999999999,-8.134739999999999,-4.82,-8.51,0.0541,-8.238788999999999,0.78891,0.8708272859216256,0.00,0.08476127833569534,0.00,0.00,-0.4479564032697548,-0.4433100817438691,0,1.2020484330484331,0.9197144414168937,0,0,1.190899057873486,0.8826572207084469,-0.5868083333333333,-0.6088877245508981,0.04633616549018012,0.04858752509367911,0.0584045584045584,0.00,,78.891,0.6,16876760,-8.6,5.41,-0.2,3.89,-8.22,0.82,0.11,18.35,4.82,Data Processing/Mgmt,,,14.04,1.5,0.8708272859216256
EVD GR Equity     ,Xetra,CTS EVENTIM,Leisure&Rec Products,-8.262666999999997,-10.22801936619718,310.32,316.37,249.77,66.6,-9.799999999999997,6.05,50.75,224.38,-3.5600000000000005,15.37,20.27,8.467333,20.29,16.729999999999997,0.44909999999999994,4.72,0.50188,0.6342525399129173,0.00,0.21051300692227454,0,1.975828752689896,0.02103574293609056,0.03773657634370265,65.74576271186442,6.114679802955665,1.3830109635439878,12.322150962012827,16.250487963565387,5.569894366197183,1.1131562527854533,0.09300492610837438,0.00,0.01912317855675317,0.019496004124774428,0.11921182266009851,22.940298507462686,,50.188,0.437,310320000,15.37,44.91,-1.34,4.9,4.72,6.05,0.67,224.38,-20.29,Leisure&Rec Products,27.17,,50.75,66.6,0.6342525399129173
BHS GR Equity     ,Xetra,CURANUM AG,Phys Therapy/Rehab Cntrs,1.2436050000000005,2.1765498426023084,120.582,144.942,144.52200000000002,0.42,47.23,24.36,23.29,189.5,0.5299999999999998,6.83,9.57,4.053605,2.28,2.8099999999999996,0.4065,3.55,0.67529,0.4586357039187228,0.1266,0.002897710808461315,1.5070422535211268,0.6932101179073934,0.018733509234828496,0.021391055408970978,33.966760563380284,5.1774151996565045,0.6363166226912929,15.101567398119125,21.159882869692535,3.0418048268625397,0.7626490765171505,0.15242593387720052,0.08582691086174042,0.1680672268907563,0.20202020202020202,1.0459424645770716,2.52029520295203,12.66,67.529,0.316,120582000,6.83,40.65,-3.27,2.74,3.55,24.36,2.71,189.5,-2.28,Phys Therapy/Rehab Cntrs,,-5.35,23.29,0.42,0.4586357039187228
CEU GR Equity     ,Frankfurt,CURTIS 1000 EUROPE AG,Paper&Related Products,39.49816,32.367576298411564,13.59,33.370000000000005,22.690000000000005,10.68,45.35,19.78,36.25,84.34,-11.74,25.4,39.21,24.64816,-3.11,-14.85,0.0296,22.76,0.53103,0.00,0.4292,0.3200479472580161,0,-0.602479049146062,0.2698600901114536,0.2922475693621058,0.5971001757469244,0.37489655172413794,0.1611335072326298,0.5786789084417242,0.8933070866141735,0.5955737997501339,0.26903011619634815,0.6278620689655173,0.543509592061742,0.5927479772250523,1.4554819720382635,0.5456551724137931,17.762237762237763,42.92,53.103,-0.085,13590000,25.4,2.96,-2.07,13.81,22.76,19.78,1.43,84.34,3.11,Paper&Related Products,,,36.25,10.68,-0.12336719883889698
CQJ GR Equity     ,Frankfurt,CYBIO AG,Medical Instruments,-4,-4.140000000000001,10.96,10.96,9.3,1.66,7.6,0,9.26,12.1,-2.77,-8.65,-5.65,-8.65,-1.88,-4.65,0,-8.790000000000001,0.28872,0.8229317851959361,0.00,0.15145985401459852,0.00,0.00,-0.7132231404958679,-0.7148760330578513,0,1.183585313174946,0.9057851239669422,0,0,1.183585313174946,0.7685950413223142,-0.9492440604751621,-1,0,0,0,0.00,,28.872,0.567,10960000,-8.65,-3.83,-0.23,3,-8.63,0,0.14,12.1,1.88,Medical Instruments,,,9.26,1.66,0.8229317851959361
