Company Name,Exchange:Ticker,Geographic Region,Trailing PE,Expected growth rate,Emerging Market Dummy,ROE,Debt/Equity Ratio,Payout Ratio,"Market Capitalization [Latest] ($USDmm, Historical rate)"
Hormel Foods Corporation (NYSE:HRL),NYSE:HRL,United States and Canada,22.919641076769693,0.11,0,0.17,0.02175010005046023,0.337,11494.2
Kuala Lumpur Kepong Berhad (KLSE:KLK),KLSE:KLK,Asia / Pacific,23.013434579439256,0.042699999999999995,1,0.134,0.10285794055686692,0.64,7879.8
PT Charoen Pokphand Indonesia Tbk (JKSE:CPIN),JKSE:CPIN,Asia / Pacific,23.378930817610065,0.064,1,0.312,0.03379514425986953,0,5947.6
"Maeil Dairies Co., Ltd. (KOSE:A005990)",KOSE:A005990,Asia / Pacific,23.5219298245614,0.21,1,0.0704,0.25321648331157937,0.060700000000000004,536.3
Uni-President Enterprises Corporation (TSEC:1216),TSEC:1216,Asia / Pacific,23.643802647412755,0.147,1,0.162,0.38700122149837135,0.364,9824
Tata Global Beverages Limited (BSE:500800),BSE:500800,Asia / Pacific,23.87426900584795,0.157,1,NA,0.15664421310471527,0,1633
JBS S.A. (BOVESPA:JBSS3),BOVESPA:JBSS3,Latin America and Caribbean,23.997783196630458,0.287,1,0.0504,0.9239289079387367,0.17,10825.4
Kellogg Company (NYSE:K),NYSE:K,United States and Canada,24.232665964172813,0.0747,0,0.39799999999999996,0.343613024420789,0.67,22996.8
Uni-President China Holdings Ltd (SEHK:220),SEHK:220,Asia / Pacific,24.58327803583278,0.226,1,0.121,0.17194374713202148,0.185,3704.7
"Shandong Homey Aquatic Development Co.,Ltd. (SHSE:600467)",SHSE:600467,Asia / Pacific,24.707903780068726,0.21,1,0.057999999999999996,0.15632823365785814,0.622,719
AarhusKarlshamn AB (OM:AAK),OM:AAK,Europe,24.714568880079284,0.14400000000000002,0,0.18,0.1792116132654289,0.601,2493.7
QL Resources Berhad (KLSE:QL),KLSE:QL,Asia / Pacific,24.738317757009348,0.16399999999999998,1,0.147,0.2526445032111825,0.27699999999999997,1058.8
IJM Plantations Berhad (KLSE:IJMPLNT),KLSE:IJMPLNT,Asia / Pacific,24.927672955974845,0.179,1,0.07400000000000001,0.2090324208401665,0.797,792.7
Asian Citrus Holdings Limited (AIM:ACHL),AIM:ACHL,Asia / Pacific,24.930107526881716,0.174,1,0.0152,0.0003299547120983394,1.237,463.7
Mayora Indah PT (JKSE:MYOR),JKSE:MYOR,Asia / Pacific,24.964747356051706,0.183,1,0.27899999999999997,0.18493763238409036,0.126,2124.5
"Mondelez International, Inc. (NasdaqGS:MDLZ)",NasdaqGS:MDLZ,United States and Canada,25.222362869198314,0.125,0,0.056900000000000006,0.3259782190474597,0.632,59777
"Cal-Maine Foods, Inc. (NasdaqGS:CALM)",NasdaqGS:CALM,United States and Canada,25.3574297188755,0.17,0,0.09910000000000001,0.051472917326575864,0.363,1262.8
Eurogerm S.A (ENXTPA:ALGEM),ENXTPA:ALGEM,Europe,25.37091988130564,0.098,0,0.092,0.11590643274853801,0.336,85.5
J&J Snack Foods Corp. (NasdaqGS:JJSF),NasdaqGS:JJSF,United States and Canada,25.61949685534591,0.1,0,0.131,0.00042162759297901067,0.172,1629.4
Mead Johnson Nutrition Company (NYSE:MJN),NYSE:MJN,United States and Canada,25.942585249801745,0.1,0,3.677,0.1045559033551795,0.41200000000000003,16356.8
"Qiaqia Food Co., Ltd. (SZSE:002557)",SZSE:002557,Asia / Pacific,25.966442953020135,0.131,1,NA,0.012406306539157405,0.6970000000000001,1160.7
Bega Cheese Limited (ASX:BGA),ASX:BGA,Asia / Pacific,26.00429184549356,0.14,1,0.1,0.16751939263904936,0.41700000000000004,605.9
Agro Tech Foods Limited (BSE:500215),BSE:500215,Asia / Pacific,26.16580310880829,0.12,1,0.185,0,0.10099999999999999,202
Universal Robina Corporation (PSE:URC),PSE:URC,Asia / Pacific,26.173212071103762,0.19,1,0.20800000000000002,0.05689194952063557,0.423,6331.3
PT Indofood CBP Sukses Makmur Tbk (JKSE:ICBP),JKSE:ICBP,Asia / Pacific,26.24675885911841,0.114,1,0.20800000000000002,0.021585576685601383,0.429,6073.5
"Guangdong Haid Group Co., Limited (SZSE:002311)",SZSE:002311,Asia / Pacific,26.527397260273972,0.295,1,0.16,0.16152853085463464,0.396,1936.5
Amira Nature Foods Ltd. (NYSE:ANFI),NYSE:ANFI,Africa / Middle East,26.612021857923498,0.248,1,0.26899999999999996,0.3342915811088296,0,487
TSH Resources Berhad (KLSE:TSH),KLSE:TSH,Asia / Pacific,27.10486891385768,0.011000000000000001,1,0.0894,0.4409285615586569,0.33899999999999997,723.7
Del Monte Pacific Ltd. (SGX:D03),SGX:D03,Asia / Pacific,27.685897435897434,0.22899999999999998,1,0.132,0.1634637647603612,0.78,863.8
Calavo Growers Inc. (NasdaqGS:CVGW),NasdaqGS:CVGW,United States and Canada,27.965714285714284,0.13,0,0.149,0.07887208827135268,0.552,489.4
"Angel Yeast Co., Ltd (SHSE:600298)",SHSE:600298,Asia / Pacific,28.013513513513512,0.13,1,0.07780000000000001,0.3936324167872648,0.6759999999999999,829.2
Kikkoman Corp. (TSE:2801),TSE:2801,Asia / Pacific,28.123630672926446,0.141,1,0.0728,0.27497078626676313,0.243,3594.2
Marine Harvest ASA (OB:MHG),OB:MHG,Europe,28.48185231539424,0.8690000000000001,0,0.08460000000000001,0.24335369336907325,0.35700000000000004,4551.4
The Hershey Company (NYSE:HSY),NYSE:HSY,United States and Canada,28.497386204258575,0.11,0,0.6679999999999999,0.08531800183441086,0,22350.5
"Meihua Holdings Group Co., Ltd. (SHSE:600873)",SHSE:600873,Asia / Pacific,28.694845360824743,0.036000000000000004,1,0.0901,0.5191851692175037,0.7959999999999999,2783.4
Henan Shuanghui Investment & Development Co. Ltd. (SZSE:000895),SZSE:000895,Asia / Pacific,29.04030444559765,0.515,1,NA,0.0036215913558332634,0.379,16788.2
