Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months),Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [Latest] (mm),Forward Revenues (Expected revenues in next 4 quarters),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Exp. [LTM] ($USDmm, Historical rate)","Basic EPS  [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
Taiwan Semiconductor Manufacturing Company Limited (TSEC:2330),1987,102420.3,0.5644,0.708,25928.6,23219.5,0.14800000000000002,19984.1,4932.6,4022.9,1610.6,0.243,185.3,-1566.2,19984.1,0.1
BASF SE (DB:BAS),1865,100891.3,0.3042,1.09,918.5,96556.4,0.182,101870.1,2171.5,16968.8,2527,7.26,460,1085.2,101870.1,0.0667
L'Oreal SA (ENXTPA:OR),1909,97899.9,0.1182,0.513,599.1,31746.5,0.0709,31641.7,2403.8,327,1180.2,6.82,343.6,321,31641.7,0.0625
McDonald's Corp. (NYSE:MCD),1940,97087.5,0.6522,0.605,989.9,29060,0.14300000000000002,28105.7,2336.1,13632.5,0,5.6,7631.9,-97.3,28105.7,0.0667
SAP AG (DB:SAP),1972,96050.3,0.3997,0.754,1193.7,24559.8,0.11900000000000001,23156.4,3265.9,6559.4,3142.6,3.84,561.9,433.8,23156.4,0.12
Industria de Diseno Textil SA (CATS:ITX),1963,94134.8,0.1677,0.829,622.9,24935.6,0.182,22574.7,5219.6,9.16,0,5.15,0,188.4,22574.7,0.3333
Saudi Basic Industries Corporation (SASE:2010),1976,93592.4,0.0017399999999999998,0.201,3000,53324.8,0.142,50403,9821.7,25664.6,439.8,2.25,0,-2119.3,50403,0.22219999999999998
LVMH Moet Hennessy Louis Vuitton SA (ENXTPA:MC),NA,93270.7,0.1893,0.885,500.4,43443.3,0.16899999999999998,40141.8,2895.4,8993.3,99.2,9.46,2580.7,376,40141.8,0.43329999999999996
Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4),1953,92826.4,0.3105,0.918,13044.5,153606.6,0.0429,129092.2,13486.9,95833,1149.5,0.765,13111.6,-644,129092.2,0.2143
The Boeing Company (NYSE:BA),1916,92293.7,0.6968000000000001,1.04,743.4,90255.2,0.204,86623,10341,10409,3071,6.03,650,-322,86623,0.23079999999999998
Eni SpA (BIT:ENI),1953,90586.8,0.29719999999999996,1.01,3620.2,156865.6,-0.007189999999999999,158399.8,10238,32341,0,1.97,0,2725.3,158399.8,0.15
"United Parcel Service, Inc. (NYSE:UPS)",1907,89562.3,0.562,0.773,919.3,58003.1,0.042,55438,7327,12925,0,4.65,242,-4,55438,0.07690000000000001
Amgen Inc. (NasdaqGS:AMGN),1980,89250.3,0.8258,0.672,756.5,19613.9,0.08439999999999999,18676,3257,26529,4343,6.75,345,1072,18676,0.07690000000000001
3M Company (NYSE:MMM),1902,88698.8,0.7117,0.954,657.8,32391.6,0.06849999999999999,30871,2883,6072,1715,6.83,182,-403,30871,0.0833
Statoil ASA (OB:STL),1972,87735.9,0.1636,0.493,3177.2,108390.1,0.092,101996,11711,21446.3,0,2.07,4791.1,1103.1,101996,0
CVS Caremark Corporation (NYSE:CVS),1892,86279.2,0.8740000000000001,0.702,1179,133877.1,0.184,126761,1375,9828,0,3.77,16914,958,126761,0.11109999999999999
ConocoPhillips (NYSE:COP),1917,85913.1,0.6840999999999999,1.19,1226.1,59488.3,0.0682,56856,3618,24535,258,7.44,645,-5918,56856,0.1
Open Joint Stock Company Gazprom (MICEX:GAZP),1993,85577.8,0.1266,0.734,22934.5,157768.4,0.242,157026.6,15102.9,52312.6,402.9,1.64,0,10104.8,152766.1,0.3636
MasterCard Incorporated (NYSE:MA),1966,84861.4,0.8911,1.21,1186.5,9306.7,0,8346,2052,0,0,2.57,24,-746,8346,0.15380000000000002
SoftBank Corp. (TSE:9984),1981,84027.8,0.3122,0.723,1188.4,76620.6,0,52417.9,12277.8,30555.5,7.41,3.98,432.3,-1620.4,35865.7,0.4545
Union Pacific Corporation (NYSE:UNP),1862,83998.8,0.8416,0.924,453.2,23491.7,0.107,21963,1063,8997,0,9.47,1907,-156,21963,0.1429
SABMiller plc (LSE:SAB),1895,83850.9,0.4139,0.793,1598.2,18603.7,0.226,17191,780,18621,4,2.14,124,547,17458,0.125
Ecopetrol SA (BVC:ECOPETROL),1948,83009.5,0.032799999999999996,0.297,41116.7,38422.7,0.235,36485.9,4492.6,7754.4,0,0.165,0,2215.7,36485.9,0.1429
Bristol-Myers Squibb Company (NYSE:BMY),1887,81291,0.6984,0.79,1657,15550.1,-0.019,16385,1656,7394,3715,1.56,73,3071,16385,0.1818
Bayerische Motoren Werke Aktiengesellschaft (DB:BMW),1916,81009.2,0.2606,1.21,656.3,110610.3,0.106,104741.4,9984.8,89283.4,7141.8,11.2,808.4,988.8,104741.4,0.05
UnitedHealth Group Incorporated (NYSE:UNH),1974,79788.2,0.8992,0.58,989.2,130492.8,0.11900000000000001,122489,8406,16765,0,5.59,544,-1035,122489,0.3333
Diageo plc (LSE:DGE),1886,79005.5,0.7554000000000001,0.487,2511.1,18903.2,0.0623,18868.5,1150.8,14158.5,34.8,1.69,421,415.8,17376.7,0.22219999999999998
AbbVie Inc. (NYSE:ABBV),2012,78366.1,0.7015,1.15,1596.1,19129.7,0,18790,5901,15672,2855,2.58,530,-139,18790,0.11109999999999999
China Petroleum & Chemical Corp. (SEHK:386),2000,75961,0.1752,0.776,89665.5,499307.7,0.114,475668.8,1677.4,44614.9,1087.2,0.094,50754.5,-1123.7,475668.8,0.3333
Altria Group Inc. (NYSE:MO),1919,75324.6,0.5992999999999999,0.744,1988,18369.5,-0.0683,17663,2900,13878,153,2.26,90,-317,17663,0.0909
Occidental Petroleum Corporation (NYSE:OXY),1920,75020.8,0.8229000000000001,1.3,790.1,24855.4,0.145,24455,1592,7623,0,7.33,589,-1714,24455,0.0909
Electricite de France SA (ENXTPA:EDF),1946,74145.6,0.0463,1.03,1858.3,104071.8,0.152,104102.5,7744.7,79019.1,747.8,2.54,2243.3,-1096.2,104102.5,0.0556
"Twenty-First Century Fox, Inc. (NasdaqGS:FOXA)",NA,73272.3,0.7398,1.08,2281.8,32323.1,0.106,29789,7806,16457,0,2.14,1502,-175,27675,0.3889
Honeywell International Inc. (NYSE:HON),1920,71919.9,0.8339,1.12,782,40839.3,0.115,39055,4634,7496,2773,4.99,264,562,39055,0.0833
America Movil S.A.B. de C.V. (BMV:AMX L),2000,71769.3,0.47100000000000003,0.45,69578,61065.5,0.16399999999999998,60065,3504,32366.5,0,0.081,0,458.6,60065,0.11109999999999999
Tata Consultancy Services Limited (BSE:532540),1968,70071.6,0.13449999999999998,0.343,1958.7,15231.8,0,12404.1,1238,93.3,26.2,1.44,187.3,422.8,11601.3,0.0909
H & M Hennes & Mauritz AB (publ) (OM:HM B),1947,70043.1,0.2571,0.683,1655.1,22630.4,0.10400000000000001,20633.4,1853.2,0,0,1.63,3181.5,-108.7,19635.1,0
Deutsche Telekom AG (DB:DTE),1995,69465.9,0.40130000000000005,0.605,4411.2,83517.1,-0.0766,82809.3,5308.2,58822.6,1503.8,0.293,8945.8,2914,82809.3,0.1
eBay Inc. (NasdaqGS:EBAY),1995,69433.8,0.8561,1,1267,18252.1,0.205,16047,6817,4519,1996,2.21,53,146,16047,0.16670000000000001
Open Joint Stock Company Rosneft Oil Company (LSE:ROSN),1993,68431.3,0.13369999999999999,0.798,10598,154087.9,0.457,138359.2,9790.1,32448.2,0,1.61,4961,3500.1,138359.2,0.1
Biogen Idec Inc. (NasdaqGS:BIIB),1985,67589.8,0.9372,1.1,236.4,8619.4,0,6932.2,570.7,1140.8,1455.8,7.86,384.4,-127.2,6932.2,0.0833
Enterprise Products Partners L.P. (NYSE:EPD),1968,66479.3,0.2964,0.748,935.7,53060.5,0.41,47727,16.1,16394.4,0,2.91,144.9,54.5,47727,0.2143
Caterpillar Inc. (NYSE:CAT),1925,65306.6,0.6468,1.13,637.8,55665.4,0.132,55656,3306,40152,2046,5.87,229,-3949,55656,0.0833
BG Group plc (LSE:BG.),1997,64443.4,0.7419,0.997,3409.5,20110,0.0665,19192,4434,15507,76,0.718,0,-279,19192,0.1429
"NTT DOCOMO, Inc. (TSE:9437)",1991,64229.4,0.0824,0.538,4146.8,45310,-0.016,42443.1,3935.7,2961.5,1058.4,1.17,188.1,1872.9,47456,0.4194
Ford Motor Co. (NYSE:F),1903,63635.4,0.5656,1.27,3952.5,140495.8,0.405,146917,6247,105431,6400,1.82,152,5283,146917,0.2632
Eli Lilly and Company (NYSE:LLY),1876,62492.9,0.6742,0.739,1066.8,19699.3,0.0623,23113.1,4018.8,5531.3,5531.3,4.33,117.9,806.5,23113.1,0.11109999999999999
Las Vegas Sands Corp. (NYSE:LVS),1988,62242.6,0.4171,1.66,812.6,16059.4,0.506,13769.9,2512.8,10230.1,0,2.8,262.1,-276.8,13769.9,0.2
The Priceline Group Inc. (NasdaqGS:PCLN),1997,61920.7,0.9712999999999999,1.45,52.1,8487.9,0.66,6793.3,1536.3,1457,0,37.2,109.5,-59.4,6793.3,0.0909
Hewlett-Packard Company (NYSE:HPQ),1939,61496.7,0.7916,0.962,1895.1,110703.8,0.0678,112093,12589,28246,3152,2.76,735,-1516,112298,0.07139999999999999
Sands China Ltd. (SEHK:1928),2009,61251.6,0.1591,0.759,8064.2,11165.8,0,8907.9,1948.4,3260.6,0,0.275,0,-185.5,8907.9,0.3077
E. I. du Pont de Nemours and Company (NYSE:DD),1802,61198.1,0.6831999999999999,1.16,916.3,37161.9,0.174,35935,4284,11740,2153,5.23,347,-981,35935,0.24
"Medtronic, Inc. (NYSE:MDT)",1949,61049.7,0.8089,0.87,1000.8,17498.3,0.0669,16900,1298,11492,1501,3.57,27,-138,16590,0.0909
"Honda Motor Co., Ltd. (TSE:7267)",1946,61005.1,0.4188,1.08,1802.3,125720.3,-0.005580000000000001,109274,13393.9,52988.1,5762.3,2.53,0,2567,104867,0.75
Walgreen Co. (NYSE:WAG),1901,60905.4,0.6545000000000001,0.958,954.3,77318.4,0.0816,74188,2431,6525,100,2.88,23507,68,72217,0.07139999999999999
Colgate-Palmolive Co. (NYSE:CL),1806,60160.3,0.7397,0.639,916.7,17738.2,0.0466,17420,884,5230,267,2.41,349,3,17420,0.1
ABB Ltd. (SWX:ABBN),1883,59540.2,0.324,1.04,2300.7,42250.9,0,41848,6875,10073,1585,1.21,248,649,41848,0
Monsanto Company (NYSE:MON),2000,59178.9,0.885,0.819,524.2,16212.5,0,15425,4385,2206,1640,5.1,127,486,14861,0.16670000000000001
Nippon Telegraph and Telephone Corporation (TSE:9432),1952,58883.9,0.1582,0.373,1136.6,107033.9,-0.00477,102750.4,10487.1,50327.9,3710.8,4.58,180.6,3071.6,113602,0.5294
"Mondelez International, Inc. (NasdaqGS:MDLZ)",2000,58779.4,0.8099,0.584,1698.8,36039.3,0.012,35299,4475,19486,471,2.21,136,-1571,35299,0.0833
Telstra Corporation Limited (ASX:TLS),1901,58492.1,0.11810000000000001,0.294,12416.2,23480,-0.013600000000000001,23353.8,2683.9,15048.5,914.9,0.284,1075.7,1923.7,23507.1,0.1
Time Warner Inc. (NYSE:TWX),1985,58255.1,0.8748,1.01,892.7,28736.8,0.0334,29795,2841,19871,0,4,277,1292,29795,0.15380000000000002
The Dow Chemical Company (NYSE:DOW),1897,58139.9,0.6601,1.28,1209.5,58920.2,0.107,57080,4172,20993,1747,3.72,1580,-734,57080,0.11109999999999999
Abbott Laboratories (NYSE:ABT),1888,58050.3,0.7044,0.038,1543.1,22540.7,-0.0066300000000000005,21848,10802,20476,1452,1.64,138,-445,21848,0.0909
Japan Tobacco Inc. (TSE:2914),1985,57318.9,0.264,0.527,1817.5,21974.2,0.544,21794.3,3971.5,4335.3,414.3,2.28,194.6,836.3,22508.6,0.3846
Reckitt Benckiser Group plc (LSE:RB.),1823,57242.9,0.7297,0.373,720.3,16661.9,0.135,16637.1,1441.7,5321.4,329.7,4.01,0,-621.2,16637.1,0.2
Hutchison Whampoa Limited (SEHK:13),NA,56903,0.145,0.655,4263.4,35106.6,0.10300000000000001,33046.5,13927.5,34457.2,0,0.941,0,72,33046.5,0.4375
Express Scripts Holding Company (NasdaqGS:ESRX),1986,56434,0.9035,0.975,775.5,99178,0.221,104098.8,2793.1,15915,205,2.28,85.5,-992.6,104098.8,0.0833
Celgene Corporation (NasdaqGS:CELG),1980,56120.1,0.8484,1.12,406,7582.9,0.49700000000000005,6493.9,2090.4,3094.2,2226.2,3.5,44.6,211.1,6493.9,0.11109999999999999
EMC Corporation (NYSE:EMC),1979,55510.1,0.8619,1.19,2027.4,24505.6,0.193,23222,4714,1710,3188,1.39,679,-781,23222,0.07139999999999999
Airbus Group (ENXTPA:AIR),2000,55334,0.4322,0.468,780.8,83530.9,0.217,81603,11544.6,6301,4504.6,2.55,280.9,4276,81603,0.15380000000000002
Compagnie Financiere Richemont SA (SWX:CFR),1988,55262.1,0.2507,1.01,574.2,15282.4,0.146,14032.6,3124.6,2000.9,100.2,5.18,629.1,426.3,13005.3,0.15789999999999998
General Motors Company (NYSE:GM),1908,55114.2,0.9076000000000001,1.49,1596.1,159056.4,0,155427,17133,16050,7200,2.71,499,103,155427,0.15380000000000002
Starbucks Corporation (NasdaqGS:SBUX),1985,54031.7,0.7543000000000001,0.836,755.9,17060.1,-0.0901,15338.6,1852.1,549.6,0,0.155,1242.5,-461.8,14892.2,0.16670000000000001
"EOG Resources, Inc. (NYSE:EOG)",1985,53920.9,0.8656,1.43,546.3,14529.8,0.177,14455.9,876.4,6316.2,0,4.07,157.6,-296.3,14455.9,0.125
Suncor Energy Inc. (TSX:SU),1953,53663.9,0.6338,1.59,1471.1,38055.4,0.13699999999999998,37268.9,4399.3,11059.9,0,2.45,1791.3,-1025.1,37268.9,0.2857
"Baidu, Inc. (NasdaqGS:BIDU)",2000,52891,0.6595,1.33,350.4,7612.2,0,5276.5,1906,1915.7,683.6,4.95,30.6,-363,5276.5,0.16670000000000001
Danaher Corp. (NYSE:DHR),1969,51770,0.7961,1.03,699.3,20121.8,0.175,19118,1678.7,5343.1,1249.9,3.87,82,-225.1,19118,0.1
