Company Name,Exchange:Ticker,Company Type,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Debt [Latest Annual] ($USDmm, Historical rate)",Return on Equity % [LTM],Payout Ratio [LTM] (%),2 Year Beta [Latest],"Basic EPS [LTM] ($USD, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)",Weighted Avg Shares Outstanding [LTM],Weighted Avg. Diluted Shares Out. [LTM],Geographic Region,"Day Close Price [Latest] ($USD, Historical rate)"
Cocoaland Holdings Bhd (KLSE:COCOLND),KLSE:COCOLND,Public Company,Food Products (Primary),120.4,5.46,13,0,8.67,62.2,0.099,0.032,0.032,171.6,171.6,Asia / Pacific,0.702
Lotte Confectionery Co. Ltd. (KOSE:A004990),KOSE:A004990,Public Company,Food Products (Primary),2399.6,60.7,12.6,313.8,2.5,11.7,0.821,43.2,43.2,1.41,1.41,Asia / Pacific,1705.02
"Mondelez International, Inc. (NasdaqGS:MDLZ)",NasdaqGS:MDLZ,Public Company,Food Products (Primary),59777,2370,12.5,19486,5.69,63.2,0.481,1.33,1.07,1782.5,1796.5,United States and Canada,33.57
"Saputo, Inc. (TSX:SAP)",TSX:SAP,Public Company,Food Products (Primary),9631.5,471.5,12.5,1705.8,21.6,32.5,0.48,2.39,2.39,197,199.7,United States and Canada,49.57
"Snyder's-Lance, Inc. (NasdaqGS:LNCE)",NasdaqGS:LNCE,Public Company,Food Products (Primary),2082,58.4,12.5,536.6,6.7,75.6,0.85,0.847,0.847,68.9,69.6,United States and Canada,30
Tiger Brands Limited (JSE:TBS),JSE:TBS,Public Company,Food Products (Primary),4811.8,297.8,12.4,186.8,23.5,50.8,0.519,1.87,1.87,159.5,162.3,Africa / Middle East,30.1
Agro Tech Foods Limited (BSE:500215),BSE:500215,Public Company,Food Products (Primary),202,7.72,12,0,18.5,10.1,0.471,0.317,0.317,24.4,24.4,Asia / Pacific,8.29
Pinnacle Foods Inc. (NYSE:PF),NYSE:PF,Public Company,Food Products (Primary),3263.9,46.5,11.5,2612.8,3.93,0,-0.323,0.522,0.522,89.2,94.4,United States and Canada,27.86
First Resources Ltd. (SGX:EB5),SGX:EB5,Public Company,Food Products (Primary),2417.5,238.6,11.5,538.2,22,21.6,0.192,0.151,0.151,1584.3,1584.3,Asia / Pacific,1.53
PT Indofood CBP Sukses Makmur Tbk (JKSE:ICBP),JKSE:ICBP,Public Company,Food Products (Primary),6073.5,231.4,11.4,131.1,20.8,42.9,0.554,0.04,0.04,5831,5831,Asia / Pacific,1.04
