Company,Power,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Hess,1,B,0.1316,0.3229,130,85.82
Hour Glass,0,B,0.3125,0.2357,4.63,0.69
Hugo Boss,1,B,0.18,0.5674,285.444769,24.147043999999998
Humana,1,B,0.0692,0.3053,45.8,46.32
Intuit ,0,B,0.1292,0.1464,682.2,30.94
ISRG,1,B,0.1185,0.9994,0,182.54
J.Crew,1,B,0.163248234571614,0.344011140900332,0.15,10.63398726588813
J.Crew,0,B,0.1824,0.3077,0,24.33
J.Crew,2,B,0.3683,0.2562,540000,24.06
JB Hunt,0,B,0.3792,0.1829,218.43,61.16
John Deere,2,B,0.1054,0.5067,448.1,49.03
Johnson & Johnson,0,B,0.1994,0.0752,8617,61.19
Johnson & Johnson,2,B,0.21426650427938201,0.08268052437537478,8617,65.1926309764667
Kangwon land,0,B,0.114,0.0061,75.7510666666667,24.99
Kellogg's (NYSE K),1,B,0.379,0.273,740,63
Kraft,2,B,0.0408,0.3808,1663,23.46
Kraft,0,B,-0.0282,0.3402,2440,27.42
Krispy Kreme,0,B,-0.1628,0.298,0,1.72
Kyoto Kimono ,2,B,0.0378,0.0247,7.7,1067
Lionsgate*,2,B,-0.0521,0.1221,4.46,5.09
LMT,1,B,0.1907,0.153,3668,116.15
Lockheed Martin,2,B,0.415,0.1319,2382,136.47
L'Oreal SA (EPA OR),1,B,0.0638,0.1313,991.61,54.28
LTM,1,B,0.0221,0.53,0,46.55
LUKoil,0,B,0.1115,0.2247,1471.6,91.27
LVMH Louis Vuitton Moet Hennessy,1,B,0.185,0.2101,783.9,84.36
MANT,0,B,0.021100000000000008,0.1089,0,40.02
Marriott,1,B,0.1728,0.4602,1303,31.91
Marvel,2,B,0.44,0.0995,174.5,40.71
Marvel,0,B,0.6122,0.1061,0,36.71
Marvel Entertainment,1,B,0.45,0.09526110205786255,0,45.02
"MasTec, Inc.",0,B,0.0157,0.2629879767887168,0,20.94
McDonalds,1,B,0.21469044640933818,0.2192,5742.7,85.69
McDonalds,2,B,0.3683,0.2311,2511.63,47.49
McDonald's,0,B,0.1931,0.2237,3797.44,52.94
McDonald's,1,B,0.1891,0.1828,3797.44,45.48
McKesson,0,B,0.0835,0.1848,834,72.29
Medco,1,B,0.0834,0.1688,1140.6,41.33
Medtronic,2,R,0.14949715162278016,0.17136755382868074,772,67.02
Medtronic,0,B,0.1241,0.1635,1054.72,64.52
Merck,2,B,0.060219669625967726,0.18928218806779076,834,73.49534711910596
Microsoft,1,B,0.4238,0.0101,16769,29.31
Molson,0,B,-0.0215,0.2313,118.6,45.09
Molson Coors Brewing Company,0,B,-0.0004,0.2396,90.251,35.96
Monsanto,2,B,0.1649,0.0543,491,117.1
National Bev. Corp. (FIZZ),0,B,0.0556,0.0318,13,9.56
National Beverage Corp,0,B,0.0696,0,0,11.45
National Beverage Corp.,0,B,0.0788,0.0211,11.4,10.47
National Beverage Corporation,0,B,0.069,0.001,11.5,14.65
Netflix,0,B,0.066,0.0473,45.2,33.37
Netflix,1,B,0.07474,0.0135,4.31,40.62
Netflix,0,B,0.0861,0.0362,0,43.64
Netflix,1,B,0.209,0.109,0,42.11
Netflix,0,B,0.1057,0.4533,0,15.38
Netflix,2,B,0.1288,0.0326,0,67.93
Netflix,2,B,0.13,0.0377,39.9,49.64
Netflix,1,B,0.0837,0.0322,0,62.36
New Oriental Education and Techonolgy Group,0,B,0.1114,0.03,0,58.05
Newmont Mining Corp.,1,B,0.0248,0.1111,181,42.56
News Corp,0,B,-0.01,0.0169,1282,9.55
NewsCorp,1,B,0.072,0.455,1282,9.07
NIKE,1,B,0.1903,0.0789,762.57,56.94
Nike,0,B,0.1769,0.2075,212.91,51.35
Nike,1,B,0.1066,0.0726,1299,70.59
Nike Inc.,0,B,0.177,0.0769,412.9,83.41
Nintendo,0,B,0.1213,0.001583661021332087,66064.33333333333,41832.44178333566
Nokia,2,B,0.117,0.1153,5137,12.15
NORFOLK SO CP,1,B,0.0639,0.3683004303106831,565.6,58.48
Novartis,0,B,0.0462,0.0495,4848,46.23
Ormat Technologies,0,B,-0.03119999999999999,0.2394,7.25,32.41
OVERSEAS SHIPHDLG,2,B,0.076,0.763076688596117,115,50.86
Panera Bread,4,B,0.0284,0.237,7.73,56.93
Penn National,0,B,-0.0399,0.3891,15.24,30.02
Pepsi Co,2,B,0.3749,0.1071,5526000000,77.28
Pepsico,1,B,0.1073,0.1352,7267,48.37
Petrobras,1,B,0.1602,0.43,4170.09,101.42
Petrobras,0,R,0.17784392120105755,0.2044,4747,44.69885380792592
Petrobras,0,B,0.14590000000000003,0.2002,2683,98
Petrobras,1,BBB,0.0964,0.15282954930532022,5578.585,72.6
PF Chang,1,B,-0.0469,0.3675,10,8.78
PF Chang,0,B,0.0008,0.3554,10.64,30.14
Pfizer,1,B,0.06,0.1577,9041,14.07
Pfizer,0,B,0.06750327768800937,0.14914134061082984,4353,23.54
Pfizer,1,B,0.030113533803389575,0.1585,10208.6,21.56
Pfizer,2,B,0.036156465143633354,0.16454871640392474,12400,14.998608355390706
PG&E Corporation,2,B,0.078,0.4391,341.2,61.29
Philip Morris International,2,B,0.526,0.1222,7316,53.76
Playboy,0,B,-1.847,0.6814,0,8.08
