Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
Total Gabon (ENXTPA:EC),ENXTPA:EC,Energy (Primary),1426.2,360.7,920.4,276.4,-3.3,2341,
"Western Refining Logistics, LP (NYSE:WNRL)",NYSE:WNRL,Energy (Primary),1411.3,269,92,74.7,-2.37,-27.1,B
"Exterran Partners, L.P. (NasdaqGS:EXLP)",NasdaqGS:EXLP,Energy (Primary),1407.8,1305.4,262.5,134.3,-57.8,663.8,B+
Ship Finance International Limited (NYSE:SFL),NYSE:SFL,Energy (Primary),1406.7,1732.5,155.4,88,-74.8,1153.5,NR
"Linn Co, LLC (NasdaqGS:LNCO)",NasdaqGS:LNCO,Energy (Primary),1397.3,0,,-2.82,,1298.6,
UMW Oil & Gas Corporation Berhad (KLSE:UMWOG),KLSE:UMWOG,Energy (Primary),1391.6,644.9,117.8,79.9,-7.33,915.6,
Slavneft-Megionneftegaz (MICEX:MFGS),MICEX:MFGS,Energy (Primary),1388.9,477.5,673.4,443.2,-27.7,2951.3,
"Sino Geophysical Co., Ltd. (SZSE:300191)",SZSE:300191,Energy (Primary),1368.3,0,6.65,5.52,,195.2,
Eclipse Resources Corporation (NYSE:ECR),NYSE:ECR,Energy (Primary),1364.1,414,64,-66.6,-48.3,1152.7,
Forte Oil Plc (NGSE:FO),NGSE:FO,Energy (Primary),1356.5,223.4,52.9,42.2,-22.9,67.7,
"Cangzhou Mingzhu Plastic Co., Ltd. (SZSE:002108)",SZSE:002108,Energy (Primary),1351.3,123.2,43.9,35.2,,197.3,
"Bonanza Creek Energy, Inc. (NYSE:BCEI)",NYSE:BCEI,Energy (Primary),1340.9,840.6,470.5,74.1,-46.4,740.1,B
BP Prudhoe Bay Royalty Trust (NYSE:BPT),NYSE:BPT,Energy (Primary),1328.7,0,,226.8,,0.833,
Ensign Energy Services Inc. (TSX:ESI),TSX:ESI,Energy (Primary),1301.4,679,475.9,217.8,-18.6,1766.1,
SEACOR Holdings Inc. (NYSE:CKH),NYSE:CKH,Energy (Primary),1297.8,883.4,245,113.3,-43.8,1399.5,BB-
Liquefied Natural Gas Limited (ASX:LNG),ASX:LNG,Energy (Primary),1295,0.011,-38.5,-38.6,-0.002,50.3,
Frontline 2012 Ltd. (OTCNO:FRNT),OTCNO:FRNT,Energy (Primary),1286.8,881.1,89.9,51.7,-8.41,1058.6,
Synergy Resources Corporation (AMEX:SYRG),AMEX:SYRG,Energy (Primary),1280.6,77,111,67.2,0,313.7,
Bourbon (ENXTPA:GBB),ENXTPA:GBB,Energy (Primary),1272.1,2058.8,456.9,85.3,-10.9,1967,
Martin Midstream Partners LP (NasdaqGS:MMLP),NasdaqGS:MMLP,Energy (Primary),1270.5,910.6,141.5,72.7,-43,498.7,B+
Overseas Shipholding Group Inc. (AMEX:OSGB),AMEX:OSGB,Energy (Primary),1259.4,1668.7,226.5,105,-232.5,1286.1,B
"Vanguard Natural Resources, LLC (NasdaqGS:VNR)",NasdaqGS:VNR,Energy (Primary),1251,1932.8,562.8,335.9,-71.7,1198.7,B+
"Qitaihe Baotailong Coal & Coal Chemicals Public Co., Ltd. (SHSE:601011)",SHSE:601011,Energy (Primary),1242.7,340,64.1,37.6,-23.5,468.8,
Ezion Holdings Limited (SGX:5ME),SGX:5ME,Energy (Primary),1242.4,1496,282.3,179.5,-22.5,1289.2,
Inner Mongolia PingZhuang Energy Co Ltd. (SZSE:000780),SZSE:000780,Energy (Primary),1242.2,0,42,5.38,-0.027,777.9,
"ShanDong SunWay Petrochemical Engineering Co., Ltd. (SZSE:002469)",SZSE:002469,Energy (Primary),1239,0,31.5,29.9,,180.3,
Det Norske Oljeselskap ASA (OB:DETNOR),OB:DETNOR,Energy (Primary),1228.1,2296.1,214.4,1.81,-83.8,651.7,
