Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
Laugfs Gas PLC (COSE:LGL-X-0000),COSE:LGL-X-0000,Energy (Primary),109,26.1,14.7,11,-0.821,57.4,
SandRidge Mississippian Trust I (NYSE:SDT),NYSE:SDT,Energy (Primary),108.6,0,,34.3,,219.3,
Thai Agro Energy Public Company Limited (SET:TAE),SET:TAE,Energy (Primary),108.6,49.4,11.9,8.68,-1.74,48.9,
Misen Energy AB (publ) (OM:MISE),OM:MISE,Energy (Primary),108.3,27.1,74.4,70.5,-3.15,73.1,
Dawson Geophysical Company (NasdaqGM:DWSN),NasdaqGM:DWSN,Energy (Primary),108,11.7,11,-27.9,-0.372,199.5,
Eternal Energy Public Company Limited (SET:EE-R),SET:EE-R,Energy (Primary),106.6,0,-1.02,-1.03,,47.2,
Vantage Drilling Company (AMEX:VTG),AMEX:VTG,Energy (Primary),106.4,2728.2,420,293.3,-213.9,555.7,B-
EnviTec Biogas AG (DB:ETG),DB:ETG,Energy (Primary),106.2,134.8,25.4,6.36,-4.89,238.1,
Premiere Eastern Energy Limited (ASX:PEZ),ASX:PEZ,Energy (Primary),105.2,6.25,36.5,36.1,,136.9,
"Nuverra Environmental Solutions, Inc. (NYSE:NES)",NYSE:NES,Energy (Primary),104.9,597.3,93,7.16,-50.9,152.9,B-
Scomi Group Bhd (KLSE:SCOMI),KLSE:SCOMI,Energy (Primary),104.7,284,64.1,36.3,-16.5,178,
Mencast Holdings Ltd. (SGX:5NF),SGX:5NF,Energy (Primary),104.7,128.9,22.2,12.8,-3.92,95.3,
Eland Oil & Gas PLC (AIM:ELA),AIM:ELA,Energy (Primary),104.7,0,-26.6,-26.8,-0.011,232.7,
Orca Exploration Group Inc. (TSXV:ORC.B),TSXV:ORC.B,Energy (Primary),103.4,0,37.6,22.6,-0.116,128.9,
TH Heavy Engineering Berhad (KLSE:THHEAVY),KLSE:THHEAVY,Energy (Primary),102.4,98.7,-29.4,-33.1,-1.5,111,
New Source Energy Partners L.P. (NYSE:NSLP),NYSE:NSLP,Energy (Primary),102.3,120.2,69,14.3,-5.04,193.9,
Rock Energy Inc. (TSX:RE),TSX:RE,Energy (Primary),102.1,40.8,57.2,4.35,-0.717,88.9,
Logan International Inc. (TSX:LII),TSX:LII,Energy (Primary),102,49.3,33.1,19.4,-4.65,188.6,
Reliance Industrial Infrastructure Limited (NSEI:RIIL),NSEI:RIIL,Energy (Primary),101.4,0,3.68,3.48,,41,
Petroamerica Oil Corp. (TSXV:PTA),TSXV:PTA,Energy (Primary),101.3,30.7,117.5,68.2,-6.74,229.2,
SHS Holdings Ltd. (SGX:566),SGX:566,Energy (Primary),100.7,46.6,18.3,14.5,-0.947,113.8,
Lonestar Resources Limited (ASX:LNR),ASX:LNR,Energy (Primary),100.6,264.6,125.2,79.2,-20,207.7,
North American Energy Partners Inc. (NYSE:NOA),NYSE:NOA,Energy (Primary),100.2,111.5,52.6,17.3,-10.6,163.7,B
Uranerz Energy Corp. (AMEX:URZ),AMEX:URZ,Energy (Primary),99.7,19.3,-10.9,-11.2,-1.23,-5.95,
Whiting USA Trust II (NYSE:WHZ),NYSE:WHZ,Energy (Primary),99.2,0,,51.4,,57.8,
NWF Group plc (AIM:NWF),AIM:NWF,Energy (Primary),98.7,19.4,16.3,11,-1.25,51.8,
Jutal Offshore Oil Services Ltd. (SEHK:3303),SEHK:3303,Energy (Primary),98,37.1,10.7,7.5,-2.41,181.6,
"Hercules Offshore, Inc. (NasdaqGS:HERO)",NasdaqGS:HERO,Energy (Primary),96.8,1210.9,281.9,111,-99.1,615,CCC+
PT Atlas Resources Tbk (JKSE:ARII),JKSE:ARII,Energy (Primary),96.6,94.5,-14.1,-21.2,-2.24,112.2,
"Dakota Plains Holdings, Inc. (AMEX:DAKP)",AMEX:DAKP,Energy (Primary),95.6,48.5,8.31,3.98,-2.79,-3.78,
Peninsula Energy Limited (ASX:PEN),ASX:PEN,Energy (Primary),95,0.929,-4.8,-4.97,,117.9,
Sound Oil Plc (AIM:SOU),AIM:SOU,Energy (Primary),95,8.57,-4.12,-11.5,-0.871,25.5,
Philex Petroleum Corporation (PSE:PXP),PSE:PXP,Energy (Primary),93.2,0,-1.38,-10.4,-0.112,12.2,
Otto Energy Limited (ASX:OEL),ASX:OEL,Energy (Primary),92.8,0,40.7,24,-7.21,108.2,
Silk Holdings Berhad (KLSE:SILKHLD),KLSE:SILKHLD,Energy (Primary),92.5,460.1,51.2,27.5,-17,50.7,
"Unique Growing Solutions, Inc. (OTCPK:ALNE)",OTCPK:ALNE,Energy (Primary),92.4,0.14,,-0.461,-0.019,-0.292,
E.A. Technique (M) Berhad (KLSE:EATECH),KLSE:EATECH,Energy (Primary),92.2,94.9,15.6,8.43,-4.1,77.3,
Hans Energy Co. Ltd. (SEHK:554),SEHK:554,Energy (Primary),92,155.6,11.3,-4.72,-10.2,22.6,
Gulf Petroleum Investment Company - KSCC (KWSE:GPI),KWSE:GPI,Energy (Primary),91.7,31.5,26.5,16,-2.19,160.5,
Rocksource ASA (OB:RGT),OB:RGT,Energy (Primary),91.6,44.2,-37.3,-37.6,-2.29,14.5,
Petrolina (Holdings) Public Ltd. (CSE:PHL),CSE:PHL,Energy (Primary),91.2,74.3,18.2,11.3,-3.38,147.4,
Carnarvon Petroleum Limited (ASX:CVN),ASX:CVN,Energy (Primary),90.6,0,15.1,4.85,-0.166,111.7,
Sea Oil Public Company Limited (SET:SEAOIL),SET:SEAOIL,Energy (Primary),90.4,2.44,3.23,3.19,-0.101,32.8,
Volga Gas plc (AIM:VGAS),AIM:VGAS,Energy (Primary),90.3,0,17.4,12.8,,75.8,
Nighthawk Energy plc (AIM:HAWK),AIM:HAWK,Energy (Primary),90.1,34,33,26.8,-3.67,64,
Buru Energy Limited (ASX:BRU),ASX:BRU,Energy (Primary),89.7,0,-15.8,-26.4,,106.4,
NexGen Energy Ltd. (TSXV:NXE),TSXV:NXE,Energy (Primary),89.3,1.17,-2.92,-7.49,,47.5,
CosmoSteel Holdings Limited (SGX:B9S),SGX:B9S,Energy (Primary),88.6,52.8,7.93,5.77,-1.14,81.1,
Energy & Technology Corp. (OTCPK:ENGT),OTCPK:ENGT,Energy (Primary),88,0.201,0.235,-0.7,-0.086,3.7,
TerraVest Capital Inc. (TSX:TVK),TSX:TVK,Energy (Primary),87.6,40.8,26,19,-2.26,70.1,
VOC Energy Trust (NYSE:VOC),NYSE:VOC,Energy (Primary),87.6,0,,31.5,,101.6,
Strad Energy Services Ltd. (TSX:SDY),TSX:SDY,Energy (Primary),87.5,33.4,50.3,29.5,-1.88,125.6,
Byco Petroleum Pakistan Limited (KASE:BYCO),KASE:BYCO,Energy (Primary),86.9,191.7,-4.23,-14.7,-25.9,-30.2,
CVO Petrochemical Refinery Limited (DSE:CVOPRL),DSE:CVOPRL,Energy (Primary),86.8,6.4,,-0.089,,2.72,
Hindustan Oil Exploration Company Limited (BSE:500186),BSE:500186,Energy (Primary),86.7,,-3.39,-20.6,-2.23,,
MTQ Corporation Limited (SGX:M05),SGX:M05,Energy (Primary),86.4,46.7,27.8,18.9,-1.92,104.8,
"Aemetis, Inc. (NasdaqGM:AMTX)",NasdaqGM:AMTX,Energy (Primary),85.1,80.3,28.9,24.1,-16.1,-2.97,
McCoy Global Inc. (TSX:MCB),TSX:MCB,Energy (Primary),84.3,0,17.2,12.6,-0.242,88.4,
PT Samindo Resources Tbk (JKSE:MYOH),JKSE:MYOH,Energy (Primary),84.1,59.3,44.2,29.9,-1.23,80.9,
Coal Asia Holdings Incorporated (PSE:COAL),PSE:COAL,Energy (Primary),83.5,0.002,-0.266,-0.273,,87.5,
Electromagnetic Geoservices ASA (OB:EMGS),OB:EMGS,Energy (Primary),83,48.5,57.8,30.1,-5.93,126.2,
PetroVietnam Construction Joint Stock Corporation (HASTC:PVX),HASTC:PVX,Energy (Primary),82.8,116,-7.51,-12.1,-5.49,57.1,
AS Latvijas Kugnieciba (RISE:LSC1R),RISE:LSC1R,Energy (Primary),82.7,219,36.8,19.7,-10.5,157.9,
Jindal Drilling & Industries Limited (BSE:511034),BSE:511034,Energy (Primary),82.5,1.76,7.15,5.49,-0.138,124,
Dolphin Group ASA (OB:DOLP),OB:DOLP,Energy (Primary),81.8,242.7,124.8,57,-21.4,260.7,
Misumi Co. Ltd. (FKSE:7441),FKSE:7441,Energy (Primary),81.1,123.5,14,7.39,-1.06,123.2,
Concordia Maritime AB (publ) (OM:CCOR B),OM:CCOR B,Energy (Primary),80.1,257.4,17.4,-0.115,-5.8,201.3,NR
Zargon Oil & Gas Ltd (TSX:ZAR),TSX:ZAR,Energy (Primary),79.9,83.5,66.8,5.73,-6.28,139.3,
"Save the World Air, Inc. (OTCPK:ZERO)",OTCPK:ZERO,Energy (Primary),79.8,0.139,-3.92,-3.94,-0.04,1.37,
PT Delta Dunia Makmur Tbk (JKSE:DOID),JKSE:DOID,Energy (Primary),79.4,729.8,184.9,79.4,-53.2,91.9,
President Energy Plc (AIM:PPC),AIM:PPC,Energy (Primary),79.3,0,1.95,-0.824,-0.825,146.8,
Warren Resources Inc. (NasdaqGS:WRES),NasdaqGS:WRES,Energy (Primary),78.9,432.4,92.1,35.6,-9.64,292.4,B-
"Yuma Energy, Inc. (AMEX:YUMA)",AMEX:YUMA,Energy (Primary),78.8,23.2,17.2,-3.29,-0.326,61.1,
"Westmoreland Resource Partners, LP (NYSE:WMLP)",NYSE:WMLP,Energy (Primary),78.3,175,51.3,9.66,-27.8,39.5,
Circle Oil plc (AIM:COP),AIM:COP,Energy (Primary),77.8,52.9,49.8,29,-5.78,255,
"Synthesis Energy Systems, Inc. (NasdaqGM:SYMX)",NasdaqGM:SYMX,Energy (Primary),77.7,6.54,-16,-18.3,-0.327,53.2,
HydroDec Group plc (AIM:HYR),AIM:HYR,Energy (Primary),77.4,3.68,-9.54,-16.2,-0.236,55.6,
FX Energy Inc. (NasdaqGS:FXEN),NasdaqGS:FXEN,Energy (Primary),77.4,50,-1.41,-30.3,-2.82,20.6,
Awilco LNG ASA (OB:ALNG),OB:ALNG,Energy (Primary),77.2,297.3,41,22.6,-25.4,191.8,
"Vertex Energy, Inc. (NasdaqCM:VTNR)",NasdaqCM:VTNR,Energy (Primary),77.2,42.5,-7.65,-11.9,-2.64,58.6,
Niska Gas Storage Partners LLC (NYSE:NKA),NYSE:NKA,Energy (Primary),77.1,826.8,159.9,42,-54.8,228.3,B-
JKX Oil & Gas plc (LSE:JKX),LSE:JKX,Energy (Primary),76.8,36.4,51.7,17.3,-3.2,281.3,
Heavy Engineering Industries and Shipbuilding Company (K.S.C.) (KWSE:SHIP),KWSE:SHIP,Energy (Primary),76.5,97.8,30.6,13.4,-3.93,124.2,
Hai Leck Holdings Limited (SGX:GG7),SGX:GG7,Energy (Primary),75.8,0.282,15.8,11.6,-0.003,87.6,
Lupatech S.A. (BOVESPA:LUPA3),BOVESPA:LUPA3,Energy (Primary),75.1,151,-44,-62.3,-67.9,35.9,CCC
Cathedral Energy Services Ltd. (TSX:CET),TSX:CET,Energy (Primary),75,50.1,30.2,13.3,-2.21,110.8,
Yangarra Resources Ltd. (TSX:YGR),TSX:YGR,Energy (Primary),74.9,48.6,45.5,31,-1.79,127.7,
Resolute Energy Corporation (NYSE:REN),NYSE:REN,Energy (Primary),74.9,776,257.6,125.5,-31.5,526.6,B-
TAEYANG Corporation (KOSDAQ:A053620),KOSDAQ:A053620,Energy (Primary),74.8,0.949,11.1,8.12,-0.021,118.6,
"Sanrin Co., Ltd. (JASDAQ:7486)",JASDAQ:7486,Energy (Primary),74.7,30.8,11.4,6.47,-0.175,125.3,
SacOil Holdings Limited (JSE:SCL),JSE:SCL,Energy (Primary),74.5,0,-10.6,-10.6,-0.226,90,
Eagle Energy Trust (TSX:EGL.UN),TSX:EGL.UN,Energy (Primary),74,40.8,52.3,-38.9,-2.09,163.1,
PT Resource Alam Indonesia Tbk (JKSE:KKGI),JKSE:KKGI,Energy (Primary),73.9,1,15.8,14.1,-0.137,70.5,
Atlantic Navigation Holdings (Singapore) Limited (Catalist:5UL),Catalist:5UL,Energy (Primary),73.4,29.6,18.8,14,-1.53,83.5,
Lapidoth Israel Oil Prospectors Corp. Ltd. (TASE:LAPD),TASE:LAPD,Energy (Primary),73.3,30.3,26.1,25.7,-0.522,87.7,
"Midstates Petroleum Company, Inc. (NYSE:MPO)",NYSE:MPO,Energy (Primary),73.1,1735.2,630,358.4,-137.5,465.9,B-
Mongolia Energy Corporation Limited (SEHK:276),SEHK:276,Energy (Primary),73,568.6,-47.7,-57.3,-28.4,409.3,
"GulfSlope Energy, Inc (OTCPK:GSPE)",OTCPK:GSPE,Energy (Primary),72.7,6.65,-2.82,-2.86,-0.305,-1.69,
Oleo e Gas Participacoes SA (BOVESPA:OGXP3),BOVESPA:OGXP3,Energy (Primary),72.4,36,-3.36,-5.28,-2.7,6.97,NR
Blackbird Energy Inc. (TSXV:BBI),TSXV:BBI,Energy (Primary),72.3,0,-3.48,-4.22,-0.019,42.1,
Ghana Oil Company Limited (GHSE:GOIL),GHSE:GOIL,Energy (Primary),71.9,10.5,9.49,8.73,-0.942,23.5,
Essar Shipping Limited (BSE:533704),BSE:533704,Energy (Primary),71.9,581.7,45.1,-43.4,-56.9,1114.4,
BNK Petroleum Inc. (TSX:BKX),TSX:BKX,Energy (Primary),71.6,15.4,12,-53,-0.458,128,
"Kyoei Tanker Co., Ltd. (TSE:9130)",TSE:9130,Energy (Primary),71.5,384.9,48.4,14.5,-9.16,64.9,
Selan Exploration Technology Limited (BSE:530075),BSE:530075,Energy (Primary),71.1,0,11.3,6.19,-0.015,44.5,
"Profire Energy, Inc. (NasdaqCM:PFIE)",NasdaqCM:PFIE,Energy (Primary),71.1,0,10.4,9.52,-0.006,45.7,
Falcon Oil & Gas Ltd. (TSXV:FO),TSXV:FO,Energy (Primary),70.1,0,-4.83,-5.13,0,71,
TAG Oil Ltd. (TSX:TAO),TSX:TAO,Energy (Primary),69.9,0,23.4,10.3,,203.1,
Iofina plc (AIM:IOF),AIM:IOF,Energy (Primary),69.9,18.7,-1.8,-3.48,-1.42,29.4,
Discovery Energy Corp. (OTCPK:DENR),OTCPK:DENR,Energy (Primary),69.6,0.754,,-0.423,-0.018,1.48,
"NXT Energy Solutions, Inc. (OTCPK:NSFD.F)",OTCPK:NSFD.F,Energy (Primary),69.5,0,-1.31,-1.37,,5.58,
Carbon Natural Gas Company (OTCPK:CRBO),OTCPK:CRBO,Energy (Primary),69.5,2.1,11.1,8.08,-0.471,24.4,
CWC Energy Services Corp. (TSXV:CWC),TSXV:CWC,Energy (Primary),69.3,56.7,28.2,11.4,-1.75,149.1,
The Philodrill Corporation (PSE:OV),PSE:OV,Energy (Primary),68.9,0,13.7,10.6,-0.009,78.6,
Refineria La Pampilla S.A.A. (BVL:RELAPAC1),BVL:RELAPAC1,Energy (Primary),68.5,687.3,-15.1,-55.9,-24.7,383.5,
Yancoal Australia Ltd (ASX:YAL),ASX:YAL,Energy (Primary),68.4,3093.1,-14.8,-89.8,-132.8,2035.3,
Daldrup & Soehne AG (DB:4DS),DB:4DS,Energy (Primary),68.2,13,-1.49,-7.61,-0.715,86.9,
Rhino Resource Partners LP (NYSE:RNO),NYSE:RNO,Energy (Primary),68.1,57.4,20.1,-19.4,-5.71,310,
Greka Drilling Limited (AIM:GDL),AIM:GDL,Energy (Primary),68,17.6,6.68,1.29,-2.27,74.7,
Biloxi Marsh Lands Corporation (OTCPK:BLMC),OTCPK:BLMC,Energy (Primary),67.9,0,-0.363,-0.372,,12.6,
Glori Energy Technology Inc. (NasdaqCM:GLRI),NasdaqCM:GLRI,Energy (Primary),67.9,19.2,-0.211,-4.84,-3.02,41.2,
Japan Oil Transportation Co.Ltd. (TSE:9074),TSE:9074,Energy (Primary),67.6,27.8,32.8,5.4,-0.526,135.5,
"Uehara Sei Shoji Co.,Ltd. (TSE:8148)",TSE:8148,Energy (Primary),67.5,1.94,7.14,3.59,-0.1,245.6,
ECA Marcellus Trust I (NYSE:ECT),NYSE:ECT,Energy (Primary),67.4,0,,18.1,,67.6,
Pakistan Refinery Ltd. (KASE:PRL),KASE:PRL,Energy (Primary),67.2,124.3,-33.2,-35.7,-4.1,-29.8,
China Qinfa Group Limited (SEHK:866),SEHK:866,Energy (Primary),67,1233.8,-30.1,-68.4,-82.8,179.8,NR
"Emerald Oil, Inc. (AMEX:EOX)",AMEX:EOX,Energy (Primary),66.9,226.5,55.9,20.6,-4.68,321.9,
PT Exploitasi Energi Indonesia Tbk (JKSE:CNKO),JKSE:CNKO,Energy (Primary),66.2,114.6,10.3,5.68,-12.2,220.3,
"Zion Oil & Gas, Inc. (NasdaqGM:ZN)",NasdaqGM:ZN,Energy (Primary),66,0,-6.6,-6.68,-0.01,10.5,
KUB Malaysia Berhad (KLSE:KUB),KLSE:KUB,Energy (Primary),65.8,16.9,7.49,2.46,-1.4,77.1,
CEFC International Limited (SGX:Y35),SGX:Y35,Energy (Primary),65.3,15.6,1.71,1.63,-0.119,1.32,
Kim Heng Offshore & Marine Holdings Limited (Catalist:5G2),Catalist:5G2,Energy (Primary),65.3,6.13,5.9,2.86,-0.319,74,
Enservco Corporation (AMEX:ENSV),AMEX:ENSV,Energy (Primary),65.1,29.8,10.9,7.51,-0.791,18,
Puma Energy Zambia PLC (LUSE:PUMA),LUSE:PUMA,Energy (Primary),65,,,,,,
Carimin Sdn. Bhd. (KLSE:CARIMIN),KLSE:CARIMIN,Energy (Primary),65,11.5,10.5,9.44,-0.516,51.5,
Wentworth Resources Limited (OB:WRL),OB:WRL,Energy (Primary),64.8,5.72,-9.45,-10.1,-2.55,145.3,
Serinus Energy Inc. (WSE:SEN),WSE:SEN,Energy (Primary),64.5,37.3,75.1,-10.4,-4.86,86.7,
MRS Oil Nigeria Plc (NGSE:MRS),NGSE:MRS,Energy (Primary),64.4,0,,6.4,-6.26,110.1,
Pan Orient Energy Corp. (TSXV:POE),TSXV:POE,Energy (Primary),64.1,0,14,-4.23,,207.1,
Strike Energy Limited (ASX:STX),ASX:STX,Energy (Primary),63.7,5,2.83,-16.7,-0.717,28.8,
Norwegian Energy Company AS (OB:NOR),OB:NOR,Energy (Primary),63.7,446.2,25.4,-114.2,-114.7,-107.3,
Eidesvik Offshore ASA (OB:EIOF),OB:EIOF,Energy (Primary),63.6,399.9,65.8,26.8,-17.6,277.2,
DOF Installer ASA (OTCNO:DOFI),OTCNO:DOFI,Energy (Primary),63.1,230,41.4,30.7,-15.3,199.5,
Arcan Resources Ltd. (TSXV:ARN),TSXV:ARN,Energy (Primary),62.7,259.1,82.2,-67.4,-20.5,100.5,
Questerre Energy Corp. (TSX:QEC),TSX:QEC,Energy (Primary),62.6,0,13.2,-14,,170,
Mirach Energy Limited (SGX:C68),SGX:C68,Energy (Primary),62.2,0,-3.01,-4.48,-0.052,50.6,
Prime Oil Chemical Service Corporation (TSEC:2904),TSEC:2904,Energy (Primary),61.8,0,7.6,4.6,,29.9,
Marquee Energy Ltd. (TSXV:MQL),TSXV:MQL,Energy (Primary),61.7,50.7,39.8,3.06,-2.76,112.3,
Oriental Petroleum and Minerals Corp. (PSE:OPMB),PSE:OPMB,Energy (Primary),60.2,0,16.4,4.74,,81.5,
Junex Inc. (TSXV:JNX),TSXV:JNX,Energy (Primary),59.9,0,-1.57,-1.85,-0.004,46.8,
Sanchez Production Partners LP (AMEX:SPP),AMEX:SPP,Energy (Primary),59.8,42.5,35.1,11.5,-2.08,106.8,
PetroTerra Corp. (OTCPK:PTRA),OTCPK:PTRA,Energy (Primary),59.7,0.01,-0.568,-0.571,,0.668,
Graphene NanoChem plc (AIM:GRPH),AIM:GRPH,Energy (Primary),59.3,54.1,-4.65,-10,-4.66,48.6,
Blue Dolphin Energy Company (OTCPK:BDCO),OTCPK:BDCO,Energy (Primary),59,12.1,11.4,9.62,-0.892,28,
Huscoke Resources Holdings Limited (SEHK:704),SEHK:704,Energy (Primary),58.3,15.4,-19,-34.5,-2.82,16.1,
Corridor Resources Inc. (TSX:CDH),TSX:CDH,Energy (Primary),58.2,0,9.69,-31.9,-0.211,133.2,
"Arsenal Energy, Inc. (TSX:AEI)",TSX:AEI,Energy (Primary),58.2,51.8,58.8,26.1,-2.4,78.3,
Kina Petroleum Limited (ASX:KPL),ASX:KPL,Energy (Primary),58.1,0,-2.74,-3.15,,38.8,
Providence Resources Plc (ISE:PZQA),ISE:PZQA,Energy (Primary),57.8,23.1,-9.93,-10.4,-0.162,92.5,
Reserve Petroleum Co. (OTCPK:RSRV),OTCPK:RSRV,Energy (Primary),57.7,0,14.8,10.6,-0.045,36.7,
"Superior Drilling Products, Inc. (AMEX:SDPI)",AMEX:SDPI,Energy (Primary),57.5,23.9,5.52,2.28,-2.28,30.1,
Savannah Petroleum Plc (AIM:SAVP),AIM:SAVP,Energy (Primary),57.5,,,,,,
Toscana Energy Income Corporation (TSX:TEI),TSX:TEI,Energy (Primary),57.4,24.3,22,0.484,-2.56,58.1,
Rey Resources Limited (ASX:REY),ASX:REY,Energy (Primary),57.2,0,-1.28,-5.34,,30.6,
Premuda SpA (BIT:PR),BIT:PR,Energy (Primary),57,458.3,-24.4,-50.7,-18.4,128.5,
"SinoCoking Coal and Coke Chemical Industries, Inc. (NasdaqCM:SCOK)",NasdaqCM:SCOK,Energy (Primary),56.8,50.1,5.66,4.61,-5.39,134.9,
Strategic Oil & Gas Ltd. (TSXV:SOG),TSXV:SOG,Energy (Primary),56.4,25.1,22.8,-14.5,-2.91,111.3,
Sterling Energy plc (AIM:SEY),AIM:SEY,Energy (Primary),56.4,0,-2.26,-10.5,,102.4,
Mitcham Industries Inc. (NasdaqGS:MIND),NasdaqGS:MIND,Energy (Primary),56.2,34.6,5.45,3.27,-0.661,161.4,
Pura Vida Energy NL (ASX:PVD),ASX:PVD,Energy (Primary),55.3,0,-5.15,-5.21,-0.387,34.3,
Raise Production Inc (TSXV:RPC),TSXV:RPC,Energy (Primary),55.2,0.207,-1.23,-1.37,-0.029,6.41,
US Oil Sands Inc. (TSXV:USO),TSXV:USO,Energy (Primary),54.8,0.041,-7.23,-7.32,,80.6,
Gujarat Natural Resources Ltd (BSE:513536),BSE:513536,Energy (Primary),54.8,4.6,0.803,0.211,-0.582,15.1,
"PT. Ratu Prabu Energi, Tbk (JKSE:ARTI)",JKSE:ARTI,Energy (Primary),54.3,46.1,18.9,14.8,-2.86,72.8,
Afren PLC (LSE:AFR),LSE:AFR,Energy (Primary),54.1,1237.2,654.4,196.9,-86.9,1972.7,SD
Petrowest Corporation (TSX:PRW),TSX:PRW,Energy (Primary),53.9,70.1,28.9,8.59,-4.46,68.3,
Oil and Gas Exploration and Production Plc (BUL:4O1),BUL:4O1,Energy (Primary),53,6.3,6.36,3.14,-0.361,63.5,
Caverton Offshore Support Group Plc (NGSE:CAVERTON),NGSE:CAVERTON,Energy (Primary),52.8,88.2,28.7,20.2,-7.35,64.6,
"SAExploration Holdings, Inc. (NasdaqGM:SAEX)",NasdaqGM:SAEX,Energy (Primary),52.7,152.3,33.8,17.3,-16.8,-32.4,B-
Tanjung Offshore Bhd (KLSE:TGOFFS),KLSE:TGOFFS,Energy (Primary),52.6,1.2,6.54,0.822,-0.099,54.5,
Highwater Ethanol LLC (OTCPK:HEOL),OTCPK:HEOL,Energy (Primary),52,27.5,27,20,-2.43,70.1,
Cooper Energy Limited (ASX:COE),ASX:COE,Energy (Primary),52,0,16.5,8.66,-0.032,88.2,
Capital Drilling Ltd (LSE:CAPD),LSE:CAPD,Energy (Primary),51.9,15.1,20.4,3.94,-1.41,91,
Medserv p.l.c. (MTSE:MDS),MTSE:MDS,Energy (Primary),51.9,31.5,7,4.99,-1.31,11.2,
Sterling Resources Ltd. (TSXV:SLG),TSXV:SLG,Energy (Primary),51.8,229.7,11.2,-9.32,-24.2,451.4,
Pressure Technologies plc (AIM:PRES),AIM:PRES,Energy (Primary),51.8,0.819,15.3,12.7,-0.011,59.4,
Blackgold International Holdings Limited (ASX:BGG),ASX:BGG,Energy (Primary),51.5,59.7,34.2,8.59,-5.62,177.7,
Sociedad Comercial del Plata S.A. (BASE:COME),BASE:COME,Energy (Primary),51.4,9.48,11.6,7.91,-0.557,125,
Jubilant Energy NV (AIM:JUB),AIM:JUB,Energy (Primary),51,531.6,7.76,5.53,-11.2,-35.4,
UEX Corp. (TSX:UEX),TSX:UEX,Energy (Primary),50.8,0,-2,-11,,132.6,
Vimy Resources Limited (ASX:VMY),ASX:VMY,Energy (Primary),50.2,0,-9.35,-9.45,-1.04,4.56,
White Energy Company Limited (ASX:WEC),ASX:WEC,Energy (Primary),50.2,33.2,-16.2,-43.9,-1.08,101.5,
Asia Resource Minerals plc (LSE:ARMS),LSE:ARMS,Energy (Primary),50.1,955,167,-9,-152,867,
Maverick Drilling & Exploration Limited (ASX:MAD),ASX:MAD,Energy (Primary),50,1.21,9.79,-28.6,-0.025,118.8,
"Miller Energy Resources, Inc. (NYSE:MILL)",NYSE:MILL,Energy (Primary),49.9,225.8,257.6,-249.9,-12.3,-76.2,
Drilling Mud Corporation (HASTC:PVC),HASTC:PVC,Energy (Primary),49.5,24.4,23.3,22,-1.24,43,
LoneStar West Inc (TSXV:LSI),TSXV:LSI,Energy (Primary),49,14.7,5.16,1.67,-0.684,38.5,
Polyard Petroleum International Group Limited (SEHK:8011),SEHK:8011,Energy (Primary),48.9,1.48,-2.57,-2.6,-0.949,9.47,
Neptune Marine Services Limited (ASX:NMS),ASX:NMS,Energy (Primary),48.7,0.383,9.35,5.48,-0.267,70.8,
"Nissin Shoji Co., Ltd. (TSE:7490)",TSE:7490,Energy (Primary),48.6,21.4,4.72,1.81,-0.267,142.2,
Cue Energy Resources Limited (ASX:CUE),ASX:CUE,Energy (Primary),48.6,0,12.8,4.56,,117.1,
Macro Enterprises Inc. (TSXV:MCR),TSXV:MCR,Energy (Primary),48.3,14.3,17.1,9.99,-0.743,70.4,
Dominion Resources Black Warrior Trust (NYSE:DOM),NYSE:DOM,Energy (Primary),48.3,0,,5.85,,7.77,
Pantheon Resources (AIM:PANR),AIM:PANR,Energy (Primary),48.1,0,,-1.58,,34.8,
AusTex Oil Limited (ASX:AOK),ASX:AOK,Energy (Primary),48,12.3,15.8,-9.24,-0.231,41.1,
Seamec Limited (BSE:526807),BSE:526807,Energy (Primary),47.9,,6.66,-1.65,-0.022,,
National Gas Company SAOG (MSM:NGCI),MSM:NGCI,Energy (Primary),47.8,68.6,15.2,10.4,-4.66,41.7,
Aminex plc (LSE:AEX),LSE:AEX,Energy (Primary),47.7,9.44,-3.68,-13.6,-4.14,88.2,
"Questor Technology, Inc. (TSXV:QST)",TSXV:QST,Energy (Primary),47.4,0,4.49,4.22,,13.1,
RPCG Public Company Limited (SET:RPC),SET:RPC,Energy (Primary),47.2,0.158,-1.9,-5.48,-0.061,38.2,
Matrix Composites & Engineering Limited (ASX:MCE),ASX:MCE,Energy (Primary),46.9,8.44,19.5,7.84,-1.19,114,
Terrace Energy Corp. (TSXV:TZR),TSXV:TZR,Energy (Primary),46.4,54.8,3.82,-1,-4.3,33.2,
Solo Oil PLC (AIM:SOLO),AIM:SOLO,Energy (Primary),46.3,0,,-3.59,,21.3,
