Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Day Close Price [Latest] ($USD, Historical rate)",Corporations - % Owned [Latest] (%),5 Year Beta [Latest],Total Options Out. at the End of Year [Latest Annual] (mm),Expected EBITDA in next 4  quarters,"EBIT, 10 Yr CAGR % [LTM] (%)","EBITDA [LTM] ($USDmm, Historical rate)","Net Property, Plant & Equipment [Latest Quarter] ($USDmm, Historical rate)","Total Minority Interest [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM - 1] ($USDmm, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)","Operating Lease Commitment Due +5 [Latest Annual] ($USDmm, Historical rate)","Pref. Dividends Paid [LTM] ($USDmm, Historical rate)","EBITDA [Latest Annual] ($USDmm, Historical rate)",Corporate Governance - Board Member Term Length (Years)
China Mobile Limited (SEHK:941),1997,11.26,0.7272,0.494,0,39660.1,0.022400000000000003,39251.5,NA,340.5,0,0.815,1034.6,0,38142.2,3
China Overseas Land & Investment Ltd. (SEHK:688),1979,3.04,0.6507,1.11,0,7027.3,0.35200000000000004,5084.1,151.3,647.2,0,0.479,4.44,0,4984.3,3
China Petroleum & Chemical Corp. (SEHK:386),2000,0.722,0.7132,1.09,0,26098.3,-0.014499999999999999,24421.2,125630.7,17297.7,1049.2,0.044,1914.5,0,24288.2,3
China Shenhua Energy Co. Ltd. (SEHK:1088),2004,2.16,0.7306,1.08,0,10507.6,0.0484,10154.7,55385.1,10407,93.6,0.13,0.655,0,10154.8,3
China State Construction Engineering Corporation Limited (SHSE:601668),1982,1.19,0.5702,0.645,0,11762.8,NA,9870,5814.8,10500,0,0.156,0,0,9298.8,NA
China Telecom Corp. Ltd. (SEHK:728),2002,0.512,0.7592,0.713,0,14864.9,-0.0363,13777.3,NA,0,119.2,-,180.4,0,14018.2,3
China Unicom (Hong Kong) Limited (SEHK:762),2000,1.17,0.753,0.893,0,12967.9,-0.209,11561.1,NA,0,0,0.025,291.6,0,13780.2,3
China Vanke Co. Ltd. (SEHK:2202),1984,2.62,0.2743,1.39,4.7,7051.1,0.285,5085.1,903.9,5065.3,0,0.265,0,0,4722.1,3
China Yangtze Power Co. Ltd. (SHSE:600900),2002,1.96,0.6976,0.218,0,5968.5,0.151,3933.6,40531.6,0.38,3.73,0.138,0,0,3033.8,NA
Christian Dior SE (ENXTPA:CDI),1946,191.71,0,1.03,0.857,10125.3,NA,9418.6,13444.4,17874.7,119,9.72,1453.2,0,9418.6,3
"Chunghwa Telecom Co., Ltd. (TSEC:2412)",1996,3.43,0,-0.011,0,2746.4,0.012199999999999999,2605.9,9107.9,149.9,116.7,0.169,42.6,0,2527.6,3
Cigna Corp. (NYSE:CI),1792,121.65,0,0.429,6.43,4577.6,0.0751,3449,1561,80,0,7.48,77,0,4024,NA
"Cisco Systems, Inc. (NasdaqGS:CSCO)",1984,30.19,0,1.49,73,14296.5,0.061200000000000004,14838,3506,9,6243,2.13,72,0,14838,1
CITIC Limited (SEHK:267),1987,1.43,0.8312999999999999,1.07,0,21508.3,0.513,29998.3,23480.1,20612.2,0,0.128,0,0,32187.2,3
CK Hutchison Holdings Limited (SEHK:1),2014,12.31,0.017,1.18,0,7165.6,0.303,7037.3,23974.6,15054.5,0,1.05,752.3,0,4418.3,3
CLP Holdings Ltd. (SEHK:2),1901,10.08,0.182,0.267,0,3067.7,0.00598,2583.9,16504.1,268.2,0,0.82,45.2,0,2565.8,3
Coal India Limited (NSEI:COALINDIA),1973,4.73,0,0.505,0,2912.8,NA,2628.3,NA,10.3,1.41,0.322,0,0,2767.9,NA
Cognizant Technology Solutions Corporation (NasdaqGS:CTSH),1998,52.08,0,1.43,4.2,2962.7,0.266,2592.1,1287.4,0,0,2.49,68.4,0,2472,1
Colgate-Palmolive Co. (NYSE:CL),1806,69.57,0,0.617,43.9,4702.6,0.0529,4353,3837,335,274,2.75,120,0,4386,1
Comcast Corporation (NasdaqGS:CMCS.A),1963,60.66,0.00664,1.06,94,27410.3,0.146,25949,35656,1453,0,3.45,284,0,24876,1
Compagnie Financiere Richemont SA (SWX:CFR),1988,68.51,0,0.958,9.42,2385.4,0.0588,2257.1,2775.2,-22.3,123,2.07,371,0,2961.1,1
Compass Group PLC (LSE:CPG),1941,17.42,0.0009299999999999999,0.223,9.8,2388.6,0.115,2390.9,1218.5,14.9,0,0.792,111.6,0,2413.6,1
