Company Name,Exchange:Ticker,Geographic Locations,Market Cap,PE,PBV,EV/Invested Capital,EV/Sales,EV/EBITDA,EV/EBITDAR,Expected growth in EPS - Next 5 years,CAGR- Revenues,Beta,Standard devaition in stock price,ROE,ROIC,Operating Margin,EBITDAR/Sales,Net Margin,Debt/Capital (Book),Debt/Capital (Market),Invested Capital,Capitalized R&D,Std Dev in EBITDAR (Last 10 years),Average EBIT (Last 10 years),CV in EBIT,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)","Total Debt [Latest Annual] ($USDmm, Historical rate)","Total Cash & ST Investments [Latest Annual] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","Total Revenue [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Total Equity [Latest Annual] ($USDmm, Historical rate)","Common Dividends Paid [LTM] ($USDmm, Historical rate)","Repurchase of Common Stock [LTM] ($USDmm, Historical rate)","Issuance of Common Stock [LTM] ($USDmm, Historical rate)",Primary Industry,Primary Sector,"Total Enterprise Value [My Setting] [Latest] ($USDmm, Historical rate)",Float % [Latest],"Daily Value Traded [Latest - 1 Year(s)] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Revenues, 5 Yr CAGR % [LTM] (%)","EBITDA, 5 Yr CAGR % [LTM] (%)","Net Income, 5 Yr CAGR % [LTM] (%)",Effective Tax Rate [LTM] (%),"R&D Expense [LTM - 40] ($USDmm, Historical rate)","R&D Expense [LTM - 36] ($USDmm, Historical rate)","R&D Expense [LTM - 32] ($USDmm, Historical rate)","R&D Expense [LTM - 28] ($USDmm, Historical rate)","R&D Expense [LTM - 24] ($USDmm, Historical rate)","R&D Expense [LTM - 20] ($USDmm, Historical rate)","R&D Expense [LTM - 16] ($USDmm, Historical rate)","R&D Expense [LTM - 12] ($USDmm, Historical rate)","R&D Expense [LTM - 8] ($USDmm, Historical rate)","R&D Expense [LTM - 4] ($USDmm, Historical rate)","R&D Expense [LTM] ($USDmm, Historical rate)",2 Year Beta R-Squared [Latest],2 Year Beta [Latest],"Day Close Price [Latest] ($USD, Historical rate)","52 Week Low Price [Latest] ($USD, Historical rate)","52 Week High Price [Latest] ($USD, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 40] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 36] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 32] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 28] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 24] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 20] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 16] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 12] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 8] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 4] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM] ($USDmm, Historical rate)","EBIT [LTM - 36] ($USDmm, Historical rate)","EBIT [LTM - 32] ($USDmm, Historical rate)","EBIT [LTM - 28] ($USDmm, Historical rate)","EBIT [LTM - 24] ($USDmm, Historical rate)","EBIT [LTM - 20] ($USDmm, Historical rate)","EBIT [LTM - 16] ($USDmm, Historical rate)","EBIT [LTM - 12] ($USDmm, Historical rate)","EBIT [LTM - 8] ($USDmm, Historical rate)","EBIT [LTM - 4] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)"
"Provectus Biopharmaceuticals, Inc. (OTCPK:PVCT)",OTCPK:PVCT,United States of America (Primary),12,NA,0.7361963190184049,45.43999999999996,NA,NA,-0.21999999999999992,0,0,0.14,#DIV/0!,-1.7852760736196318,-13.8095238095238,#DIV/0!,#DIV/0!,#DIV/0!,0,0,109.624,107.524,6.004897630730728,-16.518,-0.3635366043546875,12,0,14.2,-28.3,,-29,16.3,0,0,9.18,Pharmaceuticals,Healthcare,6.77,94.7,,-29.1,,,,,,2.51,4.02,4.58,4.71,7.76,8.84,6.19,3.47,4.32,8.63,10,0,0.14,0.049,0.022,0.538,0,0,0,0,0,0,0,0,0,0,0,-9.68,-10.2,-12,-18.9,-21.9,-16.5,-12.4,-15.2,-19.4,-29
Aequus Pharmaceuticals Inc. (TSXV:AQS),TSXV:AQS,Canada (Primary),11.8,NA,12.742980561555076,158.32643678160903,60.894444444444446,NA,7.665034965034965,0,0,0.723,1.0976182786899487,-4.406047516198704,-47.35632183908042,-22.88888888888889,-15.166666666666668,-22.666666666666668,0,0,14.613399999999999,14.526399999999999,1.3061010680647969,-2.9899999999999998,-0.43682309968722305,11.8,0,0.839,-3.98,0.18,-4.12,0.926,0,0,2.61,Pharmaceuticals,Healthcare,11.5,59.2,,-4.08,,,,,,,,,,,,,,0.958,1.39,1.25,0.021,0.723,0.217,0.177,0.515,,,,,,,,,-0.826,0,0,,,,,,,,-1.56,-3.29,-4.12
"Jaguar Animal Health, Inc. (NasdaqCM:JAGX)",NasdaqCM:JAGX,United States of America (Primary),11.7,NA,2.6590909090909087,21.628226415094332,59.22619047619047,NA,1.259812610787541,0.4,0,0.828,1.92013499525424,-3.454545454545454,-5.32075471698113,-83.92857142857142,46.01190476190476,-90.47619047619047,0.57487922705314,0.3371104815864023,59.064800000000005,56.4148,6.564947321443892,-8.613333333333333,-0.7621842865453435,11.7,5.95,7.7,,0.168,-14.1,4.4,0,0,5.91,Pharmaceuticals,Healthcare,12.1,38.4,,-15.2,40,,,,,,,,,,,,,0.556,5.36,7.73,0.009,0.828,0.99,0.814,4.6,,,,,,,,,0,0,0,,,,,,,,-1.34,-10.4,-14.1
"Relmada Therapeutics, Inc. (OTCPK:RLMD)",OTCPK:RLMD,United States of America (Primary),11.7,NA,1.6619318181818181,NA,NA,NA,0.9363881401617251,0,0,0.328,1.6135466525638482,-1.3181818181818181,11.129848229342327,#DIV/0!,#DIV/0!,#DIV/0!,0.037462400875034184,0.02288291297811926,97.6549,98.84089999999999,8.029833954281576,-14.015,-0.5729456977724992,11.7,0.274,8.5,-13.1,,-13.2,7.04,0,0,0,Pharmaceuticals,Healthcare,5.62,84.9,,-9.28,,,,,,,,,,,,,0.667,5.83,10,3.71,0.002,0.328,0.97,0.87,4.1,,,,,,,,0,0,0,0,,,,,,,-3.16,-21.7,-18,-13.2
Tetra Bio-Pharma Inc. (CNSX:TBP),CNSX:TBP,Canada (Primary),11.4,NA,NA,NA,NA,NA,NA,0,0,-0.927,-3.224574530073697,3.23699421965318,2.1861702127659575,#DIV/0!,#DIV/0!,#DIV/0!,0,0,-0.188,0,0.004242640687119249,-0.40800000000000003,-0.0103986291350962,11.4,0,0.015,0,0,-0.411,-0.173,0,0,0.281,Pharmaceuticals,Healthcare,11.4,82.9,,-0.56,,,,,,,,,,,,,,,0,0,0.004,-0.927,0.14,0.015,0.217,,,,,,,,,,0,0,,,,,,,,,-0.405,-0.411
Pediapharm Inc. (TSXV:PDP),TSXV:PDP,Canada (Primary),10.9,19.156414762741655,5.046296296296296,0.42335766423357646,3.2508038585209005,NA,3.2508038585209005,0,0,1.07,1.1919942350574757,0.2634259259259259,-0.6328467153284673,-0.2787781350482315,-0.24469453376205788,0.18295819935691318,0.5830115830115831,0.21695402298850575,1.3699999999999997,0,1.3860334772291754,-2.1474,-0.6454472744850401,10.9,3.02,3.81,-0.761,3.11,-0.867,2.16,0,0,0.015,Pharmaceuticals,Healthcare,9.11,58,,0.569,,,,,,,,,,,,0,0,0,0,0,0.039,1.07,0.173,0.096,0.243,,,,,,,0,0,0,0,0,,,,,,-2.18,-1.52,-1.69,-4.48,-0.867
Easton Pharmaceuticals Inc. (OTCPK:EAPH),OTCPK:EAPH,Canada (Primary),10.3,NA,8.046875,2.2115896632732976,NA,NA,257.425,0,0,-1.71,-3.071660137450105,-0.41171875,-0.408770555990603,#DIV/0!,#DIV/0!,#DIV/0!,0.011583011583011582,0.0014541929229277748,2.8272000000000004,1.5502000000000002,2.616757121578794,-2.1785,-1.2011737992099123,10.3,0.015,0.018,0,0,-0.522,1.28,0,0,0,Pharmaceuticals,Healthcare,10.3,,,-0.527,,,,,,,0.317,0.48,1.12,0.242,0.203,0,0,0.014,0.093,0.04,0.015,-1.71,0.011,0.002,0.02,,-1.62,-1.69,-7.13,-1.71,-3.28,0,0,0,0,0,-2.12,-6.05,-7.25,-1.84,-3.41,-0.105,-0.049,-0.097,-0.342,-0.522
Praxsyn Corporation (OTCPK:PXYN),OTCPK:PXYN,United States of America (Primary),9.2,NA,NA,NA,NA,NA,NA,0,0,0.334,2.3236416246917253,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,9.2,,,,,,,,,,Pharmaceuticals,Healthcare,13.9,83.6,,,,,,,,,,,,,,,,,,,0.001,0.334,0.015,0.002,0.021,,,,,,,,,,,,,,,,,,,,,
Nemus Bioscience Inc. (OTCPK:NMUS),OTCPK:NMUS,United States of America (Primary),8.74,NA,2.9829351535836177,NA,NA,NA,5.411764705882352,0,0,-0.959,-1.6679433518558118,-0.9385665529010239,16.241379310344826,#DIV/0!,#DIV/0!,#DIV/0!,0,0,3.2710000000000004,3.5610000000000004,2.4421718988092,-2.69525,-0.9061021793188758,8.74,0,3.22,-4.7,,-4.71,2.93,0,0,0.004,Pharmaceuticals,Healthcare,10.6,46.7,,-2.75,,,,,,,,,,,,,0,0.195,0.265,1.02,0.016,-0.959,0.42,0.335,1.8,,,,,,,,0,0,0,0,,,,,,,-0.151,-1.06,-4.86,-4.71
Pivot Pharmaceuticals Inc. (OTCPK:PVOT.F),OTCPK:PVOT.F,Canada (Primary),8.32,NA,NA,NA,NA,NA,NA,0,0,74.1,171.83816805354974,34.346504559270514,27.93017456359102,#DIV/0!,#DIV/0!,#DIV/0!,0,0,-0.36000000000000004,0.041,3.9376714203048624,-1.9257499999999999,-2.0447469403114957,8.32,0,0.072,-11.2,0,-11.2,-0.329,0,0,0,Pharmaceuticals,Healthcare,8.32,44.8,,-11.3,,,,,,,,,0.029,0.002,0.051,0.01,0,0,0,0,0.009,74.1,0.11,0.022,1.25,,,,0,0,0,0,0,0,0,0,,,0.059,-0.098,-0.333,-0.182,-0.058,-0.044,-3.55,-11.2
"CannaPharmaRX, Inc. (OTCPK:CPMD)",OTCPK:CPMD,United States of America (Primary),8.08,NA,NA,NA,NA,NA,NA,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,8.08,,,,,,,,,,Pharmaceuticals,Healthcare,7.88,58.1,,,,,,,,,,,,,,,,,,,,,0.45,0.05,3,,,,,,,,,,,,,,,,,,,,,
BioPharmX Corporation (AMEX:BPMX),AMEX:BPMX,United States of America (Primary),6.58,NA,3.209756097560976,NA,23.738317757009348,NA,0.2907176376330548,0,0,-0.194,-1.3496601053598645,-8.731707317073171,8.994974874371858,-167.28971962616822,-85.70093457943925,-167.28971962616822,0,0,57.506299999999996,59.4963,8.530303003606221,-10.468,-0.814893294192417,6.58,0,4.04,-17.8,0.107,-17.9,2.05,0,0,11.6,Pharmaceuticals,Healthcare,6.15,82.7,,-17.9,,,,,,,,,,,,,0.429,2.12,5.43,8.63,0.001,-0.194,0.2,0.188,2.75,,,,,,,,0,0,0,0,,,,,,,-0.852,-5.72,-17.4,-17.9
Wildflower Marijuana Inc. (DB:RSP),DB:RSP,Canada (Primary),6.46,NA,50.46875,0.992,NA,NA,3228.5,0,0,0.07,#DIV/0!,-5.796875,-4.224,#DIV/0!,#DIV/0!,#DIV/0!,0.40186915887850466,0.01313779407271616,0.127,0.002,0.30899487590141905,-0.2505,-1.2335124786483795,6.46,0.086,0.089,-0.523,,-0.528,0.128,0,0,0.532,Pharmaceuticals,Healthcare,6.45,63.4,,-0.742,,,,,,0,0,0,0,0,0,0,0,0,0,0.002,0,0.07,0.149,0.058,0.199,-0.194,-0.098,-0.087,-0.187,0,0,0,0,-0.51,-0.253,-0.297,-0.108,-0.19,-0.041,-0.083,-0.036,-0.024,-0.038,-0.52,-0.937,-0.528
Lotus Ventures Inc. (CNSX:J),CNSX:J,Canada (Primary),5.93,NA,30.56701030927835,-0.352941176470585,NA,NA,5753,0,0,0.137,0.9531104867747497,-3.134020618556701,-33.11764705882349,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0.17100000000000004,0.15400000000000003,0.13222896808188445,-0.4695,-0.28163784468984976,5.93,0,0.177,0,0,-0.563,0.194,0,0,0.509,Pharmaceuticals,Healthcare,5.78,60.3,,-0.608,,,,,,,,,,,,,,,0.017,0.001,0.001,0.137,0.166,0.133,0.202,,,,,,,,,,0,0,,,,,,,,,-0.376,-0.563
"Cardax, Inc. (OTCPK:CDXI)",OTCPK:CDXI,United States of America (Primary),5.67,NA,NA,NA,NA,NA,16.181538461538462,0,0,1.99,3.996548927929362,0.9226666666666666,0.843547224224946,#DIV/0!,#DIV/0!,#DIV/0!,0,0,6.008100000000001,10.1691,6.183609382876641,-6.612499999999999,-0.9351394151798325,5.67,0,0.411,-3.49,0,-3.51,-3.75,0,0,1.24,Pharmaceuticals,Healthcare,5.15,95.2,,-3.46,,,,,,,,,,,,,0.703,1.16,0.936,0.325,0.012,1.99,0.07,0.03,0.39,,,,,,,,-1.55,0,0,0,,,,,,,-1.8,-15.6,-5.54,-3.51
Alliance Growers Corp. (CNSX:ACG),CNSX:ACG,Canada (Primary),5.56,NA,NA,NA,NA,NA,NA,0,0,-8.39,-5.642775250119793,54.69230769230769,14.600000000000001,#DIV/0!,#DIV/0!,#DIV/0!,0,0,-0.015,0,0.05515432893255061,-0.258,-0.2137764687308163,5.56,0,0.002,0,0,-0.219,-0.013,0,-0.021,0.018,Pharmaceuticals,Healthcare,5.49,76.6,,-0.711,,,,,,,,,,,,,,,0,0,0.107,-8.39,0.177,0.011,0.25,,,,,,,,,,0,0,,,,,,,,,-0.297,-0.219
