Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation,% Under or over,% Under or Over: Relative
Markit,28.9,FCFF,24.85,PBV,27.56,,Hold (Chicken),0.16297786720321916,0.04862119013062416
Matador Resources Co,21.22,FCFF,12.91,EV/EBITDA,12.18,,Sell,0.6436870642912469,0.7422003284072249
Michael Kors,42.34,FCFF,58.64,VS,71.41,,Buy,-0.27796725784447474,-0.4070858423190029
Mind CTI,2.6,FCFF,7.67,VS,3.56,,Buy,-0.6610169491525424,-0.2696629213483146
Mobileye,40.35,FCFF,48.31,VS,9.57,,Buy,-0.1647691989236183,3.216300940438871
Morgan Stanley,32.08,Dividends,37.26,PBV,43.42,,Sell,-0.1390230810520665,-0.26116996775679413
Natixis,5,Dividends,6.57,PBV,5.21,,Buy,-0.23896499238964997,-0.040307101727447225
Netflix,118.91,FCFF,83.93,EVEBITDA,76.09,,Sell,0.41677588466579274,0.5627546326718358
Netflix,118.91,FCFF,118.93,EV/SALES,74.88,,Hold,-0.0001681661481545138,0.5880074786324787
Netflix,118.19,FCFF,125.5,EV/Sales,24.07,,Buy,69.78,3.910261736601578
Netflix,118,FCFF,72.11,EV/Revenue,91.89,,Sell,0.6363888503674942,0.2841440853194037
Netflix,118.91,FCFF,83.44,EV/Revenue,84.11,,Sell,0.4250958772770854,0.41374390678872897
"Nintendo Co., Ltd.",18035,FCFE,11510.56,EV/EBITDA,10172.57,,Sell,9303.7,0.7729049787811733
Nomura Research Institute,4590,FCFF,5167.37,EV/EBITDA,3888.1315195776506,,Buy,-0.11173382204099958,0.18051562219237627
Nordstrom Inc.,56.83,FCFF,48.9100361768661,PBV,48.72236359389922,,Sell,0.16192921621431866,0.16640482538322465
Nordstrom Inc. ,55.43,FCFF,69.45,EV/Sales,74.37,,Buy,-0.20187185025197985,-0.254672583030792
"On Deck Capital, Inc.",10.35,FCFF,11.94,Average ,14.72,11.128571428571428,Buy,-0.1331658291457286,-0.296875
Pandora Media,$12.61,FCFF,$5.81,EV/Sales,$18.61,,Sell,1.1703958691910499,-0.3224073078989791
Paramount Resources,5.96,FCFF,9.71,EV/EBITDA,1.1,13.53,Buy,-0.3861997940267766,4.418181818181818
"PayPal Holdings, Inc.",34.69,FCFE,22.91,PE,27.13,,Sell,22.67,0.27865831183192036
Perry Ellis International,19.23,FCFF,11.08,PS,55.74,,Sell,0.7355595667870036,-0.655005382131324
"Popular, Inc",27.75,Dividends,29.25,PBV,15.28,,Buy,-0.05128205128205132,0.8160994764397906
"Popular, Inc",27.75,Dividends,29.25,PBV,15.28,,Buy,-0.05128205128205132,0.8160994764397906
"Private Company ""UA""",4.11,FCFF,4.11,EV/EBITDA,3.7,,Buy,5.15,0.11081081081081079
Reckitt Benckiser,61.24,FCFE,48.53,VEBITDA,46.96,,Sell,0.2618998557593242,0.30408858603066435
Reckitt Benckiser,61.24,FCFF,41,PE,58.5,,Sell,0.49365853658536585,0.04683760683760685
Reckitt Benckiser,61.24,FCFF,41,PE,58.5,,Sell,0.49365853658536585,0.04683760683760685
Regal Entertainment Group,$18.34,FCFF,-$7.66,EV/Sales,$28.80,,Sell,-3.3942558746736293,-0.3631944444444445
Ruth's Hospitality Group,16.11,FCFF,14.09,VEBITDA,9.12,,Sell,0.14336408800567768,0.7664473684210527
Salesforce.com,76.87,FCFF,46.42,VEBITDA,44.6,,Sell,0.6559672554933218,0.7235426008968611
Salesforce.com,76.87,fcff,94.79,EV/Sales,52.3,,Buy,-0.18904947779301617,0.46978967495219903
Salesforce.com,76.87,FCFF,63.47,EV / Sales,85.03,,Buy,0.21112336536946597,-0.09596612960131712
Salesforce.com Inc,79.71,FCFF,30.17,PS,69.32,,Sell,1.6420285051375534,0.14988459319099823
Samsung Life Insurance,104500,Dividends,125691,PBV,113494,,Buy,-0.16859600130478714,-0.07924647999013168
Sanofi,€76.42,FCFF,€82.39,PE,€67.32,,Buy,-0.07246025003034351,0.1351752822341059
Sears,20.15,FCFF,24,P/BV ,2.22,,Sell,-0.16041666666666676,8.076576576576576
Sears Holding Corporation,22.15,FCFF,17.97,EV / Sales,86.26,12.1,Sell,0.2326099053978854,-0.7432181776025968
SFX Entertainment,0.28,FCFF,-0.34,VS,-0.3,0.06,Sell,1,1
Shake Shack,41.19,FCFE,36.42,PE,24.68,,Sell,0.13097199341021404,0.6689627228525121
Shake Shack,41.19,FCFF,43.49,EV/EBITDA,12.57,,Hold to Sell,-0.052885720855369134,2.276849642004773
Shake Shack (SHAK),41.19,FCFF,28.91,EV/EBITDA,18.31,,Sell,0.42476651677620203,1.249590387766248
Shiseido,21.98,FCFF,13.75,PE,7.1,,Sell,0.5985454545454545,2.0957746478873243
SKY PLC,10.56,FCFF-2,12.06,EV/Sales,29.37,,Buy,-0.12437810945273631,-0.6404494382022472
Solar City,35.9,FCFF,40.94,PS,28.72,34.91,Buy,-0.12310698583292623,0.25
Solar City (SCTY),37.04,FCFF,23.25,Other,23.41,25.64,Sell,0.5931182795698924,0.5822298163178128
SolarCity,37.04,FCFF,34.09,PBV,35.9,36.9,Sell,0.08653564095042521,0.031754874651810594
SolarCity (SCTY),37.04,FCFF,29.21,VS,36.68,52.13,Hold,0.2680588839438547,0.009814612868047856
Sotheby's,25.86,FCFF,34.73,PE,33.93,,Buy,-0.25539879067088966,-0.23784261715296195
